grid_n,state_count,spacing,reaction_radius,radius_in_cells,reaction_rate,dimensionless_doi_strength,relative_diffusivity,mean_time,effective_radius,small_target_leading_mean,mean_over_leading_mean,target_volume_fraction,target_volume_ratio,cg_iterations,cg_info,linear_solve_residual,linear_solve_relative_residual,matrix_was_assembled
41,68921,0.024390243902439025,0.18,7.38,30.8641975308642,1.0,1.0,1.6421073905387875,0.042913051927962326,1.8543885361389234,0.8855249903333998,0.02442678600888725,0.9999083686117171,6,0,1.5288534882529348e-09,4.4646753733158315e-14,False
57,185193,0.017543859649122806,0.13,7.410000000000001,59.17159763313609,1.0,1.0,2.3512292530842394,0.03099275972575057,2.5676148961923557,0.9157250398301531,0.009191412122408435,0.9987655939527114,6,0,2.0640840148189454e-09,2.1946464355257453e-14,False
79,493039,0.012658227848101266,0.095,7.505,110.80332409972299,1.0,1.0,3.289538230623335,0.022648555184202338,3.5135782790000656,0.9362359308412816,0.003593059612968789,1.000472135695294,6,0,2.1593393739749445e-09,8.594941132581279e-15,False
109,1295029,0.009174311926605505,0.07,7.63,204.0816326530612,1.0,1.0,4.541499360757761,0.01668840908309646,4.768427664357231,0.9524102451431317,0.0014375196459921976,1.0005321754433079,6,0,2.6014959075837396e-09,3.958294344033561e-15,False
139,2685619,0.007194244604316547,0.055,7.645,330.57851239669424,1.0,1.0,5.842303203278878,0.013112321422432934,6.068907936454659,0.9626613658423432,0.0006969494707703293,1.0000566794143801,6,0,4.22164703195449e-09,3.0792806747838924e-15,False
169,4826809,0.005917159763313609,0.045,7.6049999999999995,493.8271604938272,1.0,1.0,7.188439298282816,0.010728262981990581,7.417554144555694,0.9691118066942535,0.00038181808374082403,1.0003001710160886,6,0,6.8052941060159355e-09,2.7343182468200513e-15,False
