nx,ny,spacing_x,spacing_y,product_states,reactive_near,reactive_middle,reactive_far,classification,mode_count,peak_1_time,valley_1_time,peak_2_time,valley_2_time,peak_3_time,valley_1_ratio,valley_2_ratio,minimum_classifier_margin,minimum_raw_prominence_rel,near_peak_share,middle_peak_share,far_peak_share,tail_at_2000,post_shape_roots,root_residual,operator_error
9,5,0.125,0.25,2025,3,3,2,shoulder,1,1.1222943703627026,3.7010886530693217,8.554299502790336,17.850451012372186,34.32921317082577,,,,0.13166696742264603,0.999893795387277,0.9588488234664979,0.7207870978367211,4.203934599634162e-11,0,7.025630077706069e-17,8.881784197001252e-16
11,7,0.1,0.16666666666666666,5929,5,5,3,multimodal,3,1.0131530776661546,3.8987360350080533,8.264158257209195,16.798380849715645,38.89371439524441,0.76955414033973,0.6465856224178071,0.022360069518129327,0.2650072376809583,0.999937519351588,0.965254361461978,0.787600625752021,3.442416930893302e-12,0,1.3877787807814457e-17,1.7763568394002505e-15
13,9,0.08333333333333333,0.125,13689,4,4,3,multimodal,3,1.0167297359251104,4.455170207092439,8.936255793387188,15.934062267559653,48.281972851685374,0.6260887065304246,0.6353828859578124,0.01149990564753644,0.25885723027597013,0.9999985907737178,0.9694028011701148,0.941025657317482,1.8934434818149128e-11,0,1.732555071631836e-15,2.1371793224034263e-15
15,11,0.07142857142857142,0.1,27225,18,5,5,multimodal,3,0.8542067879867717,4.951229198112063,9.315094057229924,15.557973568558758,48.8367513005265,0.6447977507065679,0.6899270685612081,0.018767443346223718,0.12369573013016505,0.9999999960460293,0.9689944625164197,0.9515474635977628,2.1612268824021834e-11,0,9.540979117872439e-18,4.163336342344337e-15
