theta,walkers,dt,tmax,seed,kappa_bar,kill_fraction,survivors,fraction_background,fraction_near,fraction_far,kills_in_window_5_60,kills_in_structure_window_10_30,significant_maxima_count,significant_maxima_times,kill_probability_max,walker_steps,runtime_seconds,runtime_seconds_per_1e6_walkers
0.12,2000000,0.0002,120.0,20260730,2.2501572220343395,1.0,0,0.024527,0.961926,0.013547,42612,9787,2,1.625;25.125,0.0007557419541661593,19338370104,625.918166791962,312.959083395981
0.6,2000000,0.0002,120.0,20260730,2.2501572220343395,0.9999995,1,0.036788518394259194,0.9032289516144758,0.05998252999126499,129072,50321,2,1.625;22.875,0.0019780536459751926,30735685539,922.5520389999729,461.27601949998643
