model,fold_index,time,early_weight,determinant_residual,mixture_first_derivative,mixture_second_derivative,mixture_third_derivative,weight_transversality
fixed_shape_GIG,1,28.041093744754253,3.6723487761529104e-05,2.2214323091023692e-27,0.0,-9.098986738083304e-24,2.9970286415477965e-09,-0.00021753329955446788
fixed_shape_GIG,2,157.52784734713586,0.8780596892215297,-1.6155871338926322e-27,4.235164736271502e-22,7.940933880509066e-23,-4.4934959892377774e-09,-1.9603764534321365e-05
physical_finite_state_CTMC,1,37.074958640153255,8.945768022901476e-06,,-3.432799542095065e-23,8.809473523689745e-23,2.452986106009531e-10,-9.45848619669871e-10
