grid_n,state_count,spacing,reaction_radius,radius_in_cells,reaction_rate,dimensionless_doi_strength,relative_diffusivity,mean_time,effective_radius,small_target_leading_mean,mean_over_leading_mean,target_volume_fraction,target_volume_ratio,cg_iterations,cg_info,linear_solve_residual,linear_solve_relative_residual,matrix_was_assembled,reaction_limited_mean,reaction_limited_scaled_mean
41,68921,0.024390243902439025,0.18,7.38,1.0,0.0324,1.0,41.2567619300898,0.0019191318826698267,41.465348090222115,0.994969627176927,0.02442678600888725,0.9999083686117171,4,0,1.538538185741345e-10,1.8462329582181008e-16,False,40.9349133466809,1.0078624469211195
57,185193,0.017543859649122806,0.13,7.410000000000001,1.0,0.016900000000000002,1.0,109.31319718977277,0.0007274163939416667,109.3974128280771,0.9992301861979435,0.009191412122408435,0.9987655939527114,4,0,6.269260666158516e-10,1.4701903753054225e-16,False,108.6629106225958,1.0059844390643604
79,493039,0.012658227848101266,0.095,7.505,1.0,0.009025,1.0,279.09682650654634,0.00028476371382145485,279.45088395581985,0.9987330244075038,0.003593059612968789,1.000472135695294,3,0,8.506447102263337e-09,4.0687268864018997e-16,False,278.4457380234355,1.0023382957402494
109,1295029,0.009174311926605505,0.07,7.63,1.0,0.004900000000000001,1.0,696.7819671753917,0.00011410968357100538,697.3770240667625,0.9991467213991355,0.0014375196459921976,1.0005321754433079,3,0,1.543810412840685e-08,1.5538937554732588e-16,False,696.0128706642652,1.0011050032887934
139,2685619,0.007194244604316547,0.055,7.645,1.0,0.003025,1.0,1436.3344382393566,5.539131081257642e-05,1436.6417833152245,0.9997860670074911,0.0006969494707703293,1.0000566794143801,3,0,4.898629413219169e-08,1.470914419195436e-16,False,1434.9055725790715,1.0009957907249025
169,4826809,0.005917159763313609,0.045,7.6049999999999995,1.0,0.002025,1.0,2620.943230134286,3.0350416399753666e-05,2621.9564996345007,0.999613544503749,0.00038181808374082403,1.0003001710160886,3,0,1.5227078620227985e-07,1.695089493041342e-16,False,2619.8344541875776,1.0004232236677917
