grid_n,spacing,fitted_log_slope,fitted_intercept,theory_log_slope,slope_ratio_to_theory,relative_slope_error,r_squared,max_absolute_fit_residual
161,0.006211180124223602,0.15114872487457282,0.17613680015672972,0.15915494309189535,0.9496954473308455,0.050304552669154456,0.9994293979281115,0.0015885895851749376
241,0.004149377593360996,0.15581060787534376,0.16102875803891567,0.15915494309189535,0.9789869221050798,0.02101307789492024,0.9999056914303684,0.0008846087847735884
321,0.003115264797507788,0.15658991620838225,0.1585157859379236,0.15915494309189535,0.9838834607729899,0.016116539227010063,0.9999580558347059,0.0004943185829120456
401,0.0024937655860349127,0.15674037729634527,0.1579493190643525,0.15915494309189535,0.9848288356701813,0.015171164329818687,0.999960686033172,0.00040268454478809
