budget_measure,classification,dt,endpoint,f_t_residual,f_tt_residual,f_ttheta,f_ttt,kappa_bar,matched_budget,maximum_f_t_residual,maximum_time,minimum_f_t_residual,minimum_time,mu,normal_form_half_separation,normal_form_prominence,normal_form_separation,nx,ny,peak_height_ratio,prominence,prominence_ratio_to_normal_form,quadrature_closure_error,record_type,separation,separation_ratio_to_normal_form,strict_classification,tail_at_480,theta,time,valley_ratio
,strict_unimodal,,theta0,,,,,,,,,,,,,,,11,7,,,,,endpoint,,,,1.0309736689961996e-16,0.0,,
,strict_bimodal,,theta1,,,,,,,,,,,,,,,11,7,0.052817051294292254,,,,endpoint,,,,9.574425602148806e-10,1.0,,0.749119803042014
,,0.2,theta0,,,,,,,,,,,,,,,11,7,,,,0.0017677176868818867,time_step,,,,,,,
,,0.1,theta0,,,,,,,,,,,,,,,11,7,,,,0.0004376216937367339,time_step,,,,,,,
,,0.05,theta0,,,,,,,,,,,,,,,11,7,,,,0.00010912852484934454,time_step,,,,,,,
,,0.2,theta1,,,,,,,,,,,,,,,11,7,,,,0.000474187494792111,time_step,,,,,,,
,,0.1,theta1,,,,,,,,,,,,,,,11,7,,,,0.00011728076048345137,time_step,,,,,,,
,,0.05,theta1,,,,,,,,,,,,,,,11,7,,,,2.9239299772165772e-05,time_step,,,,,,,
,,,,3.0357660829594124e-18,-1.734723475976807e-17,7.461846224854872e-05,-5.958893612656446e-06,1.8784505788067676,2109.5,,,,,,,,,13,9,,,,,fold,,,,,0.255892008347189,16.58075874542334,
,,,,,,,,,,2.6020852139652106e-18,16.65089246828859,-8.673617379884035e-19,16.509353897842644,0.0002,0.07077344355252384,1.4082681402463453e-09,0.14154688710504768,13,9,,1.4087295735314143e-09,1.0003276601038409,,scaling,0.1415385704459453,0.9999412444930973,,,0.256092008347189,,
,,,,,,,,,,4.336808689942018e-19,16.69105652032059,1.3010426069826053e-18,16.4672840981846,0.0005,0.11190263973966698,5.56666859928486e-09,0.22380527947933396,13,9,,5.5712309416419e-09,1.0008195821748085,,scaling,0.22377242213599047,0.9998531878094211,,,0.256392008347189,,
,,,,,,,,,,-4.336808689942018e-19,16.73579124102238,8.673617379884035e-19,16.419375633202556,0.001,0.1582542307851875,1.5744916460690178e-08,0.316508461570375,13,9,,1.5770749816745172e-08,1.0016407426561766,,scaling,0.3164156078198239,0.9997066310641732,,,0.256892008347189,,
,,,,,,,,,,4.336808689942018e-19,16.79808856406009,0.0,16.350740180385415,0.002,0.22380527947933396,4.453334879427888e-08,0.4476105589586679,13,9,,4.467976448476081e-08,1.0032877763394417,,scaling,0.4473483836746759,0.999414278151521,,,0.257892008347189,,
,,,,,,,,,,8.673617379884035e-19,16.918296091652444,-4.336808689942018e-19,16.21159268228996,0.005,0.3538672177626192,1.7603351753079314e-07,0.7077344355252384,13,9,,1.7748870862139068e-07,1.0082665569092146,,scaling,0.7067034093624827,0.998543201925747,,,0.260892008347189,,
,,,,,,,,,,0.0,17.04828151537699,-1.3010426069826053e-18,16.050285758159248,0.01,0.5004438186391295,4.978979758485793e-07,1.000887637278259,13,9,,5.062077423831357e-07,1.0166896973629866,,scaling,0.9979957572177405,0.9971106846035361,,,0.265892008347189,,
,,,,,,,,,,1.734723475976807e-18,17.222120840953693,4.336808689942018e-19,15.814701446738523,0.02,0.7077344355252384,1.4082681402463451e-06,1.4154688710504768,13,9,,1.4561530602876915e-06,1.0340027006738717,,scaling,1.4074193942151698,0.9943132081531874,,,0.275892008347189,,
,,,,,,,,,,1.3010426069826053e-18,17.532978241696366,3.0357660829594124e-18,15.325411605812315,0.05,1.1190263973966699,5.56666859928486e-06,2.2380527947933397,13,9,,6.065685053227663e-06,1.0896436432387786,,scaling,2.207566635884051,0.9863782664197144,,,0.305892008347189,,
,strict_unimodal,,theta0,,,,,,,,,,,,,,,13,9,,,,,endpoint,,,,1.239987758189887e-18,0.0,,
,strict_bimodal,,theta1,,,,,,,,,,,,,,,13,9,0.03550772495339938,,,,endpoint,,,,7.014653731138796e-18,1.0,,0.7924775104001957
,,0.2,theta0,,,,,,,,,,,,,,,13,9,,,,0.007326589656639126,time_step,,,,,,,
,,0.1,theta0,,,,,,,,,,,,,,,13,9,,,,0.0018517100661219477,time_step,,,,,,,
,,0.05,theta0,,,,,,,,,,,,,,,13,9,,,,0.0004642222853559197,time_step,,,,,,,
,,0.2,theta1,,,,,,,,,,,,,,,13,9,,,,0.0019615024084401744,time_step,,,,,,,
,,0.1,theta1,,,,,,,,,,,,,,,13,9,,,,0.0004937206104674852,time_step,,,,,,,
,,0.05,theta1,,,,,,,,,,,,,,,13,9,,,,0.00012364517071983272,time_step,,,,,,,
,resolved_unimodal,,,,,,,,,,,,,,,,,9,5,0.0,,,,endpoint_robustness,,,strict_unimodal,1.2054625416245971e-15,0.0,,
,resolved_bimodal,,,,,,,,,,,,,,,,,9,5,0.0353334851224268,,,,endpoint_robustness,,,strict_bimodal,1.7496264895664929e-06,1.0,,0.9252516719084241
,resolved_unimodal,,,,,,,,,,,,,,,,,10,6,0.028970793605613658,,,,endpoint_robustness,,,strict_bimodal,1.0195681064130044e-15,0.0,,0.9655093236869154
