family_id,branch_id,evidence_relationship,nx,ny,initial_distribution,spacing_x,spacing_y,product_states,classification,peak_early,peak_late,R_peak,R_valley,separation_widths,positive_scale_views,scale_views,shape_window_tail,tail_at_960,post_window_local_maxima,operator_mass_balance_error,far_patch_boundary_clearance,evidence_grade
M2D-C,interior_two_patch,"four correlated grid resolutions of one M2D-C interior two-patch branch, not independent model families",9,5,"{'total_mass': 1.0, 'minimum_probability': 0.0, 'support_size': 2, 'first_position_mean': (0.09999999999999998, 0.5), 'second_position_mean': (0.35, 0.5), 'first_position_max_abs_error': 2.7755575615628914e-17, 'second_position_max_abs_error': 0.0, 'first_rms_support_displacement': 0.05000000000000002, 'second_rms_support_displacement': 0.05000000000000002, 'first_max_support_displacement': 0.1, 'second_max_support_displacement': 0.09999999999999998, 'joint_rms_support_displacement': 0.07071067811865477, 'joint_max_support_displacement': 0.1414213562373095, 'contact_mass': 0.0, 'active_sink_mass': 0.0}",0.125,0.25,2025,bimodal,1.2000000000000002,17.2,0.21054287721601106,0.7407990040263518,2.191780821917808,149,155,0.1118035682948494,8.279446457177147e-09,0,1.6375789613221059e-15,0.07,verified_interior_positive
M2D-C,interior_two_patch,"four correlated grid resolutions of one M2D-C interior two-patch branch, not independent model families",11,7,"{'total_mass': 1.0, 'minimum_probability': 0.0, 'support_size': 2, 'first_position_mean': (0.1, 0.5), 'second_position_mean': (0.35, 0.5), 'first_position_max_abs_error': 0.0, 'second_position_max_abs_error': 0.0, 'first_rms_support_displacement': 0.0, 'second_rms_support_displacement': 0.04999999999999999, 'first_max_support_displacement': 0.0, 'second_max_support_displacement': 0.050000000000000044, 'joint_rms_support_displacement': 0.04999999999999999, 'joint_max_support_displacement': 0.050000000000000044, 'contact_mass': 0.0, 'active_sink_mass': 0.0}",0.1,0.16666666666666666,5929,bimodal,1.4000000000000001,19.3,0.26019378045525454,0.5120803154793651,1.6497695852534562,153,155,0.07229337137665609,5.042210111911297e-13,0,2.220446049250313e-15,0.07,verified_interior_positive
M2D-C,interior_two_patch,"four correlated grid resolutions of one M2D-C interior two-patch branch, not independent model families",13,9,"{'total_mass': 1.0, 'minimum_probability': 0.0, 'support_size': 4, 'first_position_mean': (0.10000000000000002, 0.5), 'second_position_mean': (0.35000000000000003, 0.5), 'first_position_max_abs_error': 1.3877787807814457e-17, 'second_position_max_abs_error': 5.551115123125783e-17, 'first_rms_support_displacement': 0.03333333333333334, 'second_rms_support_displacement': 0.03333333333333334, 'first_max_support_displacement': 0.06666666666666665, 'second_max_support_displacement': 0.06666666666666665, 'joint_rms_support_displacement': 0.04714045207910318, 'joint_max_support_displacement': 0.09428090415820632, 'contact_mass': 0.0, 'active_sink_mass': 0.0}",0.08333333333333333,0.125,13689,bimodal,1.4000000000000001,20.900000000000002,0.3572547599758593,0.3364628116164695,1.4828897338403042,155,155,0.03944189751086623,1.9364968666872596e-19,0,1.7763568394002505e-15,0.07,verified_interior_positive
M2D-C,interior_two_patch,"four correlated grid resolutions of one M2D-C interior two-patch branch, not independent model families",15,11,"{'total_mass': 1.0, 'minimum_probability': 0.0, 'support_size': 4, 'first_position_mean': (0.1, 0.5), 'second_position_mean': (0.35, 0.5), 'first_position_max_abs_error': 0.0, 'second_position_max_abs_error': 0.0, 'first_rms_support_displacement': 0.034992710611188256, 'second_rms_support_displacement': 0.021428571428571384, 'first_max_support_displacement': 0.042857142857142844, 'second_max_support_displacement': 0.06428571428571428, 'joint_rms_support_displacement': 0.041032590332414465, 'joint_max_support_displacement': 0.0772618130456569, 'contact_mass': 0.0, 'active_sink_mass': 0.0}",0.07142857142857142,0.1,27225,bimodal,1.5,21.6,0.3853880450680896,0.2518036481508044,1.4512635379061372,155,155,0.0286773435211169,7.033428441162066e-23,0,3.7192471324942744e-15,0.07,verified_interior_positive
