L,classification,peak_1,peak_2,peak_1_persistence,peak_2_persistence,valley_time,R_peak,R_valley,separation_widths,channel_1_weight,channel_2_weight,tail_mass,steps,mass_balance_error,scale_views,all_views_have_two_peaks
31,bimodal,33.0,194.0,0.7612903225806451,0.9225806451612903,79.0,0.25788418514530664,0.3076356027060332,1.4570135746606334,0.05403386877632669,0.9459661312226868,9.912294128392186e-13,2919,2.92300905702092e-16,155,True
41,bimodal,33.0,269.0,0.7741935483870968,0.9225806451612903,104.0,0.32551825422258285,0.09926680365780333,1.656140350877193,0.05369486463710158,0.9463051353619056,9.99133330433522e-13,3125,3.5128150388530344e-16,155,True
61,bimodal,33.0,433.0,0.7741935483870968,0.896774193548387,155.0,0.43693884836309677,0.009581976858593293,2.1052631578947367,0.053686632628195695,0.9463133673708202,9.945048365226595e-13,3462,4.709774237277031e-16,155,True
81,bimodal,33.0,598.0,0.7741935483870968,0.9290322580645162,206.0,0.5213668669267674,0.0009203994595437362,2.527964205816555,0.053686627244417646,0.9463133727546028,9.935176570472382e-13,3769,5.087076593301987e-16,155,True
