channel,A,B,nu,normalization,log_normalization,mode
relative_IG,80.00000000000001,0.0125,1.5,0.02681890111904543,-3.61864837441224,40.00000000000001
joint_relative_centre_GIG,81.42857142857144,0.04050000000000001,2.0,0.0008507229892408159,-7.069423994436894,26.496972400176976
boundary_IG,562.5,0.009,1.5,0.0008302110402645753,-7.093830624114587,180.1898050140316
