case,mode_index,decay_rate,coefficient,coefficient_sign
finite_encounter_supercritical,0,0.010000199058028429,0.06866330891849598,1
finite_encounter_supercritical,1,0.01239520889803532,0.0332834936099175,1
finite_encounter_supercritical,2,0.01644950582647856,-0.2035444595774757,-1
finite_encounter_supercritical,3,0.022166188748525904,-0.07420577224187853,-1
finite_encounter_supercritical,4,0.029404947759896348,0.6896107809105225,1
finite_encounter_supercritical,5,0.035339028557595964,2.5073399210632186,1
finite_encounter_supercritical,6,0.038608906751644356,-8.552581010523403,-1
finite_encounter_supercritical,7,0.045159413015465985,-10.489994357011625,-1
finite_encounter_supercritical,8,0.04586005013735555,0.6391495458036918,1
finite_encounter_supercritical,9,0.048762131246640174,-28.331420360115832,-1
finite_encounter_supercritical,10,0.05023907555475344,90.74658605904031,1
finite_encounter_supercritical,11,0.05364137641615644,-13.097944315639753,-1
finite_encounter_supercritical,12,0.05609900724919633,11.825513209261658,1
finite_encounter_supercritical,13,0.05883412193684964,134.6936948509731,1
finite_encounter_supercritical,14,0.05944268885713881,-138.74466608644573,-1
finite_encounter_supercritical,15,0.0603930382165738,-65.8615744570929,-1
finite_encounter_supercritical,16,0.06383741284730808,-38.66750035255772,-1
finite_encounter_supercritical,17,0.06537140318793688,-1.0405773542758172,-1
finite_encounter_supercritical,18,0.06885148218477752,-2.0037823088212963,-1
finite_encounter_supercritical,19,0.07053730145342828,-51.92705448687952,-1
finite_encounter_supercritical,20,0.0730161344661331,-100.86408158839586,-1
finite_encounter_supercritical,21,0.07494009401806771,98.73591613064457,1
finite_encounter_supercritical,22,0.07626148331951506,253.88983722594745,1
finite_encounter_supercritical,23,0.07908153362485446,6.868840242277888,1
finite_encounter_supercritical,24,0.07922291875724738,-12.38738716748364,-1
finite_encounter_supercritical,25,0.08089201335220886,-51.7775956367074,-1
finite_encounter_supercritical,26,0.08488618845711267,16.887987475119782,1
finite_encounter_supercritical,27,0.08749433104249738,39.48944042659578,1
finite_encounter_supercritical,28,0.08923790440048622,84.8928425999565,1
finite_encounter_supercritical,29,0.09085630690559054,17.37688763216264,1
finite_encounter_supercritical,30,0.09322750433926916,-305.6106151597883,-1
finite_encounter_supercritical,31,0.09620942228679885,86.18061070352711,1
finite_encounter_supercritical,32,0.09658373285203424,-50.393811451491,-1
finite_encounter_supercritical,33,0.09946650394694811,5.497811263272626,1
finite_encounter_supercritical,34,0.10108155352132724,-34.982450544767765,-1
finite_encounter_supercritical,35,0.10382155039102793,-111.79636382907967,-1
finite_encounter_supercritical,36,0.10424391722737197,-33.598536721350165,-1
finite_encounter_supercritical,37,0.10548249187448108,-300.0796740290565,-1
finite_encounter_supercritical,38,0.10713833299137941,351.5704089329615,1
finite_encounter_supercritical,39,0.1111953127672956,90.7115710089739,1
finite_encounter_supercritical,40,0.11449128773401163,30.86801732248904,1
finite_encounter_supercritical,41,0.11606240371495917,0.27924060994746014,1
finite_encounter_supercritical,42,0.11804803625856196,22.481828361154975,1
finite_encounter_supercritical,43,0.11887039790677735,-6.13889301984803,-1
