family_id,branch_id,nx,ny,single_walker_states,product_states,initial_distribution,spacing_x,spacing_y,classification,peak_early,peak_late,peak_early_persistence,peak_late_persistence,R_peak,R_valley,separation_widths,shape_window_tail,tail_at_240,post_window_local_maxima,quadrature_closure_error,operator_mass_balance_error,near_reactive_states,far_reactive_states,scale_views,positive_scale_views,evidence_grade
M2D-C,separated_boundary,9,5,45,2025,"{'total_mass': 1.0, 'minimum_probability': 0.0, 'support_size': 2, 'first_position_mean': (0.09999999999999998, 0.5), 'second_position_mean': (0.35, 0.5), 'first_position_max_abs_error': 2.7755575615628914e-17, 'second_position_max_abs_error': 0.0, 'first_rms_support_displacement': 0.05000000000000002, 'second_rms_support_displacement': 0.05000000000000002, 'first_max_support_displacement': 0.1, 'second_max_support_displacement': 0.09999999999999998, 'joint_rms_support_displacement': 0.07071067811865477, 'joint_max_support_displacement': 0.1414213562373095, 'contact_mass': 0.0, 'active_sink_mass': 0.0}",0.125,0.25,bimodal,1.1,14.200000000000001,0.7548387096774194,0.9225806451612903,0.42145831845007997,0.6511622386693594,1.9264705882352942,0.006391028813917276,1.0044446149974914e-07,0,0.0002732522900223966,1.6375789613221059e-15,6,7,155,147,conditional
M2D-C,separated_boundary,11,7,77,5929,"{'total_mass': 1.0, 'minimum_probability': 0.0, 'support_size': 2, 'first_position_mean': (0.1, 0.5), 'second_position_mean': (0.35, 0.5), 'first_position_max_abs_error': 0.0, 'second_position_max_abs_error': 0.0, 'first_rms_support_displacement': 0.0, 'second_rms_support_displacement': 0.04999999999999999, 'first_max_support_displacement': 0.0, 'second_max_support_displacement': 0.050000000000000044, 'joint_rms_support_displacement': 0.04999999999999999, 'joint_max_support_displacement': 0.050000000000000044, 'contact_mass': 0.0, 'active_sink_mass': 0.0}",0.1,0.16666666666666666,bimodal,1.2000000000000002,16.400000000000002,0.6967741935483871,0.9290322580645162,0.48101133127736323,0.5161313760771234,1.8650306748466257,0.005856443010861963,3.932414024574083e-08,0,0.00017082864581197121,2.220446049250313e-15,7,24,155,149,verified_positive
M2D-C,separated_boundary,13,9,117,13689,"{'total_mass': 1.0, 'minimum_probability': 0.0, 'support_size': 4, 'first_position_mean': (0.10000000000000002, 0.5), 'second_position_mean': (0.35000000000000003, 0.5), 'first_position_max_abs_error': 1.3877787807814457e-17, 'second_position_max_abs_error': 5.551115123125783e-17, 'first_rms_support_displacement': 0.03333333333333334, 'second_rms_support_displacement': 0.03333333333333334, 'first_max_support_displacement': 0.06666666666666665, 'second_max_support_displacement': 0.06666666666666665, 'joint_rms_support_displacement': 0.04714045207910318, 'joint_max_support_displacement': 0.09428090415820632, 'contact_mass': 0.0, 'active_sink_mass': 0.0}",0.08333333333333333,0.125,bimodal,1.2000000000000002,18.0,0.7870967741935484,0.9225806451612903,0.612397452591843,0.3601128801416243,1.7591623036649215,0.00559186167692833,1.9109090206829976e-08,0,7.101404454268323e-05,1.7763568394002505e-15,17,56,155,149,verified_positive
M2D-C,separated_boundary,15,11,165,27225,"{'total_mass': 1.0, 'minimum_probability': 0.0, 'support_size': 4, 'first_position_mean': (0.1, 0.5), 'second_position_mean': (0.35, 0.5), 'first_position_max_abs_error': 0.0, 'second_position_max_abs_error': 0.0, 'first_rms_support_displacement': 0.034992710611188256, 'second_rms_support_displacement': 0.021428571428571384, 'first_max_support_displacement': 0.042857142857142844, 'second_max_support_displacement': 0.06428571428571428, 'joint_rms_support_displacement': 0.041032590332414465, 'joint_max_support_displacement': 0.0772618130456569, 'contact_mass': 0.0, 'active_sink_mass': 0.0}",0.07142857142857142,0.1,bimodal,1.2000000000000002,18.6,0.8129032258064516,0.9290322580645162,0.6340166793616308,0.2437563961627217,1.6571428571428573,0.004993196497523095,9.387129027176898e-09,0,2.164441266738759e-05,3.7192471324942744e-15,59,129,155,150,verified_positive
