case_id,near,far,r,theta,b,classification,t1,tv,t2,p_near,p_far,survival_tail,display_bin_width,note
theta90_r03_b024,"(2, 7)","(12, 4)",3,1.5708,0.24,double_peak,5,6,34,0.0818326,0.705183,0.212984,4,near target above start; far target remains on east-bias path
theta45_r04p24_b024,"(5, 7)","(12, 4)",4.24264,0.785398,0.24,double_peak,10,11,32,0.170347,0.640328,0.189325,4,near target diagonal to start; far target remains on east-bias path
