case_id,near,basin_radius,global_bias,local_bias,hold_strength,classification,score,t1,tv,t2,R_peak,R_valley,p_near,p_far,survival_tail,early_near_fraction,late_far_fraction,binned_roughness,row_stochasticity_error,mass_balance_error,decomposition_error
near5_9_R3p5_g0p20_l0p00_h0p00,"(5, 9)",3.5,0.2,0,0,double_peak,75.985,9,34,62,0.460742,0.321371,0.143629,0.472567,0.383805,1,0.912212,0.0666156,0,1.19904e-14,4.33681e-19
near5_9_R3p5_g0p20_l0p00_h0p25,"(5, 9)",3.5,0.2,0,0.25,double_peak,78.5307,10,34,63,0.519157,0.350377,0.134533,0.4777,0.387767,1,0.922771,0.058298,2.22045e-16,1.23235e-14,4.33681e-19
near5_9_R3p5_g0p20_l0p00_h0p45,"(5, 9)",3.5,0.2,0,0.45,double_peak,79.787,11,34,63,0.567455,0.36983,0.125757,0.482629,0.391613,1,0.928064,0.056275,1.11022e-16,1.29896e-14,4.33681e-19
near5_9_R3p5_g0p20_l0p04_h0p00,"(5, 9)",3.5,0.2,0.04,0,double_peak,66.5416,9,36,61,0.376652,0.294341,0.170149,0.457748,0.372103,1,0.889182,0.0753794,0,1.25455e-14,4.33681e-19
near5_9_R3p5_g0p20_l0p04_h0p25,"(5, 9)",3.5,0.2,0.04,0.25,double_peak,69.6951,9,36,62,0.422716,0.321456,0.160663,0.463048,0.376289,1,0.901179,0.0664151,2.22045e-16,1.22125e-14,4.33681e-19
near5_9_R3p5_g0p20_l0p04_h0p45,"(5, 9)",3.5,0.2,0.04,0.45,double_peak,70.455,10,36,62,0.461486,0.340604,0.151274,0.468267,0.380459,1,0.906797,0.0604283,0,1.28786e-14,4.33681e-19
near5_9_R3p5_g0p20_l0p08_h0p00,"(5, 9)",3.5,0.2,0.08,0,double_peak,59.5898,9,38,60,0.315055,0.26964,0.196804,0.44286,0.360336,1,0.863107,0.0841678,0,1.16573e-14,4.33681e-19
near5_9_R3p5_g0p20_l0p08_h0p25,"(5, 9)",3.5,0.2,0.08,0.25,double_peak,60.9314,9,38,60,0.353141,0.295582,0.187045,0.448262,0.364694,1,0.868667,0.0746361,2.22045e-16,1.11022e-14,3.43048e-19
near5_9_R3p5_g0p20_l0p08_h0p45,"(5, 9)",3.5,0.2,0.08,0.45,double_peak,62.5311,10,37,61,0.385969,0.314794,0.177152,0.453707,0.369142,1,0.881844,0.0665559,1.11022e-16,1.21014e-14,4.33681e-19
near5_9_R3p5_g0p20_l0p12_h0p00,"(5, 9)",3.5,0.2,0.12,0,double_peak,55.5269,7,40,58,0.266424,0.244704,0.223392,0.42802,0.348588,1,0.823835,0.0928063,0,1.09912e-14,4.33681e-19
near5_9_R3p5_g0p20_l0p12_h0p25,"(5, 9)",3.5,0.2,0.12,0.25,double_peak,55.3899,9,40,59,0.301545,0.272202,0.213469,0.433463,0.353068,1,0.838707,0.0827361,2.22045e-16,1.12133e-14,4.25634e-19
near5_9_R3p5_g0p20_l0p12_h0p45,"(5, 9)",3.5,0.2,0.12,0.45,double_peak,57.7208,9,39,60,0.330269,0.291814,0.203182,0.439075,0.357743,1,0.853013,0.0742184,1.11022e-16,1.19904e-14,4.33681e-19
near5_9_R4p5_g0p08_l0p00_h0p00,"(5, 9)",4.5,0.08,0,0,unimodal,0,12,,,0,1,0.284484,0.408046,0.30747,0,0,0.0461,0,8.99281e-15,4.14869e-19
near5_9_R4p5_g0p08_l0p00_h0p25,"(5, 9)",4.5,0.08,0,0.25,double_peak,122.207,14,112,136,0.318872,0.318332,0.272647,0.414012,0.31334,1,0.753176,0.0502567,2.22045e-16,8.10463e-15,4.25853e-19
near5_9_R4p5_g0p08_l0p00_h0p45,"(5, 9)",4.5,0.08,0,0.45,double_peak,133.541,15,103,147,0.349291,0.34526,0.260433,0.420153,0.319413,1,0.802036,0.0497651,2.22045e-16,8.54872e-15,4.31479e-19
near5_9_R4p5_g0p08_l0p04_h0p00,"(5, 9)",4.5,0.08,0.04,0,unimodal,0,12,,,0,1,0.358385,0.368027,0.273588,0,0,0.0481652,0,9.32587e-15,4.02791e-19
near5_9_R4p5_g0p08_l0p04_h0p25,"(5, 9)",4.5,0.08,0.04,0.25,unimodal,0,14,,,0,1,0.348184,0.372879,0.278937,0,0,0.0538378,2.22045e-16,8.21565e-15,4.3286e-19
near5_9_R4p5_g0p08_l0p04_h0p45,"(5, 9)",4.5,0.08,0.04,0.45,unimodal,0,15,,,0,1,0.336951,0.378212,0.284838,0,0,0.0545013,2.22045e-16,8.21565e-15,4.31987e-19
near5_9_R4p5_g0p08_l0p08_h0p00,"(5, 9)",4.5,0.08,0.08,0,unimodal,0,12,,,0,1,0.431207,0.328192,0.2406,0,0,0.0498529,0,7.54952e-15,6.21048e-19
near5_9_R4p5_g0p08_l0p08_h0p25,"(5, 9)",4.5,0.08,0.08,0.25,unimodal,0,14,,,0,1,0.423197,0.331668,0.245135,0,0,0.0569203,2.22045e-16,6.43929e-15,4.32781e-19
near5_9_R4p5_g0p08_l0p08_h0p45,"(5, 9)",4.5,0.08,0.08,0.45,unimodal,0,15,,,0,1,0.413589,0.335886,0.250524,0,0,0.0587377,2.22045e-16,7.32747e-15,4.20128e-19
near5_9_R4p5_g0p08_l0p12_h0p00,"(5, 9)",4.5,0.08,0.12,0,unimodal,0,12,,,0,1,0.500725,0.289858,0.209417,0,0,0.0511662,0,5.9952e-15,7.08781e-19
near5_9_R4p5_g0p08_l0p12_h0p25,"(5, 9)",4.5,0.08,0.12,0.25,unimodal,0,13,,,0,1,0.495176,0.291875,0.212949,0,0,0.0595804,2.22045e-16,6.88338e-15,8.61081e-19
near5_9_R4p5_g0p08_l0p12_h0p45,"(5, 9)",4.5,0.08,0.12,0.45,unimodal,0,15,,,0,1,0.487601,0.294839,0.21756,0,0,0.0625743,2.22045e-16,7.10543e-15,8.31238e-19
near5_9_R4p5_g0p12_l0p00_h0p00,"(5, 9)",4.5,0.12,0,0,double_peak,87.7889,11,62,95,0.329368,0.315153,0.217037,0.46895,0.314013,1,0.807717,0.0447448,0,7.54952e-15,3.39184e-19
near5_9_R4p5_g0p12_l0p00_h0p25,"(5, 9)",4.5,0.12,0,0.25,double_peak,93.2404,12,60,99,0.366672,0.342131,0.203863,0.476702,0.319434,1,0.838865,0.0511995,2.22045e-16,7.43849e-15,3.91779e-19
near5_9_R4p5_g0p12_l0p00_h0p45,"(5, 9)",4.5,0.12,0,0.45,double_peak,97.0753,14,59,102,0.406861,0.368825,0.190648,0.484456,0.324896,1,0.862147,0.0524673,2.22045e-16,6.99441e-15,4.10176e-19
near5_9_R4p5_g0p12_l0p04_h0p00,"(5, 9)",4.5,0.12,0.04,0,unimodal,0,11,,,0,1,0.273348,0.435633,0.291019,0,0,0.0479475,2.22045e-16,7.32747e-15,4.24787e-19
near5_9_R4p5_g0p12_l0p04_h0p25,"(5, 9)",4.5,0.12,0.04,0.25,unimodal,0,12,,,0,1,0.260092,0.443248,0.296661,0,0,0.0566824,2.22045e-16,5.55112e-15,3.81165e-19
near5_9_R4p5_g0p12_l0p04_h0p45,"(5, 9)",4.5,0.12,0.04,0.45,double_peak,70.0166,13,77,83,0.315032,0.314958,0.24622,0.45118,0.3026,1,0.680741,0.059627,2.22045e-16,6.99441e-15,4.20602e-19
near5_9_R4p5_g0p12_l0p08_h0p00,"(5, 9)",4.5,0.12,0.08,0,unimodal,0,11,,,0,1,0.330783,0.401494,0.267723,0,0,0.0529617,2.22045e-16,6.55032e-15,7.81044e-19
near5_9_R4p5_g0p12_l0p08_h0p25,"(5, 9)",4.5,0.12,0.08,0.25,unimodal,0,12,,,0,1,0.31792,0.408682,0.273398,0,0,0.0612735,2.22045e-16,6.66134e-15,4.20975e-19
near5_9_R4p5_g0p12_l0p08_h0p45,"(5, 9)",4.5,0.12,0.08,0.45,unimodal,0,13,,,0,1,0.30386,0.416501,0.279638,0,0,0.0657784,2.22045e-16,6.21725e-15,4.06999e-19
near5_9_R4p5_g0p12_l0p12_h0p00,"(5, 9)",4.5,0.12,0.12,0,unimodal,0,11,,,0,1,0.388133,0.367332,0.244535,0,0,0.0588037,0,6.10623e-15,7.81044e-19
near5_9_R4p5_g0p12_l0p12_h0p25,"(5, 9)",4.5,0.12,0.12,0.25,unimodal,0,12,,,0,1,0.376089,0.37386,0.250051,0,0,0.0650487,2.22045e-16,5.44009e-15,7.46645e-19
near5_9_R4p5_g0p12_l0p12_h0p45,"(5, 9)",4.5,0.12,0.12,0.45,unimodal,0,13,,,0,1,0.362302,0.38131,0.256388,0,0,0.0711007,2.22045e-16,5.88418e-15,5.89767e-19
near5_9_R4p5_g0p16_l0p00_h0p00,"(5, 9)",4.5,0.16,0,0,double_peak,76.5498,11,43,75,0.391075,0.326961,0.174123,0.480198,0.345679,1,0.87032,0.0519225,0,2.22045e-15,4.33681e-19
near5_9_R4p5_g0p16_l0p00_h0p25,"(5, 9)",4.5,0.16,0,0.25,double_peak,81.0469,11,43,76,0.440354,0.353166,0.160574,0.488256,0.35117,1,0.886302,0.0523272,2.22045e-16,1.55431e-15,4.33681e-19
near5_9_R4p5_g0p16_l0p00_h0p45,"(5, 9)",4.5,0.16,0,0.45,double_peak,86.0424,12,43,78,0.49698,0.381215,0.147348,0.496093,0.356559,1,0.905376,0.0554131,2.22045e-16,1.66533e-15,4.33681e-19
near5_9_R4p5_g0p16_l0p04_h0p00,"(5, 9)",4.5,0.16,0.04,0,double_peak,64.265,9,49,70,0.311081,0.295276,0.218408,0.454421,0.327171,1,0.793166,0.059588,0,2.88658e-15,4.33681e-19
near5_9_R4p5_g0p16_l0p04_h0p25,"(5, 9)",4.5,0.16,0.04,0.25,double_peak,67.296,11,48,73,0.343655,0.31661,0.203965,0.462853,0.333182,1,0.829602,0.0579436,2.22045e-16,1.22125e-15,4.33681e-19
near5_9_R4p5_g0p16_l0p04_h0p45,"(5, 9)",4.5,0.16,0.04,0.45,double_peak,70.8262,12,47,75,0.380209,0.338197,0.189411,0.471309,0.33928,1,0.854889,0.0633224,2.22045e-16,2.10942e-15,4.30981e-19
near5_9_R4p5_g0p16_l0p08_h0p00,"(5, 9)",4.5,0.16,0.08,0,unimodal,0,9,,,0,1,0.264143,0.427666,0.308191,0,0,0.0675247,0,2.9976e-15,4.8865e-19
near5_9_R4p5_g0p16_l0p08_h0p25,"(5, 9)",4.5,0.16,0.08,0.25,double_peak,54.261,11,55,65,0.281339,0.279985,0.249107,0.436276,0.314618,1,0.69831,0.0623635,2.22045e-16,1.88738e-15,4.33681e-19
near5_9_R4p5_g0p16_l0p08_h0p45,"(5, 9)",4.5,0.16,0.08,0.45,double_peak,59.3996,12,53,70,0.30557,0.29837,0.233492,0.445168,0.321339,1,0.768228,0.070183,2.22045e-16,1.44329e-15,4.13352e-19
near5_9_R4p5_g0p16_l0p12_h0p00,"(5, 9)",4.5,0.16,0.12,0,unimodal,0,9,,,0,1,0.310664,0.400392,0.288943,0,0,0.075656,0,1.44329e-15,4.8865e-19
near5_9_R4p5_g0p16_l0p12_h0p25,"(5, 9)",4.5,0.16,0.12,0.25,unimodal,0,11,,,0,1,0.295344,0.408996,0.29566,0,0,0.0654394,2.22045e-16,1.77636e-15,8.23462e-19
near5_9_R4p5_g0p16_l0p12_h0p45,"(5, 9)",4.5,0.16,0.12,0.45,unimodal,0,11,,,0,1,0.27896,0.418147,0.302893,0,0,0.0757864,2.22045e-16,1.22125e-15,8.60989e-19
near5_9_R4p5_g0p20_l0p00_h0p00,"(5, 9)",4.5,0.2,0,0,double_peak,75.985,9,34,62,0.460742,0.321371,0.143629,0.472567,0.383805,1,0.912212,0.0666156,0,1.19904e-14,4.33681e-19
near5_9_R4p5_g0p20_l0p00_h0p25,"(5, 9)",4.5,0.2,0,0.25,double_peak,80.4192,10,34,63,0.542522,0.357548,0.130224,0.480367,0.389409,1,0.926124,0.0551014,2.22045e-16,1.14353e-14,3.93678e-19
near5_9_R4p5_g0p20_l0p00_h0p45,"(5, 9)",4.5,0.2,0,0.45,double_peak,85.3571,11,34,64,0.620834,0.385489,0.117468,0.487758,0.394775,1,0.938268,0.0587727,2.22045e-16,1.14353e-14,4.33681e-19
near5_9_R4p5_g0p20_l0p04_h0p00,"(5, 9)",4.5,0.2,0.04,0,double_peak,64.0177,9,37,61,0.359688,0.292166,0.179454,0.452603,0.367942,1,0.878594,0.0763229,0,1.21014e-14,4.33681e-19
near5_9_R4p5_g0p20_l0p04_h0p25,"(5, 9)",4.5,0.2,0.04,0.25,double_peak,67.1966,10,36,62,0.421477,0.32616,0.164788,0.46098,0.374232,1,0.895767,0.063991,2.22045e-16,1.16573e-14,4.33681e-19
near5_9_R4p5_g0p20_l0p04_h0p45,"(5, 9)",4.5,0.2,0.04,0.45,double_peak,70.8813,11,36,63,0.472707,0.346788,0.150462,0.469118,0.38042,1,0.911319,0.0657658,2.22045e-16,1.09912e-14,4.33681e-19
near5_9_R4p5_g0p20_l0p08_h0p00,"(5, 9)",4.5,0.2,0.08,0,double_peak,55.0362,9,40,59,0.288935,0.262495,0.216633,0.431745,0.351622,1,0.827764,0.0863667,0,1.21014e-14,4.33681e-19
near5_9_R4p5_g0p20_l0p08_h0p25,"(5, 9)",4.5,0.2,0.08,0.25,double_peak,58.4462,9,39,60,0.338018,0.294954,0.200896,0.440569,0.358535,1,0.848813,0.0733533,2.22045e-16,1.06581e-14,4.33681e-19
near5_9_R4p5_g0p20_l0p08_h0p45,"(5, 9)",4.5,0.2,0.08,0.45,double_peak,61.171,11,38,62,0.374978,0.312629,0.185157,0.449342,0.365501,1,0.875997,0.0718592,2.22045e-16,1.08802e-14,4.33681e-19
near5_9_R4p5_g0p20_l0p12_h0p00,"(5, 9)",4.5,0.2,0.12,0,double_peak,49.0921,7,43,55,0.237098,0.231824,0.254755,0.41029,0.334955,1,0.736399,0.0964657,0,1.14353e-14,4.99247e-19
near5_9_R4p5_g0p20_l0p12_h0p25,"(5, 9)",4.5,0.2,0.12,0.25,double_peak,51.5412,9,42,58,0.278181,0.264466,0.238148,0.419437,0.342415,1,0.788155,0.0828999,2.22045e-16,9.54792e-15,4.33681e-19
near5_9_R4p5_g0p20_l0p12_h0p45,"(5, 9)",4.5,0.2,0.12,0.45,double_peak,53.4497,11,41,60,0.308132,0.28248,0.221168,0.428735,0.350098,1,0.822043,0.0769331,2.22045e-16,1.02141e-14,6.98147e-19
near7_9_R2p5_g0p08_l0p00_h0p00,"(7, 9)",2.5,0.08,0,0,unimodal,0,22,,,0,1,0.302384,0.397546,0.30007,0,0,0.0316708,0,8.88178e-15,2.1684e-19
near7_9_R2p5_g0p08_l0p00_h0p25,"(7, 9)",2.5,0.08,0,0.25,unimodal,0,23,,,0,1,0.299323,0.399188,0.301489,0,0,0.0317845,1.11022e-16,9.10383e-15,2.1684e-19
near7_9_R2p5_g0p08_l0p00_h0p45,"(7, 9)",2.5,0.08,0,0.45,unimodal,0,23,,,0,1,0.296202,0.400852,0.302946,0,0,0.031682,2.22045e-16,9.10383e-15,2.1684e-19
near7_9_R2p5_g0p08_l0p04_h0p00,"(7, 9)",2.5,0.08,0.04,0,unimodal,0,22,,,0,1,0.33258,0.381854,0.285567,0,0,0.0339098,0,9.4369e-15,3.75729e-19
near7_9_R2p5_g0p08_l0p04_h0p25,"(7, 9)",2.5,0.08,0.04,0.25,unimodal,0,22,,,0,1,0.330439,0.383002,0.286559,0,0,0.033466,1.11022e-16,8.21565e-15,3.96511e-19
near7_9_R2p5_g0p08_l0p04_h0p45,"(7, 9)",2.5,0.08,0.04,0.45,unimodal,0,23,,,0,1,0.328081,0.384255,0.287664,0,0,0.0334012,2.22045e-16,8.54872e-15,3.71697e-19
near7_9_R2p5_g0p08_l0p08_h0p00,"(7, 9)",2.5,0.08,0.08,0,unimodal,0,22,,,0,1,0.359881,0.367483,0.272636,0,0,0.0359943,0,8.77076e-15,4.13246e-19
near7_9_R2p5_g0p08_l0p08_h0p25,"(7, 9)",2.5,0.08,0.08,0.25,unimodal,0,22,,,0,1,0.358578,0.368173,0.273249,0,0,0.0349489,1.11022e-16,8.10463e-15,4.23516e-19
near7_9_R2p5_g0p08_l0p08_h0p45,"(7, 9)",2.5,0.08,0.08,0.45,unimodal,0,23,,,0,1,0.356932,0.369035,0.274034,0,0,0.0349153,1.11022e-16,8.54872e-15,4.1547e-19
near7_9_R2p5_g0p08_l0p12_h0p00,"(7, 9)",2.5,0.08,0.12,0,unimodal,0,22,,,0,1,0.384675,0.35429,0.261035,0,0,0.0379488,0,8.32667e-15,4.30892e-19
near7_9_R2p5_g0p08_l0p12_h0p25,"(7, 9)",2.5,0.08,0.12,0.25,unimodal,0,22,,,0,1,0.38413,0.354559,0.261311,0,0,0.0362711,1.11022e-16,8.32667e-15,4.33681e-19
near7_9_R2p5_g0p08_l0p12_h0p45,"(7, 9)",2.5,0.08,0.12,0.45,unimodal,0,23,,,0,1,0.383143,0.355054,0.261803,0,0,0.0362627,2.22045e-16,8.54872e-15,4.13352e-19
near7_9_R2p5_g0p12_l0p00_h0p00,"(7, 9)",2.5,0.12,0,0,unimodal,0,19,,,0,1,0.241181,0.454337,0.304482,0,0,0.0444142,0,7.99361e-15,3.40507e-19
near7_9_R2p5_g0p12_l0p00_h0p25,"(7, 9)",2.5,0.12,0,0.25,unimodal,0,19,,,0,1,0.237484,0.45653,0.305986,0,0,0.0418574,1.11022e-16,9.21485e-15,3.98099e-19
near7_9_R2p5_g0p12_l0p00_h0p45,"(7, 9)",2.5,0.12,0,0.45,unimodal,0,20,,,0,1,0.233761,0.458729,0.307509,0,0,0.039537,2.22045e-16,8.10463e-15,4.33648e-19
near7_9_R2p5_g0p12_l0p04_h0p00,"(7, 9)",2.5,0.12,0.04,0,unimodal,0,19,,,0,1,0.265709,0.440138,0.294153,0,0,0.0477285,2.22045e-16,7.32747e-15,4.3114e-19
near7_9_R2p5_g0p12_l0p04_h0p25,"(7, 9)",2.5,0.12,0.04,0.25,unimodal,0,19,,,0,1,0.26251,0.442031,0.295459,0,0,0.0451078,1.11022e-16,7.99361e-15,4.20128e-19
near7_9_R2p5_g0p12_l0p04_h0p45,"(7, 9)",2.5,0.12,0.04,0.45,unimodal,0,20,,,0,1,0.259146,0.444011,0.296843,0,0,0.042725,2.22045e-16,6.43929e-15,4.32304e-19
near7_9_R2p5_g0p12_l0p08_h0p00,"(7, 9)",2.5,0.12,0.08,0,unimodal,0,19,,,0,1,0.28846,0.426906,0.284633,0,0,0.0508995,2.22045e-16,7.77156e-15,4.33681e-19
near7_9_R2p5_g0p12_l0p08_h0p25,"(7, 9)",2.5,0.12,0.08,0.25,unimodal,0,19,,,0,1,0.28576,0.428498,0.285743,0,0,0.0482439,1.11022e-16,6.77236e-15,4.20128e-19
near7_9_R2p5_g0p12_l0p08_h0p45,"(7, 9)",2.5,0.12,0.08,0.45,unimodal,0,20,,,0,1,0.282777,0.430243,0.28698,0,0,0.0457977,2.22045e-16,6.99441e-15,4.20128e-19
near7_9_R2p5_g0p12_l0p12_h0p00,"(7, 9)",2.5,0.12,0.12,0,unimodal,0,19,,,0,1,0.309629,0.414546,0.275824,0,0,0.0538441,0,6.66134e-15,4.33681e-19
near7_9_R2p5_g0p12_l0p12_h0p25,"(7, 9)",2.5,0.12,0.12,0.25,unimodal,0,19,,,0,1,0.307422,0.415838,0.276739,0,0,0.0511622,1.11022e-16,7.54952e-15,4.06576e-19
near7_9_R2p5_g0p12_l0p12_h0p45,"(7, 9)",2.5,0.12,0.12,0.45,unimodal,0,19,,,0,1,0.304835,0.417342,0.277823,0,0,0.0486709,2.22045e-16,6.88338e-15,4.33681e-19
near7_9_R2p5_g0p16_l0p00_h0p00,"(7, 9)",2.5,0.16,0,0,unimodal,0,17,,,0,1,0.202491,0.463742,0.333767,0,0,0.0607759,0,3.44169e-15,4.33681e-19
near7_9_R2p5_g0p16_l0p00_h0p25,"(7, 9)",2.5,0.16,0,0.25,unimodal,0,17,,,0,1,0.198424,0.466123,0.335452,0,0,0.0581691,1.11022e-16,2.66454e-15,4.33681e-19
near7_9_R2p5_g0p16_l0p00_h0p45,"(7, 9)",2.5,0.16,0,0.45,unimodal,0,17,,,0,1,0.194389,0.468476,0.337135,0,0,0.0557021,1.11022e-16,2.66454e-15,4.33681e-19
near7_9_R2p5_g0p16_l0p04_h0p00,"(7, 9)",2.5,0.16,0.04,0,unimodal,0,17,,,0,1,0.222879,0.452015,0.325106,0,0,0.0650417,0,2.88658e-15,4.33681e-19
near7_9_R2p5_g0p16_l0p04_h0p25,"(7, 9)",2.5,0.16,0.04,0.25,unimodal,0,17,,,0,1,0.219031,0.454258,0.326711,0,0,0.0624221,1.11022e-16,3.66374e-15,4.33681e-19
near7_9_R2p5_g0p16_l0p04_h0p45,"(7, 9)",2.5,0.16,0.04,0.45,unimodal,0,17,,,0,1,0.215099,0.456538,0.328362,0,0,0.0599526,1.11022e-16,2.77556e-15,4.33681e-19
near7_9_R2p5_g0p16_l0p08_h0p00,"(7, 9)",2.5,0.16,0.08,0,unimodal,0,16,,,0,1,0.242094,0.440943,0.316963,0,0,0.0689734,0,3.66374e-15,4.33681e-19
near7_9_R2p5_g0p16_l0p08_h0p25,"(7, 9)",2.5,0.16,0.08,0.25,unimodal,0,17,,,0,1,0.238496,0.443031,0.318474,0,0,0.0663637,1.11022e-16,2.22045e-15,4.33681e-19
near7_9_R2p5_g0p16_l0p08_h0p45,"(7, 9)",2.5,0.16,0.08,0.45,unimodal,0,17,,,0,1,0.234712,0.445214,0.320074,0,0,0.0638918,1.11022e-16,2.22045e-15,4.33681e-19
near7_9_R2p5_g0p16_l0p12_h0p00,"(7, 9)",2.5,0.16,0.12,0,unimodal,0,16,,,0,1,0.260249,0.430467,0.309284,0,0,0.0726658,0,2.22045e-15,4.33681e-19
near7_9_R2p5_g0p16_l0p12_h0p25,"(7, 9)",2.5,0.16,0.12,0.25,unimodal,0,17,,,0,1,0.256925,0.432386,0.310689,0,0,0.0700883,1.11022e-16,1.9984e-15,3.96411e-19
near7_9_R2p5_g0p16_l0p12_h0p45,"(7, 9)",2.5,0.16,0.12,0.45,unimodal,0,17,,,0,1,0.253325,0.434453,0.312222,0,0,0.0676079,2.22045e-16,2.22045e-15,4.33681e-19
near7_9_R2p5_g0p20_l0p00_h0p00,"(7, 9)",2.5,0.2,0,0,double_peak,42.0574,15,40,55,0.554101,0.526994,0.174759,0.455707,0.369533,1,0.740794,0.0805357,0,1.18794e-14,4.33681e-19
near7_9_R2p5_g0p20_l0p00_h0p25,"(7, 9)",2.5,0.2,0,0.25,double_peak,43.4388,15,40,56,0.568094,0.5362,0.170479,0.458102,0.371418,1,0.759233,0.0784677,1.11022e-16,1.12133e-14,4.33681e-19
near7_9_R2p5_g0p20_l0p00_h0p45,"(7, 9)",2.5,0.2,0,0.45,double_peak,43.7982,15,39,56,0.582248,0.545049,0.166297,0.460431,0.373271,1,0.764012,0.0761425,2.22045e-16,1.21014e-14,4.33681e-19
near7_9_R2p5_g0p20_l0p04_h0p00,"(7, 9)",2.5,0.2,0.04,0,double_peak,38.5334,15,42,53,0.508713,0.501672,0.192031,0.446108,0.361862,1,0.688138,0.0856357,0,1.15463e-14,4.33681e-19
near7_9_R2p5_g0p20_l0p04_h0p25,"(7, 9)",2.5,0.2,0.04,0.25,double_peak,38.716,15,42,53,0.520432,0.510807,0.18779,0.448466,0.363745,1,0.692384,0.0836518,1.11022e-16,1.19904e-14,4.33681e-19
near7_9_R2p5_g0p20_l0p04_h0p45,"(7, 9)",2.5,0.2,0.04,0.45,double_peak,39.9553,15,42,54,0.532365,0.519636,0.183553,0.45081,0.365637,1,0.713197,0.0813467,2.22045e-16,1.23235e-14,4.33681e-19
near7_9_R2p5_g0p20_l0p08_h0p00,"(7, 9)",2.5,0.2,0.08,0,unimodal,0,15,,,0,1,0.208483,0.436966,0.354551,0,0,0.0902886,0,1.16573e-14,4.33681e-19
near7_9_R2p5_g0p20_l0p08_h0p25,"(7, 9)",2.5,0.2,0.08,0.25,unimodal,0,15,,,0,1,0.204321,0.439267,0.356412,0,0,0.0884118,0,1.07692e-14,4.33681e-19
near7_9_R2p5_g0p20_l0p08_h0p45,"(7, 9)",2.5,0.2,0.08,0.45,double_peak,35.0387,15,46,50,0.494999,0.494452,0.200079,0.441601,0.35832,1,0.616925,0.0861553,1.11022e-16,1.19904e-14,4.33681e-19
near7_9_R2p5_g0p20_l0p12_h0p00,"(7, 9)",2.5,0.2,0.12,0,unimodal,0,15,,,0,1,0.224191,0.428241,0.347568,0,0,0.0945294,0,1.15463e-14,4.33681e-19
near7_9_R2p5_g0p20_l0p12_h0p25,"(7, 9)",2.5,0.2,0.12,0.25,unimodal,0,15,,,0,1,0.220143,0.430467,0.349389,0,0,0.0927698,1.11022e-16,1.13243e-14,4.33681e-19
near7_9_R2p5_g0p20_l0p12_h0p45,"(7, 9)",2.5,0.2,0.12,0.45,unimodal,0,15,,,0,1,0.215938,0.432769,0.351292,0,0,0.0905805,2.22045e-16,1.11022e-14,4.33681e-19
near7_9_R3p5_g0p08_l0p00_h0p00,"(7, 9)",3.5,0.08,0,0,unimodal,0,22,,,0,1,0.302384,0.397546,0.30007,0,0,0.0316708,0,8.88178e-15,2.1684e-19
near7_9_R3p5_g0p08_l0p00_h0p25,"(7, 9)",3.5,0.08,0,0.25,unimodal,0,23,,,0,1,0.296202,0.400808,0.30299,0,0,0.0317319,2.22045e-16,8.77076e-15,2.1684e-19
near7_9_R3p5_g0p08_l0p00_h0p45,"(7, 9)",3.5,0.08,0,0.45,unimodal,0,24,,,0,1,0.289783,0.404173,0.306045,0,0,0.0312244,1.11022e-16,8.54872e-15,2.1684e-19
near7_9_R3p5_g0p08_l0p04_h0p00,"(7, 9)",3.5,0.08,0.04,0,unimodal,0,22,,,0,1,0.347492,0.373929,0.278579,0,0,0.0344116,0,8.99281e-15,4.29869e-19
near7_9_R3p5_g0p08_l0p04_h0p25,"(7, 9)",3.5,0.08,0.04,0.25,unimodal,0,23,,,0,1,0.342898,0.376312,0.28079,0,0,0.0338646,2.22045e-16,9.10383e-15,3.6253e-19
near7_9_R3p5_g0p08_l0p04_h0p45,"(7, 9)",3.5,0.08,0.04,0.45,unimodal,0,24,,,0,1,0.337732,0.378966,0.283302,0,0,0.0334979,1.11022e-16,8.21565e-15,3.74812e-19
near7_9_R3p5_g0p08_l0p08_h0p00,"(7, 9)",3.5,0.08,0.08,0,unimodal,0,22,,,0,1,0.389542,0.351627,0.25883,0,0,0.0370677,0,8.21565e-15,4.12267e-19
near7_9_R3p5_g0p08_l0p08_h0p25,"(7, 9)",3.5,0.08,0.08,0.25,unimodal,0,23,,,0,1,0.386496,0.353146,0.260358,0,0,0.0357742,2.22045e-16,6.88338e-15,3.93023e-19
near7_9_R3p5_g0p08_l0p08_h0p45,"(7, 9)",3.5,0.08,0.08,0.45,unimodal,0,24,,,0,1,0.382603,0.355075,0.262322,0,0,0.0355405,1.11022e-16,8.32667e-15,4.20187e-19
near7_9_R3p5_g0p08_l0p12_h0p00,"(7, 9)",3.5,0.08,0.12,0,unimodal,0,22,,,0,1,0.42841,0.330774,0.240816,0,0,0.0396638,0,7.88258e-15,4.27752e-19
near7_9_R3p5_g0p08_l0p12_h0p25,"(7, 9)",3.5,0.08,0.12,0.25,unimodal,0,23,,,0,1,0.426818,0.331475,0.241707,0,0,0.0375031,2.22045e-16,7.10543e-15,4.00223e-19
near7_9_R3p5_g0p08_l0p12_h0p45,"(7, 9)",3.5,0.08,0.12,0.45,unimodal,0,23,,,0,1,0.424164,0.3327,0.243136,0,0,0.0373928,1.11022e-16,7.21645e-15,4.26905e-19
