t,f_total,f_shortcut_no,f_shortcut_yes,survival,shortcut_share_inst,shortcut_share_cum
32,1.0351487515257305e-06,1.0351359658279558e-06,1.2785697774651399e-11,0.9999985932378392,1.2351556001788393e-05,0.0005283325554911948
33,3.1593243983704826e-06,3.159313772896813e-06,1.0625473669408216e-11,0.9999954339134408,3.363210715205006e-06,0.00016510061982993247
34,8.469277294642915e-06,8.469268514264883e-06,8.78037803290993e-12,0.9999869646361462,1.0367328554071309e-06,5.8505777646126655e-05
35,2.034921218471322e-05,2.0349204966277896e-05,7.2184353238555385e-12,0.9999666154239613,3.5472799921356104e-07,2.3060425677088867e-05
36,4.4519145460120496e-05,4.451913955353779e-05,5.906582706318274e-12,0.9999220962785014,1.3267511416204725e-07,9.958049529374886e-06
37,8.980494174406941e-05,8.980493693158475e-05,4.81248466036059e-12,0.9998322913367572,5.358819422293539e-08,4.654390457681592e-06
38,0.00016874630354888923,0.00016874629964317654,3.90571268916564e-12,0.9996635450332084,2.3145471083069243e-08,2.3316264938448693e-06
39,0.00029784816662137563,0.0002978481634629075,3.15846811911962e-12,0.9993656968665869,1.060428927579958e-08,1.2417497899438765e-06
40,0.000497306917700996,0.0004973069151549469,2.546049093293824e-12,0.9988683899488859,5.1196735912381314e-09,6.982898667185055e-07
41,0.0007901142628096463,0.000790114260762342,2.047304274067043e-12,0.9980782756860765,2.5911496228239558e-09,4.1225431260027417e-07
42,0.0012005439781555237,0.0012005439765101736,1.6453500308656194e-12,0.9968777317079207,1.3705037556337428e-09,2.5426530067538014e-07
43,0.0017521374014389363,0.001752137400110123,1.3288133886100855e-12,0.9951255943064818,7.583956529429726e-10,1.631405651197231e-07
44,0.002465398172660111,0.0024653981715663477,1.0937636676886201e-12,0.9926601961338218,4.436458499149745e-10,1.0849159972794584e-07
45,0.003355466185937062,0.003355466184990758,9.463038830677627e-13,0.9893047299478847,2.820186020749584e-10,7.45426121200587e-08
46,0.00443005481586339,0.00443005481495785,9.055404976099458e-13,0.9848746751320212,2.04408418236121e-10,5.2769703426435405e-08
47,0.005687904284577929,0.005687904283571526,1.0064027064102165e-12,0.9791867708474433,1.7693734916372572e-10,3.839698800990568e-08
48,0.007117936292612228,0.0071179362913106,1.3016279060884903e-12,0.9720688345548311,1.8286591121073422e-10,2.865855847281444e-08
49,0.008699205039359045,0.008699205037496726,1.862320118789191e-12,0.9633696295154722,2.140793452232971e-10,2.1903389117560443e-08
