t,f_total,k_0,k_1,k_2,k_3,k_4,k_5,k_6
1,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2,1.0249470664572091e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0249470664572091e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3,2.9833583207126372e-03,0.0000000000000000e+00,0.0000000000000000e+00,2.6980249163026278e-03,2.7919219264817860e-04,6.1412117618303840e-06,0.0000000000000000e+00,0.0000000000000000e+00
4,1.2465704155904409e-02,0.0000000000000000e+00,7.9623033465527800e-03,3.9898861622159705e-03,4.9404515508649489e-04,1.9248542310803533e-05,2.2094973835898588e-07,0.0000000000000000e+00
5,1.7041687335503881e-02,3.4788734079617141e-04,1.0940891837618727e-02,5.0102496553222900e-03,7.0269949456280053e-04,3.9050519897999747e-05,9.0130343154120822e-07,7.1838743545447690e-09
6,1.9684087722154676e-02,7.2651658352657002e-04,1.2307668164011239e-02,5.6755137578234117e-03,9.0760175942373382e-04,6.4541072030845268e-05,2.2149856240580035e-06,3.1399714817621467e-08
7,2.1150846898308671e-02,1.1113852193515019e-03,1.2706173502116924e-02,6.1328234976538174e-03,1.1014503438046646e-03,9.4676940930330720e-05,4.2559198656978261e-06,8.1474585730944418e-08
8,2.1966818658074028e-02,1.4694278831337304e-03,1.2644371697992226e-02,6.4364791443713709e-03,1.2810581240699215e-03,1.2827373052513470e-04,7.0444721775080684e-06,1.6360580413540102e-07
9,2.2381165579004228e-02,1.7945033139198173e-03,1.2341904755341821e-02,6.6256675605274994e-03,1.4440826768382738e-03,1.6418532262532236e-04,1.0541002913628597e-05,2.8094683787141537e-07
10,2.2533185499159194e-02,2.0842035341429891e-03,1.1917289900491609e-02,6.7258624201822987e-03,1.5893784672268098e-03,2.0135417265958229e-04,1.4663167966263645e-05,4.3383648964384731e-07
11,2.2504565258488023e-02,2.3390546926759896e-03,1.1433934246358130e-02,6.7561850554874901e-03,1.7166218249234852e-03,2.3884743201344855e-04,1.9301680084217745e-05,6.2032694526215885e-07
12,2.2347265084175463e-02,2.5605236761699914e-03,1.0927998912590801e-02,6.7316112665883150e-03,1.8260927573699550e-03,2.7586809655672992e-04,2.4333580350118310e-05,8.3679454954975784e-07
13,2.2096403931796307e-02,2.7506004200685817e-03,1.0420650822955712e-02,6.6642077682378198e-03,1.9184789145116595e-03,3.1175498024543682e-04,2.9632500919648172e-05,1.0785248574523075e-06
14,2.1776858333213373e-02,2.9115271502820257e-03,9.9244371038481344e-03,6.5637728485525709e-03,1.9947289887860369e-03,3.4597588641926990e-04,3.5076138410736866e-05,1.3402169146015743e-06
15,2.1406834233698203e-02,3.0456658405352841e-03,9.4466737149160561e-03,6.4382647731174034e-03,2.0559449630297749e-03,3.7811722107442458e-04,4.0551332854306040e-05,1.6163881709566665e-06
16,2.0999956413613966e-02,3.1554040943012340e-03,8.9913897909297633e-03,6.2941261225007844e-03,2.1033056716148347e-03,4.0787183972427788e-04,4.5957214378078854e-05,1.9016801649964974e-06
17,2.0566580052628299e-02,3.2430874249140774e-03,8.5605053045660490e-03,6.1365494337471994e-03,2.1380137048270585e-03,4.3502625407093381e-04,5.1206855508405400e-05,2.1910749945764506e-06
18,2.0114663939368026e-02,3.3109700642032520e-03,8.1545789513379242e-03,5.9696999237578915e-03,2.1612592433775681e-03,4.5944790770967281e-04,5.6227812414673758e-05,2.4800365670452961e-06
19,1.9650377983919470e-02,3.3611814176753695e-03,7.7732986936460934e-03,5.7969025011556192e-03,2.1741959318530772e-03,4.8107297469133722e-04,6.0961873497534891e-05,2.7645914004387041e-06
20,1.9178538965705261e-02,3.3957054132568057e-03,7.4158100047794686e-03,5.6207977111154854e-03,2.1779252389159459e-03,4.9989496437723082e-04,6.5364270456493186e-05,3.0413628038306866e-06
21,1.8702929547599521e-02,3.4163700982681646e-03,7.0809375542675588e-03,5.4434706910329493e-03,2.1734867852697339e-03,5.1595429790121563e-04,6.9402550324042912e-05,3.3075705358564709e-06
22,1.8226535079998166e-02,3.4248449802156637e-03,6.7673350022023513e-03,5.2665570208323721e-03,2.1618528743885513e-03,5.2932893754354098e-04,7.3055258759967064e-05,3.5610060557196904e-06
23,1.7751721117648632e-02,3.4226439205085682e-03,6.4735854673590530e-03,5.0913291109498113e-03,2.1439259916739952e-03,5.4012609034039157e-04,7.6310545283963198e-05,3.7999915328507186e-06
24,1.7280367517415185e-02,3.4111317780831682e-03,6.1982678497319614e-03,4.9187664220822153e-03,2.1205384041071001e-03,5.4847496499236192e-04,7.9164769403316750e-05,4.0233290150612210e-06
25,1.6813970418238747e-02,3.3915333927326853e-03,5.9399994471227326e-03,4.7496123962627781e-03,2.0924532434723089e-03,5.5452053227483160e-04,8.1621161742990918e-05,4.2302446304206028e-06
26,1.6353720300608728e-02,3.3649438510962738e-03,5.6974621435913943e-03,4.5844205503199811e-03,2.0603666284652079e-03,5.5841822050259294e-04,8.3688575206555390e-05,4.4203314267249909e-06
27,1.5900562139877877e-02,3.3323392732806196e-03,5.4694172822879420e-03,4.4235917770536004e-03,2.0249105003044541e-03,5.6032946669278038e-04,8.5380346838169444e-05,4.5934934203138287e-06
28,1.5455242097616092e-02,3.2945875922440466e-03,5.2547128263409591e-03,4.2674045365519017e-03,1.9866559304366660e-03,5.6041803895374716e-04,8.6713280481784792e-05,4.7498926069871709e-06
29,1.5018344049918919e-02,3.2524589769214580e-03,5.0522853485912966e-03,4.1160393076271635e-03,1.9461167192336281e-03,5.5884704475236925e-04,8.7706752741516895e-05,4.8899000514849863e-06
