t,f_total,survival_before,survival_after
1,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
2,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000002e+00
3,2.0173010973936889e-05,1.0000000000000002e+00,9.9997982698902632e-01
4,3.2598465011050127e-04,9.9997982698902632e-01,9.9965384233891597e-01
5,1.2801290119870252e-03,9.9965384233891597e-01,9.9837371332692904e-01
6,2.9386067592329576e-03,9.9837371332692904e-01,9.9543510656769596e-01
7,5.0900794979193541e-03,9.9543510656769596e-01,9.9034502706977667e-01
8,7.4636660928326919e-03,9.9034502706977667e-01,9.8288136097694412e-01
9,9.8362693692269562e-03,9.8288136097694412e-01,9.7304509160771713e-01
10,1.2058359435663331e-02,9.7304509160771713e-01,9.6098673217205399e-01
11,1.4045064686597299e-02,9.6098673217205399e-01,9.4694166748545683e-01
12,1.5758512883487175e-02,9.4694166748545683e-01,9.3118315460196954e-01
13,1.7191519732994976e-02,9.3118315460196954e-01,9.1399163486897472e-01
14,1.8355275117631478e-02,9.1399163486897472e-01,8.9563635975134326e-01
15,1.9270904950482580e-02,8.9563635975134326e-01,8.7636545480086070e-01
16,1.9964033384513982e-02,8.7636545480086070e-01,8.5640142141634690e-01
17,2.0461451525971442e-02,8.5640142141634690e-01,8.3593996989037533e-01
18,2.0789186098773220e-02,8.3593996989037533e-01,8.1515078379160233e-01
19,2.0971464340746863e-02,8.1515078379160233e-01,7.9417931945085551e-01
20,2.1030234935085639e-02,7.9417931945085551e-01,7.7314908451576991e-01
21,2.0985022721648598e-02,7.7314908451576991e-01,7.5216406179412132e-01
22,2.0852975380378565e-02,7.5216406179412132e-01,7.3131108641374287e-01
23,2.0649013408299544e-02,7.3131108641374287e-01,7.1066207300544337e-01
24,2.0386029073234210e-02,7.1066207300544337e-01,6.9027604393220909e-01
25,2.0075101913283860e-02,6.9027604393220909e-01,6.7020094201892533e-01
26,1.9725712109407281e-02,6.7020094201892533e-01,6.5047522990951812e-01
27,1.9345941592810598e-02,6.5047522990951812e-01,6.3112928831670767e-01
28,1.8942657959162067e-02,6.3112928831670767e-01,6.1218663035754561e-01
29,1.8521679374869204e-02,6.1218663035754561e-01,5.9366495098267635e-01
30,1.8087920462260272e-02,5.9366495098267635e-01,5.7557703052041620e-01
31,1.7645520139999551e-02,5.7557703052041620e-01,5.5793151038041666e-01
32,1.7197952888308492e-02,5.5793151038041666e-01,5.4073355749210816e-01
33,1.6748125104211524e-02,5.4073355749210816e-01,5.2398543238789674e-01
34,1.6298458234211711e-02,5.2398543238789674e-01,5.0768697415368502e-01
35,1.5850960297471212e-02,5.0768697415368502e-01,4.9183601385621389e-01
36,1.5407287288883353e-02,4.9183601385621389e-01,4.7642872656733048e-01
37,1.4968795806807817e-02,4.7642872656733048e-01,4.6145993076052272e-01
38,1.4536588101413792e-02,4.6145993076052272e-01,4.4692334265910894e-01
39,1.4111550595970463e-02,4.4692334265910894e-01,4.3281179206313858e-01
40,1.3694386799991661e-02,4.3281179206313858e-01,4.1911740526314689e-01
41,1.3285645412112725e-02,4.1911740526314689e-01,4.0583175985103415e-01
42,1.2885744302569523e-02,4.0583175985103415e-01,3.9294601554846464e-01
43,1.2494990969853029e-02,3.9294601554846464e-01,3.8045102457861169e-01
44,1.2113599982721230e-02,3.8045102457861169e-01,3.6833742459589042e-01
45,1.1741707846217834e-02,3.6833742459589042e-01,3.5659571674967261e-01
46,1.1379385667548642e-02,3.5659571674967261e-01,3.4521633108212402e-01
47,1.1026649943484949e-02,3.4521633108212402e-01,3.3418968113863912e-01
48,1.0683471744343411e-02,3.3418968113863912e-01,3.2350620939429575e-01
49,1.0349784529563177e-02,3.2350620939429575e-01,3.1315642486473255e-01
50,1.0025490795589672e-02,3.1315642486473255e-01,3.0313093406914293e-01
51,9.7104677274027322e-03,3.0313093406914293e-01,2.9342046634174018e-01
52,9.4045719999104778e-03,2.9342046634174018e-01,2.8401589434182972e-01
53,9.1076438539711094e-03,2.8401589434182972e-01,2.7490825048785866e-01
54,8.8195105534821724e-03,2.7490825048785866e-01,2.6608873993437648e-01
55,8.5399893143408897e-03,2.6608873993437648e-01,2.5754875062003557e-01
56,8.2688897827409066e-03,2.5754875062003557e-01,2.4927986083729473e-01
57,8.0060161288961432e-03,2.4927986083729473e-01,2.4127384470839860e-01
58,7.7511688125841711e-03,2.4127384470839860e-01,2.3352267589581441e-01
59,7.5041460686336488e-03,2.3352267589581441e-01,2.2601852982718082e-01
60,7.2647451534321060e-03,2.2601852982718082e-01,2.1875378467374873e-01
61,7.0327633875220058e-03,2.1875378467374873e-01,2.1172102128622672e-01
62,6.8079990242304600e-03,2.1172102128622672e-01,2.0491302226199626e-01
63,6.5902519699102893e-03,2.0491302226199626e-01,1.9832277029208600e-01
64,6.3793243776454544e-03,1.9832277029208600e-01,1.9194344591444057e-01
65,6.1750211330966970e-03,1.9194344591444057e-01,1.8576842478134387e-01
66,5.9771502484525941e-03,1.8576842478134387e-01,1.7979127453289129e-01
67,5.7855231781378386e-03,1.7979127453289129e-01,1.7400575135475344e-01
68,5.5999550679556318e-03,1.7400575135475344e-01,1.6840579628679783e-01
69,5.4202649476544195e-03,1.6840579628679783e-01,1.6298553133914342e-01
70,5.2462758754683921e-03,1.6298553133914342e-01,1.5773925546367501e-01
71,5.0778150419496151e-03,1.5773925546367501e-01,1.5266144042172544e-01
72,4.9147138393568568e-03,1.5266144042172544e-01,1.4774672658236859e-01
73,4.7568079019654702e-03,1.4774672658236859e-01,1.4298991868040312e-01
74,4.6039371218920778e-03,1.4298991868040312e-01,1.3838598155851106e-01
75,4.4559456443679568e-03,1.3838598155851106e-01,1.3393003591414310e-01
76,4.3126818458299127e-03,1.3393003591414310e-01,1.2961735406831321e-01
77,4.1739982977131882e-03,1.2961735406831321e-01,1.2544335577060003e-01
