t,f_total,survival_before,survival_after
1,0.0000000000000000e+00,1.0000000000000000e+00,9.9999999999999989e-01
2,0.0000000000000000e+00,9.9999999999999989e-01,9.9999999999999989e-01
3,4.9250515073088122e-06,9.9999999999999989e-01,9.9999507494849260e-01
4,1.5519897553674004e-04,9.9999507494849260e-01,9.9983987597295587e-01
5,9.2335405939741129e-04,9.9983987597295587e-01,9.9891652191355829e-01
6,2.6019901266184789e-03,9.9891652191355829e-01,9.9631453178693996e-01
7,4.8241447306815385e-03,9.9631453178693996e-01,9.9149038705625825e-01
8,7.2215752717800837e-03,9.9149038705625825e-01,9.8426881178447823e-01
9,9.5439693576397332e-03,9.8426881178447823e-01,9.7472484242683843e-01
10,1.1652190382971855e-02,9.7472484242683843e-01,9.6307265204386661e-01
11,1.3484091406854699e-02,9.6307265204386661e-01,9.4958856063701180e-01
12,1.5024504055464597e-02,9.4958856063701180e-01,9.3456405658154718e-01
13,1.6284382829598629e-02,9.3456405658154718e-01,9.1827967375194852e-01
14,1.7287666520190294e-02,9.1827967375194852e-01,9.0099200723175810e-01
15,1.8063477956960040e-02,9.0099200723175810e-01,8.8292852927479792e-01
16,1.8641730259323780e-02,8.8292852927479792e-01,8.6428679901547423e-01
17,1.9050812074408927e-02,8.6428679901547423e-01,8.4523598694106528e-01
18,1.9316500852779514e-02,8.4523598694106528e-01,8.2591948608828569e-01
19,1.9461578092986678e-02,8.2591948608828569e-01,8.0645790799529893e-01
20,1.9505828836322889e-02,8.0645790799529893e-01,7.8695207915897614e-01
21,1.9466237254597028e-02,7.8695207915897614e-01,7.6748584190437907e-01
22,1.9357269291699331e-02,7.6748584190437907e-01,7.4812857261267962e-01
23,1.9191181002469460e-02,7.4812857261267962e-01,7.2893739161021021e-01
24,1.8978319615754084e-02,7.2893739161021021e-01,7.0995907199445618e-01
25,1.8727400995934632e-02,7.0995907199445618e-01,6.9123167099852145e-01
26,1.8445756742461628e-02,6.9123167099852145e-01,6.7278591425605994e-01
27,1.8139549492493374e-02,6.7278591425605994e-01,6.5464636476356641e-01
28,1.7813957804968705e-02,6.5464636476356641e-01,6.3683240695859766e-01
29,1.7473333350419187e-02,6.3683240695859766e-01,6.1935907360817855e-01
30,1.7121333638595637e-02,6.1935907360817855e-01,6.0223773996958285e-01
