t,f_total,k_0,k_1,k_2,k_3,k_4,k_5,k_6
1,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3,4.9250515073088122e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.9250515073088122e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
4,1.5519897553674004e-04,0.0000000000000000e+00,0.0000000000000000e+00,1.7562596868076909e-06,3.2828546453405303e-05,1.2061416939652705e-04,0.0000000000000000e+00,0.0000000000000000e+00
5,9.2335405939741129e-04,0.0000000000000000e+00,1.8222286806423265e-07,7.7639876705909428e-06,9.4662318146151645e-05,3.8822450162475161e-04,4.3252102908785284e-04,0.0000000000000000e+00
6,2.6019901266184789e-03,1.1732375503700994e-08,8.4834436271507928e-07,1.9871077297241246e-05,1.9060482818184795e-04,7.7066085057297539e-04,1.1752055868214394e-03,4.4478770700675629e-04
7,4.8241447306815385e-03,5.7359534892252962e-08,2.3252032991092698e-06,3.8955184437806325e-05,3.1479685593813141e-04,1.2172740934767339e-03,2.0637932298920225e-03,1.1869428041028432e-03
8,7.2215752717800837e-03,1.6408543005060458e-07,4.8975414455236836e-06,6.5075929393929705e-05,4.5922626218095552e-04,1.6841809265615252e-03,2.9691177712418168e-03,2.0389127555262821e-03
9,9.5439693576397332e-03,3.5875992706669873e-07,8.7712917490982751e-06,9.7724494300778519e-05,6.1594199946849164e-04,2.1399561281195585e-03,3.8118227098719957e-03,2.8693939742027432e-03
10,1.1652190382971855e-02,6.6390877495263166e-07,1.4060099942914358e-05,1.3604461811388716e-04,7.7804341396152561e-04,2.5647059088639182e-03,4.5510976984331651e-03,3.6075747348814917e-03
11,1.3484091406854699e-02,1.0954374140109730e-06,2.0787312129334948e-05,1.7899898862995883e-04,9.3998952374717564e-04,2.9473280350364324e-03,5.1715302139476206e-03,4.2243618959501650e-03
12,1.5024504055464597e-02,1.6617674263988618e-06,2.8897127481533208e-05,2.2548579620811017e-04,1.0975722756590260e-03,3.2828445381241924e-03,5.6728645276720507e-03,4.7151780228932866e-03
13,1.6284382829598629e-02,2.3640177181474492e-06,3.8270273047886694e-05,2.7441655157683069e-04,1.2477489563226868e-03,3.5702974846086250e-03,6.0630787127551877e-03,5.0882068335692662e-03
14,1.7287666520190294e-02,3.1968513783074338e-06,4.8741004657852479e-05,3.2476562773106469e-04,1.3884344343617838e-03,3.8112272705567445e-03,6.3540288215517670e-03,5.3572725099527759e-03
15,1.8063477956960040e-02,4.1496773663955954e-06,6.0113395362419471e-05,3.7559977645183610e-04,1.5183004603056341e-03,4.0086221962938508e-03,6.5588509314966920e-03,5.5378415196832113e-03
16,1.8641730259323780e-02,5.2079773870926038e-06,7.2175744193647969e-05,4.2609371186288960e-04,1.6366008953049183e-03,4.1662160216793791e-03,6.6904964160623059e-03,5.6449394928335473e-03
17,1.9050812074408927e-02,6.3546024811090632e-06,8.4712557751119919e-05,4.7553613430402350e-04,1.7430276618842565e-03,4.2880313985861939e-03,6.7609701992207092e-03,5.6921795201815137e-03
18,1.9316500852779514e-02,7.5709440237376140e-06,9.7513971648898276e-05,5.2332930007236420e-04,1.8375958301846663e-03,4.3780927038193440e-03,6.7809911220402279e-03,5.6914069809902747e-03
19,1.9461578092986678e-02,8.8379290704852774e-06,1.1038273607220497e-04,5.6898433881715903e-04,1.9205538280363983e-03,4.4402535227823677e-03,6.7598967382549204e-03,5.6526689999531433e-03
20,1.9505828836322889e-02,1.0136821954887638e-05,1.2313903273352084e-04,6.1211388371924043e-04,1.9923142504334602e-03,4.4781004969751707e-03,6.7056826765599488e-03,5.5843416739466585e-03
21,1.9466237254597028e-02,1.1449835198492036e-05,1.3562345494381922e-04,6.5242313035887773e-04,2.0534010705776803e-03,4.4949071327407848e-03,6.6251100661450938e-03,5.4933225646322794e-03
22,1.9357269291699331e-02,1.2760565660798687e-05,1.4769849580076436e-04,6.8970011995312340e-04,2.1044096809346739e-03,4.4936195475647461e-03,6.5238417430255264e-03,5.3852391387596982e-03
23,1.9191181002469460e-02,1.4054278678775068e-05,1.5924887179766126e-04,7.2380581106042574e-04,2.1459768636989643e-03,4.4768619636848389e-03,6.4065847983994229e-03,5.2646484151493726e-03
24,1.8978319615754084e-02,1.5318065566080978e-05,1.7018097460386145e-04,7.5466433387532208e-04,2.1787583977212412e-03,4.4469537893394445e-03,6.2772273043969319e-03,5.1352167502512020e-03
25,1.8727400995934632e-02,1.6540899702396779e-05,1.8042170182991005e-04,7.8225369497866165e-04,2.2034125179675127e-03,4.4059328973025834e-03,6.1389632137900550e-03,4.9998760703635105e-03
26,1.8445756742461628e-02,1.7713614621828717e-05,1.8991687430466216e-04,8.0659710596908555e-04,2.2205878521153535e-03,4.3555816030175056e-03,5.9944030408690101e-03,4.8609566515641816e-03
27,1.8139549492493374e-02,1.8828824781801623e-05,1.9862940635661592e-04,8.2775503870737813e-04,2.2309147786731417e-03,4.2974531302609822e-03,5.8456699751609333e-03,4.7202983385525197e-03
28,1.7813957804968705e-02,1.9880806594545346e-05,2.0653735874124864e-04,8.4581805730841227e-04,2.2349993976581014e-03,4.2328972187152389e-03,5.6944821738812487e-03,4.5793427920699107e-03
29,1.7473333350419187e-02,2.0865354182305532e-05,2.1363197202617118e-04,8.6090043841393184e-04,2.2334194935723275e-03,4.1630841056369749e-03,5.5422225058978794e-03,4.4392094806895988e-03
30,1.7121333638595637e-02,2.1779621388875494e-05,2.1991575158149696e-04,8.7313456358367758e-04,2.2267220142598416e-03,4.0890264935790075e-03,5.3899972160201051e-03,4.3007579781826309e-03
31,1.6761033561557066e-02,2.2621958961281635e-05,2.2540065356024905e-04,8.8266604845300522e-04,2.2154216988188665e-03,4.0115993606368921e-03,5.2386849883950329e-03,4.1646388527317377e-03
32,1.6395018835714030e-02,2.3391753557499325e-05,2.3010640391056699e-04,8.8964956071843344e-04,2.2000005713782096e-03,3.9315576224415744e-03,5.0889777993656056e-03,4.0313351243421412e-03
33,1.6025464122020629e-02,2.4089273346616849e-05,2.3405896896097926e-04,8.9424527149934894e-04,2.1809080815755493e-03,3.8495517461510629e-03,4.9414148155249894e-03,3.9011959649620808e-03
34,1.5654198262733770e-02,2.4715523427964542e-05,2.3728918586813730e-04,8.9661588095099132e-04,2.1585617217968456e-03,3.7661414667223576e-03,4.7964104422372686e-03,3.7744640417302043e-03
35,1.5282758736129089e-02,2.5272113071629294e-05,2.3983155364806194e-04,8.9692415817771659e-04,2.1333479892494201e-03,3.6818077789882130e-03,4.6542774785474335e-03,3.6512976644466136e-03
36,1.4912437117730840e-02,2.5761135833952189e-05,2.4172318011546316e-04,8.9533093672206163e-04,2.1056235904379850e-03,3.5969633852290235e-03,4.5152461950445028e-03,3.5317886943478510e-03
37,1.4544317056931769e-02,2.6185062886016504e-05,2.4300287638358541e-04,8.9199350955511555e-04,2.0757168086055601e-03,3.5119617735945036e-03,4.3794800259254465e-03,3.4159769999815414e-03
38,1.4179306033796361e-02,2.6546649370455363e-05,2.4371038824818009e-04,8.8706437107529160e-04,2.0439289726981967e-03,3.4271050923020624e-03,4.2470884564983387e-03,3.3038621036038350e-03
39,1.3818161951288670e-02,2.6848853235380317e-05,2.4388575247589613e-04,8.8069025775708222e-04,2.0105359805487580e-03,3.3426509709335796e-03,4.1181375923727039e-03,3.1954125439652707e-03
