t,f_total,k_0,k_1,k_2,k_3,k_4,k_5,k_6
1,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2,1.0249470664572087e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0249470664572087e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3,2.9833583207126355e-03,0.0000000000000000e+00,0.0000000000000000e+00,2.6980249163026265e-03,2.7919219264817860e-04,6.1412117618303857e-06,0.0000000000000000e+00,0.0000000000000000e+00
4,1.2465704155904400e-02,0.0000000000000000e+00,7.9623033465527730e-03,3.9898861622159696e-03,4.9404515508649478e-04,1.9248542310803533e-05,2.2094973835898591e-07,0.0000000000000000e+00
5,1.7041687335503878e-02,3.4788734079617108e-04,1.0940891837618722e-02,5.0102496553222900e-03,7.0269949456280042e-04,3.9050519897999747e-05,9.0130343154120822e-07,7.1838743545447690e-09
6,1.9684087722154669e-02,7.2651658352656959e-04,1.2307668164011236e-02,5.6755137578234109e-03,9.0760175942373360e-04,6.4541072030845255e-05,2.2149856240580035e-06,3.1399714817621460e-08
7,2.1150846898308661e-02,1.1113852193515013e-03,1.2706173502116920e-02,6.1328234976538148e-03,1.1014503438046639e-03,9.4676940930330693e-05,4.2559198656978244e-06,8.1474585730944418e-08
8,2.1966818658074021e-02,1.4694278831337293e-03,1.2644371697992221e-02,6.4364791443713675e-03,1.2810581240699209e-03,1.2827373052513462e-04,7.0444721775080667e-06,1.6360580413540096e-07
9,2.2381165579004218e-02,1.7945033139198164e-03,1.2341904755341812e-02,6.6256675605274960e-03,1.4440826768382731e-03,1.6418532262532225e-04,1.0541002913628590e-05,2.8094683787141521e-07
10,2.2533185499159180e-02,2.0842035341429878e-03,1.1917289900491601e-02,6.7258624201822935e-03,1.5893784672268091e-03,2.0135417265958221e-04,1.4663167966263634e-05,4.3383648964384705e-07
11,2.2504565258488009e-02,2.3390546926759883e-03,1.1433934246358121e-02,6.7561850554874866e-03,1.7166218249234839e-03,2.3884743201344838e-04,1.9301680084217732e-05,6.2032694526215853e-07
12,2.2347265084175442e-02,2.5605236761699901e-03,1.0927998912590792e-02,6.7316112665883115e-03,1.8260927573699539e-03,2.7586809655672970e-04,2.4333580350118293e-05,8.3679454954975742e-07
13,2.2096403931796290e-02,2.7506004200685799e-03,1.0420650822955702e-02,6.6642077682378155e-03,1.9184789145116584e-03,3.1175498024543660e-04,2.9632500919648155e-05,1.0785248574523067e-06
