t,f_total,k_0,k_1,k_2,k_3,k_4,k_5,k_6
1,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2,1.0249470664572087e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0249470664572087e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3,2.9833583207126355e-03,0.0000000000000000e+00,0.0000000000000000e+00,6.1412117618303857e-06,2.7919219264817860e-04,2.6980249163026265e-03,0.0000000000000000e+00,0.0000000000000000e+00
4,1.2465704155904400e-02,0.0000000000000000e+00,2.2094973835898591e-07,1.9248542310803533e-05,4.9404515508649478e-04,3.9898861622159696e-03,7.9623033465527730e-03,0.0000000000000000e+00
5,1.7041687335503878e-02,7.1838743545447690e-09,9.0130343154120822e-07,3.9050519897999747e-05,7.0269949456280042e-04,5.0102496553222891e-03,1.0940891837618722e-02,3.4788734079617108e-04
6,1.9684087722154672e-02,3.1399714817621460e-08,2.2149856240580030e-06,6.4541072030845255e-05,9.0760175942373360e-04,5.6755137578234109e-03,1.2307668164011236e-02,7.2651658352656959e-04
7,2.1150846898308661e-02,8.1474585730944418e-08,4.2559198656978244e-06,9.4676940930330693e-05,1.1014503438046639e-03,6.1328234976538156e-03,1.2706173502116920e-02,1.1113852193515013e-03
8,2.1966818658074018e-02,1.6360580413540096e-07,7.0444721775080667e-06,1.2827373052513464e-04,1.2810581240699209e-03,6.4364791443713683e-03,1.2644371697992221e-02,1.4694278831337297e-03
9,2.2381165579004225e-02,2.8094683787141521e-07,1.0541002913628590e-05,1.6418532262532225e-04,1.4440826768382731e-03,6.6256675605274977e-03,1.2341904755341814e-02,1.7945033139198164e-03
10,2.2533185499159183e-02,4.3383648964384705e-07,1.4663167966263634e-05,2.0135417265958221e-04,1.5893784672268091e-03,6.7258624201822961e-03,1.1917289900491601e-02,2.0842035341429878e-03
11,2.2504565258488009e-02,6.2032694526215853e-07,1.9301680084217732e-05,2.3884743201344838e-04,1.7166218249234843e-03,6.7561850554874858e-03,1.1433934246358121e-02,2.3390546926759883e-03
12,2.2347265084175446e-02,8.3679454954975742e-07,2.4333580350118289e-05,2.7586809655672970e-04,1.8260927573699542e-03,6.7316112665883115e-03,1.0927998912590792e-02,2.5605236761699901e-03
13,2.2096403931796293e-02,1.0785248574523067e-06,2.9632500919648151e-05,3.1175498024543655e-04,1.9184789145116584e-03,6.6642077682378164e-03,1.0420650822955702e-02,2.7506004200685799e-03
