binary_tube_states,budget_abs_gap_to_continuum,budget_invariance_relative_error,dimensionless_f_t_residual,dimensionless_f_tt_residual,discretization,fold_density,fold_found,fold_theta,fold_theta_physical,fold_time,frac_tube_sum,free_mass_balance_relative_error,initial_tube_fraction_mass,jacobian_determinant,kappa_bar,matched_budget,n,normalized_margin_f_ttheta,normalized_margin_f_ttt,product_states,setup_seconds,solve_seconds,spacing
5341,0.0005786656266949519,1.7314315963557148e-15,6.838764072150587e-15,0.0,upwind,0.0007115178378660932,True,-0.04312179508070551,False,17.952012086963276,6003.78125,1.7411075369456075e-16,0.0,4.696875803942573e-10,2.254152621408935,0.17633461952209473,17,3.5727591751175445,-26.970331005576057,83521,0.36137288296595216,59.03957587201148,0.0625
5341,0.0005786656266949519,1.7314315963557148e-15,1.730343968537342e-14,8.470921469674187e-13,scharfetter_gummel,0.0005029212135052472,True,-0.13857708024239646,False,18.293030696548424,6003.78125,1.418262966991681e-16,0.0,1.4404950894888355e-09,2.254152621408935,0.17633461952209473,17,24.583322296630133,-25.942626923245903,83521,0.36137288296595216,57.11534192500403,0.0625
14193,0.0017123015516493922,1.275798352510295e-15,6.270131840220856e-14,3.6910578075172493e-13,upwind,0.0005885035502731924,True,-0.10001904898824608,False,18.273393451374726,14065.265625,1.9381962241137486e-16,0.0,8.096201097582706e-10,2.2414399390278312,0.17404365234375038,21,9.634782212219335,-27.053161895353636,194481,0.8627782189869322,140.26614307198906,0.05
14193,0.0017123015516493922,1.275798352510295e-15,1.3135297511981447e-14,2.987008936586035e-13,scharfetter_gummel,0.000427467005689446,True,-0.14583425993945173,False,17.79573509935452,14065.265625,1.8888516220567563e-16,0.0,1.3330407148869732e-09,2.2414399390278312,0.17404365234375038,21,31.90408080284498,-22.932727420815485,194481,0.8627782189869322,113.35830340097891,0.05
26733,0.001974571086063831,4.997331886533041e-15,1.1180556280137712e-14,3.348274738839162e-13,upwind,0.0004880422371248299,True,-0.11811165633327231,False,18.30112782127208,28899.5,2.2232918628347413e-16,0.0,8.16399032373588e-10,2.2560307856565593,0.1777305249814636,25,14.316695591971794,-26.856925172524743,390625,1.6809250959777273,330.44952296296833,0.041666666666666664
26733,0.001974571086063831,4.997331886533041e-15,4.0590799343526604e-15,3.90367584239879e-13,scharfetter_gummel,0.0003528212738881671,True,-0.15071084303611784,False,17.441757694077577,28899.5,2.3639486492757497e-16,0.0,9.49858089887199e-10,2.2560307856565593,0.1777305249814636,25,35.09997325149924,-20.118861849492852,390625,1.6809250959777273,271.40428477397654,0.041666666666666664
