N,n0,m0,shortcut_src,shortcut_dst,t_ignore,t_max_scan,has_two_onset_beta,has_two_onset_window,has_two_onset_ext,has_two_onset_source,onset_beta,onset_beta_window,onset_beta_ext,onset_source,onset_search_max_beta,has_two_fraction,clear_fraction,rep_beta,rep_has_two,rep_clear,rep_phase,rep_t1,rep_t2,rep_sep_peaks,rep_peak_ratio,rep_valley_ratio,rep_mass_tmax,rep_survival_tmax,rep_peak1_fraction,rep_peak2_fraction,rep_peak3_fraction,rep_other_fraction,rep_dominant_site_full,rep_dominant_site_peak1,rep_dominant_site_peak2,rep_dominant_site_peak3,rep_top_site_full_fraction
61,3,33,3,42,48,900,0.0,0.0,,main,0.0,0.0,,main,0.3,1.0,0.25,0.2,True,False,1,114,191,0.6443514644351465,0.1929585570421978,0.14423057453113233,0.9999998162006668,1.8379933333201458e-07,0.3731329919811608,0.046545115741598975,0.0,0.58032189227724,22,60,38,,0.08032558208359507
81,4,44,4,56,64,1123,0.0,0.0,,main,0.0,0.0,,main,0.3,1.0,0.5625,0.2,True,False,1,153,256,0.6821192052980133,0.18676756386266627,0.10224152023180028,0.9999995270482868,4.7295171331939143e-07,0.3527588212809153,0.04617062455019015,0.0,0.601070554168895,29,80,51,,0.06894466774049854
101,5,55,5,70,80,1400,0.0,0.0,,main,0.0,0.0,,main,0.3,1.0,1.0,0.2,True,True,2,108,321,2.7662337662337664,0.30633499651607055,0.12568824538290768,0.9999995258051155,4.741948845169653e-07,0.14135401885719598,0.19632291945963165,0.04535204651388847,0.6169710151692839,36,40,100,63,0.060883364593387626
121,6,66,6,84,96,1677,0.0,0.0,,main,0.0,0.0,,main,0.3,1.0,1.0,0.2,True,True,2,132,386,2.988235294117647,0.3112841899399739,0.09740917531989719,0.9999995256398448,4.743601553256443e-07,0.12927735858674153,0.19622009134617932,0.0450869745418764,0.6294155755252022,44,28,120,76,0.05533157580917708
141,7,77,7,98,112,1800,0.0,0.0,,main,0.0,0.0,,main,0.3,1.0,1.0,0.2,True,True,2,154,451,3.176470588235294,0.3108834669871738,0.07550401333078234,0.9999984808924485,1.5191075513862148e-06,0.11919308581010436,0.1967334768921427,0.04478113178518749,0.6392923055125658,51,32,140,89,0.05107095899210414
161,8,88,8,112,128,1800,0.0,0.0,,main,0.0,0.0,,main,0.3,1.0,1.0,0.2,True,True,2,177,516,5.603305785123967,0.3091225560522803,0.05941560432899907,0.9999918718139588,8.128186041174046e-06,0.11111469616371653,0.1969827964262329,0.044732916200157576,0.647169591209893,58,37,160,102,0.047462128723550254
181,9,99,9,125,143,1800,0.0,0.0,,main,0.0,0.0,,main,0.3,1.0,1.0,0.2,True,True,2,200,581,6.0,0.3086902683357921,0.04897750408497676,0.9999702991089711,2.9700891028888046e-05,0.10797081810630514,0.19750788353980542,0.04465612318310408,0.6498651751707849,66,42,0,114,0.04478261098886758
201,10,109,10,139,159,1800,0.0,0.0,,main,0.0,0.0,,main,0.3,1.0,1.0,0.2,True,True,2,221,645,6.424242424242424,0.30629612107513043,0.03973251146186668,0.999917811751218,8.218824878202885e-05,0.09756806196269863,0.17762962702435317,0.02018364008220628,0.7046186709307416,73,46,200,177,0.04254543980403041
