N,beta,peak_id,t_left,t_peak,t_right,mass_total,fraction_total,mass_yes,mass_no,shortcut_share,dominant_site,dominant_site_fraction,site_entropy
121,0.06,peak2,327,387,479,0.046292778882916434,0.04629279795856896,0.002874568364574795,0.043418210518341646,0.06209539444251435,76,0.03467954311225597,3.938870604731414
121,0.06,other,,,,0.6783205197157274,0.6783207992281448,0.001713865006364021,0.676606654709364,0.0025266300466367624,44,0.08267364709969718,3.0674644399040543
121,0.08,peak1,96,130,175,0.09351318363993227,0.09351322299980495,0.03322867794388587,0.06028450569604641,0.3553368268567477,48,0.046917622624564295,3.7371301226865774
121,0.08,peak2,176,231,328,0.18960042748656453,0.1896005072897366,0.012814527214747965,0.1767859002718166,0.0675870164673338,120,0.04502271390259343,3.671498550800431
121,0.08,peak3,329,387,479,0.04605153571776736,0.046051555100944275,0.003690059285400012,0.04236147643236735,0.08012890836073319,76,0.034269880702049046,3.9592400422108316
121,0.08,other,,,,0.6708344322540556,0.670834714609514,0.002252546161448772,0.6685818860926074,0.0033578272866525987,44,0.08266614964475896,3.0695640671674083
121,0.1,peak1,96,131,176,0.10018402684059402,0.10018406989039269,0.04076362325423548,0.05942040358635853,0.4068874504225686,48,0.04322626664911151,3.7718383065713077
121,0.1,peak2,177,231,329,0.19039744066850733,0.19039752248366038,0.01608515590139157,0.17431228476711577,0.08448199642240324,120,0.04457457532408974,3.691223320854228
121,0.1,peak3,330,387,479,0.045893418249102855,0.04589343796983557,0.004526652105634816,0.04136676614346803,0.09863401503598623,76,0.03383561608417832,3.980178875221933
121,0.1,other,,,,0.6635246845347705,0.6635249696561115,0.002776273802518763,0.6607484107322518,0.004184130398201151,44,0.08265744852282948,3.071649657433152
121,0.12,peak1,96,131,176,0.10647251184131193,0.10647255853160444,0.04791315413543386,0.058559357705878064,0.4500049196439009,48,0.04014944662417483,3.792731868215919
121,0.12,peak2,177,231,331,0.1915363339596824,0.1915364179521355,0.019564765444103814,0.17197156851557852,0.10214649638340742,120,0.0440894048598417,3.712931117315063
