window,n,frac,P_sc_ge1,P_jo_ge1,C0,C1,C2p,J0,J1,J2p,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p,class_D_taujo_lt_tausc,class_D_tausc_lt_taujo,class_D_tie,P_sc_ge1_ci95_lo,P_sc_ge1_ci95_hi,P_jo_ge1_ci95_lo,P_jo_ge1_ci95_hi
peak1,3409,0.017045,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.9988743690887969,1.0,0.0,0.0011256309112031451
valley,2711,0.013555,0.9107340464773146,0.0,0.08926595352268536,0.9107340464773146,0.0,1.0,0.0,0.0,0.08926595352268536,0.9107340464773146,0.0,0.0,,,,0.8994114839582267,0.9208942016478875,0.0,0.0014150365163109332
peak2,5649,0.028245,0.20800141617985485,0.0,0.7919985838201452,0.20782439369799965,0.0001770224818551956,1.0,0.0,0.0,0.7919985838201452,0.20800141617985485,0.0,0.0,,,,0.19761720611285938,0.21878250337130523,5.421010862427522e-20,0.0006795874131693342
other,188231,0.941155,0.21949094463717453,0.0,0.7805090553628254,0.21865686310968968,0.0008340815274848457,1.0,0.0,0.0,0.7805090553628254,0.21949094463717453,0.0,0.0,,,,0.21762682541098305,0.2213665134290035,0.0,2.0408549062151944e-05
