window,n,frac,P_sc_ge1,P_jo_ge1,C0,C1,C2p,J0,J1,J2p,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p,class_D_taujo_lt_tausc,class_D_tausc_lt_taujo,class_D_tie,P_sc_ge1_ci95_lo,P_sc_ge1_ci95_hi,P_jo_ge1_ci95_lo,P_jo_ge1_ci95_hi
peak1,72,0.00036,1.0,0.375,0.0,1.0,0.0,0.625,0.2222222222222222,0.1527777777777778,0.0,0.625,0.0,0.375,0.0,1.0,0.0,0.9493470601886036,1.0,0.27219009399354577,0.4904731409593034
valley,88,0.00044,0.8522727272727273,0.26136363636363635,0.14772727272727273,0.8522727272727273,0.0,0.7386363636363636,0.19318181818181818,0.06818181818181818,0.125,0.6136363636363636,0.022727272727272728,0.23863636363636365,0.0,1.0,0.0,0.7634870210099294,0.9115883261094588,0.18093113139383876,0.3617597624930273
peak2,5822,0.02911,0.007557540364136035,0.25437993816557886,0.992442459635864,0.007557540364136035,0.0,0.7456200618344212,0.1556166265888011,0.09876331157677774,0.739780144280316,0.005839917554105119,0.2526623153555479,0.0017176228100309172,0.0,1.0,0.0,0.005634756324322258,0.01012976429017574,0.24335724920981283,0.265726554235856
other,194018,0.97009,0.008050799410363987,0.2765877392819223,0.991949200589636,0.008030182766547433,2.0616643816553103e-05,0.7234122607180777,0.1708913605954087,0.10569637868651362,0.7185879660650043,0.004824294653073426,0.27336123452463174,0.003226504757290561,0.04472843450479233,0.9552715654952076,0.0,0.007662776141399134,0.008458303703046588,0.2746017588453028,0.2785825667693037
