K,window,class,mode,delta,prop,baseline_prop,delta_prop,n
K=2,valley,C1pJ1p,shift,-1,0.0,0.0,0.0,1247
K=2,valley,C0J0,width,-1,0.0767289247854619,0.0767289247854619,0.0,1190
K=2,valley,C1pJ0,width,-1,0.9232710752145382,0.9232710752145381,1.1102230246251565e-16,1190
K=2,valley,C0J1p,width,-1,0.0,0.0,0.0,1190
K=2,valley,C1pJ1p,width,-1,0.0,0.0,0.0,1190
K=2,valley,C0J0,shift,0,0.07672892478546191,0.0767289247854619,1.3877787807814457e-17,1242
K=2,valley,C1pJ0,shift,0,0.9232710752145382,0.9232710752145381,1.1102230246251565e-16,1242
K=2,valley,C0J1p,shift,0,0.0,0.0,0.0,1242
K=2,valley,C1pJ1p,shift,0,0.0,0.0,0.0,1242
K=2,valley,C0J0,width,0,0.07672892478546191,0.0767289247854619,1.3877787807814457e-17,1242
K=2,valley,C1pJ0,width,0,0.9232710752145382,0.9232710752145381,1.1102230246251565e-16,1242
K=2,valley,C0J1p,width,0,0.0,0.0,0.0,1242
K=2,valley,C1pJ1p,width,0,0.0,0.0,0.0,1242
K=2,valley,C0J0,shift,1,0.0767289247854619,0.0767289247854619,0.0,1236
K=2,valley,C1pJ0,shift,1,0.9232710752145381,0.9232710752145381,0.0,1236
K=2,valley,C0J1p,shift,1,0.0,0.0,0.0,1236
K=2,valley,C1pJ1p,shift,1,0.0,0.0,0.0,1236
K=2,valley,C0J0,width,1,0.0767289247854619,0.0767289247854619,0.0,1293
K=2,valley,C1pJ0,width,1,0.9232710752145381,0.9232710752145381,0.0,1293
K=2,valley,C0J1p,width,1,0.0,0.0,0.0,1293
K=2,valley,C1pJ1p,width,1,0.0,0.0,0.0,1293
K=2,valley,C0J0,shift,2,0.07672892478546191,0.0767289247854619,1.3877787807814457e-17,1227
K=2,valley,C1pJ0,shift,2,0.9232710752145381,0.9232710752145381,0.0,1227
K=2,valley,C0J1p,shift,2,0.0,0.0,0.0,1227
K=2,valley,C1pJ1p,shift,2,0.0,0.0,0.0,1227
K=2,valley,C0J0,width,2,0.0767289247854619,0.0767289247854619,0.0,1355
K=2,valley,C1pJ0,width,2,0.9232710752145381,0.9232710752145381,0.0,1355
K=2,valley,C0J1p,width,2,0.0,0.0,0.0,1355
K=2,valley,C1pJ1p,width,2,0.0,0.0,0.0,1355
K=2,valley,C0J0,shift,5,0.07672892478546188,0.0767289247854619,-1.3877787807814457e-17,1214
K=2,valley,C1pJ0,shift,5,0.9232710752145381,0.9232710752145381,0.0,1214
K=2,valley,C0J1p,shift,5,0.0,0.0,0.0,1214
K=2,valley,C1pJ1p,shift,5,0.0,0.0,0.0,1214
K=2,valley,C0J0,width,5,0.07293857736615336,0.0767289247854619,-0.003790347419308532,1498
K=2,valley,C1pJ0,width,5,0.9270614226338466,0.9232710752145381,0.003790347419308504,1498
K=2,valley,C0J1p,width,5,0.0,0.0,0.0,1498
K=2,valley,C1pJ1p,width,5,0.0,0.0,0.0,1498
K=2,peak2,C0J0,shift,-5,0.851449275362319,0.8514492753623188,1.1102230246251565e-16,1471
K=2,peak2,C1pJ0,shift,-5,0.14855072463768118,0.14855072463768115,2.7755575615628914e-17,1471
K=2,peak2,C0J1p,shift,-5,0.0,0.0,0.0,1471
K=2,peak2,C1pJ1p,shift,-5,0.0,0.0,0.0,1471
K=2,peak2,C0J0,width,-5,0.851449275362319,0.8514492753623188,1.1102230246251565e-16,1160
K=2,peak2,C1pJ0,width,-5,0.14855072463768118,0.14855072463768115,2.7755575615628914e-17,1160
K=2,peak2,C0J1p,width,-5,0.0,0.0,0.0,1160
K=2,peak2,C1pJ1p,width,-5,0.0,0.0,0.0,1160
K=2,peak2,C0J0,shift,-2,0.851449275362319,0.8514492753623188,1.1102230246251565e-16,1485
K=2,peak2,C1pJ0,shift,-2,0.14855072463768115,0.14855072463768115,0.0,1485
K=2,peak2,C0J1p,shift,-2,0.0,0.0,0.0,1485
K=2,peak2,C1pJ1p,shift,-2,0.0,0.0,0.0,1485
K=2,peak2,C0J0,width,-2,0.8514492753623188,0.8514492753623188,0.0,1354
K=2,peak2,C1pJ0,width,-2,0.14855072463768115,0.14855072463768115,0.0,1354
K=2,peak2,C0J1p,width,-2,0.0,0.0,0.0,1354
K=2,peak2,C1pJ1p,width,-2,0.0,0.0,0.0,1354
K=2,peak2,C0J0,shift,-1,0.851449275362319,0.8514492753623188,1.1102230246251565e-16,1489
K=2,peak2,C1pJ0,shift,-1,0.14855072463768115,0.14855072463768115,0.0,1489
K=2,peak2,C0J1p,shift,-1,0.0,0.0,0.0,1489
K=2,peak2,C1pJ1p,shift,-1,0.0,0.0,0.0,1489
K=2,peak2,C0J0,width,-1,0.8514492753623188,0.8514492753623188,0.0,1431
K=2,peak2,C1pJ0,width,-1,0.14855072463768115,0.14855072463768115,0.0,1431
K=2,peak2,C0J1p,width,-1,0.0,0.0,0.0,1431
K=2,peak2,C1pJ1p,width,-1,0.0,0.0,0.0,1431
K=2,peak2,C0J0,shift,0,0.8514492753623191,0.8514492753623188,2.220446049250313e-16,1494
K=2,peak2,C1pJ0,shift,0,0.14855072463768115,0.14855072463768115,0.0,1494
K=2,peak2,C0J1p,shift,0,0.0,0.0,0.0,1494
K=2,peak2,C1pJ1p,shift,0,0.0,0.0,0.0,1494
K=2,peak2,C0J0,width,0,0.8514492753623191,0.8514492753623188,2.220446049250313e-16,1494
K=2,peak2,C1pJ0,width,0,0.14855072463768115,0.14855072463768115,0.0,1494
K=2,peak2,C0J1p,width,0,0.0,0.0,0.0,1494
K=2,peak2,C1pJ1p,width,0,0.0,0.0,0.0,1494
K=2,peak2,C0J0,shift,1,0.8514492753623188,0.8514492753623188,0.0,1503
K=2,peak2,C1pJ0,shift,1,0.14855072463768118,0.14855072463768115,2.7755575615628914e-17,1503
K=2,peak2,C0J1p,shift,1,0.0,0.0,0.0,1503
K=2,peak2,C1pJ1p,shift,1,0.0,0.0,0.0,1503
K=2,peak2,C0J0,width,1,0.8514492753623188,0.8514492753623188,0.0,1561
K=2,peak2,C1pJ0,width,1,0.14855072463768113,0.14855072463768115,-2.7755575615628914e-17,1561
K=2,peak2,C0J1p,width,1,0.0,0.0,0.0,1561
K=2,peak2,C1pJ1p,width,1,0.0,0.0,0.0,1561
K=2,peak2,C0J0,shift,2,0.851449275362319,0.8514492753623188,1.1102230246251565e-16,1497
K=2,peak2,C1pJ0,shift,2,0.14855072463768118,0.14855072463768115,2.7755575615628914e-17,1497
K=2,peak2,C0J1p,shift,2,0.0,0.0,0.0,1497
K=2,peak2,C1pJ1p,shift,2,0.0,0.0,0.0,1497
K=2,peak2,C0J0,width,2,0.851449275362319,0.8514492753623188,1.1102230246251565e-16,1628
K=2,peak2,C1pJ0,width,2,0.14855072463768115,0.14855072463768115,0.0,1628
K=2,peak2,C0J1p,width,2,0.0,0.0,0.0,1628
K=2,peak2,C1pJ1p,width,2,0.0,0.0,0.0,1628
K=2,peak2,C0J0,shift,5,0.851449275362319,0.8514492753623188,1.1102230246251565e-16,1514
K=2,peak2,C1pJ0,shift,5,0.14855072463768115,0.14855072463768115,0.0,1514
K=2,peak2,C0J1p,shift,5,0.0,0.0,0.0,1514
K=2,peak2,C1pJ1p,shift,5,0.0,0.0,0.0,1514
K=2,peak2,C0J0,width,5,0.8514492753623188,0.8514492753623188,0.0,1825
K=2,peak2,C1pJ0,width,5,0.14855072463768113,0.14855072463768115,-2.7755575615628914e-17,1825
K=2,peak2,C0J1p,width,5,0.0,0.0,0.0,1825
K=2,peak2,C1pJ1p,width,5,0.0,0.0,0.0,1825
K=4,peak1,C0J0,shift,-5,0.0,0.0,0.0,859
K=4,peak1,C1pJ0,shift,-5,0.6969696969696971,0.696969696969697,1.1102230246251565e-16,859
K=4,peak1,C0J1p,shift,-5,0.0,0.0,0.0,859
K=4,peak1,C1pJ1p,shift,-5,0.30303030303030304,0.30303030303030304,0.0,859
K=4,peak1,C0J0,width,-5,0.0,0.0,0.0,759
K=4,peak1,C1pJ0,width,-5,0.6969696969696971,0.696969696969697,1.1102230246251565e-16,759
K=4,peak1,C0J1p,width,-5,0.0,0.0,0.0,759
K=4,peak1,C1pJ1p,width,-5,0.30303030303030304,0.30303030303030304,0.0,759
K=4,peak1,C0J0,shift,-2,0.0,0.0,0.0,903
K=4,peak1,C1pJ0,shift,-2,0.6969696969696971,0.696969696969697,1.1102230246251565e-16,903
K=4,peak1,C0J1p,shift,-2,0.0,0.0,0.0,903
K=4,peak1,C1pJ1p,shift,-2,0.3030303030303031,0.30303030303030304,5.551115123125783e-17,903
K=4,peak1,C0J0,width,-2,0.0,0.0,0.0,866
K=4,peak1,C1pJ0,width,-2,0.6969696969696971,0.696969696969697,1.1102230246251565e-16,866
K=4,peak1,C0J1p,width,-2,0.0,0.0,0.0,866
K=4,peak1,C1pJ1p,width,-2,0.30303030303030304,0.30303030303030304,0.0,866
K=4,peak1,C0J0,shift,-1,0.0,0.0,0.0,916
K=4,peak1,C1pJ0,shift,-1,0.696969696969697,0.696969696969697,0.0,916
K=4,peak1,C0J1p,shift,-1,0.0,0.0,0.0,916
K=4,peak1,C1pJ1p,shift,-1,0.3030303030303031,0.30303030303030304,5.551115123125783e-17,916
K=4,peak1,C0J0,width,-1,0.0,0.0,0.0,901
K=4,peak1,C1pJ0,width,-1,0.6969696969696971,0.696969696969697,1.1102230246251565e-16,901
