N,K,beta,window,metric,value
50,2,0.01,peak1,P(C>=1|window),0.0944656488549618
50,2,0.01,peak1,P(J>=1|window),0.0
60,2,0.01,peak1,P(C>=1|window),1.0
60,2,0.01,peak1,P(J>=1|window),0.0
70,2,0.01,peak1,P(C>=1|window),1.0
70,2,0.01,peak1,P(J>=1|window),0.0
80,2,0.01,peak1,P(C>=1|window),1.0
80,2,0.01,peak1,P(J>=1|window),0.0
90,2,0.01,peak1,P(C>=1|window),1.0
90,2,0.01,peak1,P(J>=1|window),0.0
100,2,0.01,peak1,P(C>=1|window),1.0
100,2,0.01,peak1,P(J>=1|window),0.0
110,2,0.01,peak1,P(C>=1|window),1.0
110,2,0.01,peak1,P(J>=1|window),0.0
120,2,0.01,peak1,P(C>=1|window),1.0
120,2,0.01,peak1,P(J>=1|window),0.0
130,2,0.01,peak1,P(C>=1|window),1.0
130,2,0.01,peak1,P(J>=1|window),0.0
140,2,0.01,peak1,P(C>=1|window),1.0
140,2,0.01,peak1,P(J>=1|window),0.0
150,2,0.01,peak1,P(C>=1|window),1.0
150,2,0.01,peak1,P(J>=1|window),0.0
160,2,0.01,peak1,P(C>=1|window),1.0
160,2,0.01,peak1,P(J>=1|window),0.0
170,2,0.01,peak1,P(C>=1|window),1.0
170,2,0.01,peak1,P(J>=1|window),0.0
180,2,0.01,peak1,P(C>=1|window),1.0
180,2,0.01,peak1,P(J>=1|window),0.0
190,2,0.01,peak1,P(C>=1|window),1.0
190,2,0.01,peak1,P(J>=1|window),0.0
200,2,0.01,peak1,P(C>=1|window),1.0
200,2,0.01,peak1,P(J>=1|window),0.0
210,2,0.01,peak1,P(C>=1|window),1.0
210,2,0.01,peak1,P(J>=1|window),0.0
220,2,0.01,peak1,P(C>=1|window),1.0
220,2,0.01,peak1,P(J>=1|window),0.0
230,2,0.01,peak1,P(C>=1|window),1.0
230,2,0.01,peak1,P(J>=1|window),0.0
240,2,0.01,peak1,P(C>=1|window),1.0
240,2,0.01,peak1,P(J>=1|window),0.0
250,2,0.01,peak1,P(C>=1|window),1.0
250,2,0.01,peak1,P(J>=1|window),0.0
260,2,0.01,peak1,P(C>=1|window),1.0
260,2,0.01,peak1,P(J>=1|window),0.0
270,2,0.01,peak1,P(C>=1|window),1.0
270,2,0.01,peak1,P(J>=1|window),0.0
280,2,0.01,peak1,P(C>=1|window),1.0
280,2,0.01,peak1,P(J>=1|window),0.0
290,2,0.01,peak1,P(C>=1|window),1.0
290,2,0.01,peak1,P(J>=1|window),0.0
300,2,0.01,peak1,P(C>=1|window),1.0
300,2,0.01,peak1,P(J>=1|window),0.0
50,4,0.01,peak1,P(C>=1|window),0.0263493412664682
50,4,0.01,peak1,P(J>=1|window),0.2600934976625583
60,4,0.01,peak1,P(C>=1|window),0.0369047619047618
60,4,0.01,peak1,P(J>=1|window),0.23690476190476178
70,4,0.01,peak1,P(C>=1|window),0.0522765598650926
70,4,0.01,peak1,P(J>=1|window),0.2630691399662731
80,4,0.01,peak1,P(C>=1|window),1.0
80,4,0.01,peak1,P(J>=1|window),0.3121272365805169
90,4,0.01,peak1,P(C>=1|window),0.9986130374479889
90,4,0.01,peak1,P(J>=1|window),0.3495145631067961
100,4,0.01,peak1,P(C>=1|window),1.0
100,4,0.01,peak1,P(J>=1|window),0.3142272262026612
110,4,0.01,peak1,P(C>=1|window),0.9999999999999999
110,4,0.01,peak1,P(J>=1|window),0.3059907834101382
120,4,0.01,peak1,P(C>=1|window),1.0
120,4,0.01,peak1,P(J>=1|window),0.3401015228426396
130,4,0.01,peak1,P(C>=1|window),1.0
130,4,0.01,peak1,P(J>=1|window),0.3386627906976744
140,4,0.01,peak1,P(C>=1|window),1.0
140,4,0.01,peak1,P(J>=1|window),0.3291228070175439
150,4,0.01,peak1,P(C>=1|window),0.9999999999999999
150,4,0.01,peak1,P(J>=1|window),0.3463287849252761
160,4,0.01,peak1,P(C>=1|window),1.0
160,4,0.01,peak1,P(J>=1|window),0.3464430306535569
170,4,0.01,peak1,P(C>=1|window),1.0
170,4,0.01,peak1,P(J>=1|window),0.332955832389581
180,4,0.01,peak1,P(C>=1|window),1.0
180,4,0.01,peak1,P(J>=1|window),0.3285101822079314
190,4,0.01,peak1,P(C>=1|window),1.0
190,4,0.01,peak1,P(J>=1|window),0.3539074166251866
200,4,0.01,peak1,P(C>=1|window),0.9999999999999999
200,4,0.01,peak1,P(J>=1|window),0.3445676274944567
210,4,0.01,peak1,P(C>=1|window),1.0
210,4,0.01,peak1,P(J>=1|window),0.3297682709447415
220,4,0.01,peak1,P(C>=1|window),1.0
220,4,0.01,peak1,P(J>=1|window),0.3569987898346107
230,4,0.01,peak1,P(C>=1|window),0.9999999999999999
230,4,0.01,peak1,P(J>=1|window),0.351466049382716
240,4,0.01,peak1,P(C>=1|window),1.0
240,4,0.01,peak1,P(J>=1|window),0.3547800799709196
250,4,0.01,peak1,P(C>=1|window),1.0
250,4,0.01,peak1,P(J>=1|window),0.3389601620526671
260,4,0.01,peak1,P(C>=1|window),1.0
260,4,0.01,peak1,P(J>=1|window),0.3409090909090909
270,4,0.01,peak1,P(C>=1|window),1.0
270,4,0.01,peak1,P(J>=1|window),0.3311607697082557
280,4,0.01,peak1,P(C>=1|window),1.0
280,4,0.01,peak1,P(J>=1|window),0.355568445475638
290,4,0.01,peak1,P(C>=1|window),1.0
290,4,0.01,peak1,P(J>=1|window),0.3479125248508946
300,4,0.01,peak1,P(C>=1|window),1.0
300,4,0.01,peak1,P(J>=1|window),0.3597560975609756
50,2,0.01,peak2,P(C>=1|window),
50,2,0.01,peak2,P(J>=1|window),
60,2,0.01,peak2,P(C>=1|window),0.0936131386861313
60,2,0.01,peak2,P(J>=1|window),0.0
70,2,0.01,peak2,P(C>=1|window),0.1060661096985107
70,2,0.01,peak2,P(J>=1|window),0.0
80,2,0.01,peak2,P(C>=1|window),0.1256334090511969
80,2,0.01,peak2,P(J>=1|window),0.0
90,2,0.01,peak2,P(C>=1|window),0.1245940864809434
90,2,0.01,peak2,P(J>=1|window),0.0
100,2,0.01,peak2,P(C>=1|window),0.1503849443969204
100,2,0.01,peak2,P(J>=1|window),0.0
110,2,0.01,peak2,P(C>=1|window),0.1559431087030139
110,2,0.01,peak2,P(J>=1|window),0.0
120,2,0.01,peak2,P(C>=1|window),0.1710241465445462
120,2,0.01,peak2,P(J>=1|window),0.0
130,2,0.01,peak2,P(C>=1|window),0.187711577522004
130,2,0.01,peak2,P(J>=1|window),0.0
140,2,0.01,peak2,P(C>=1|window),0.2080014161798548
140,2,0.01,peak2,P(J>=1|window),0.0
150,2,0.01,peak2,P(C>=1|window),0.2118801827720426
150,2,0.01,peak2,P(J>=1|window),0.0
160,2,0.01,peak2,P(C>=1|window),0.2254969156956819
160,2,0.01,peak2,P(J>=1|window),0.0
170,2,0.01,peak2,P(C>=1|window),0.2251633439437091
170,2,0.01,peak2,P(J>=1|window),0.0
180,2,0.01,peak2,P(C>=1|window),0.2493959268208491
180,2,0.01,peak2,P(J>=1|window),0.0
190,2,0.01,peak2,P(C>=1|window),0.258688580722479
190,2,0.01,peak2,P(J>=1|window),0.0
200,2,0.01,peak2,P(C>=1|window),0.268586387434555
200,2,0.01,peak2,P(J>=1|window),0.0
210,2,0.01,peak2,P(C>=1|window),0.2984312984312984
210,2,0.01,peak2,P(J>=1|window),0.0
220,2,0.01,peak2,P(C>=1|window),0.3377768221887766
220,2,0.01,peak2,P(J>=1|window),0.0
230,2,0.01,peak2,P(C>=1|window),0.3572645412509126
230,2,0.01,peak2,P(J>=1|window),0.0
240,2,0.01,peak2,P(C>=1|window),0.406885758998435
240,2,0.01,peak2,P(J>=1|window),0.0
250,2,0.01,peak2,P(C>=1|window),0.4376634699215344
250,2,0.01,peak2,P(J>=1|window),0.0
260,2,0.01,peak2,P(C>=1|window),0.4948018193632229
260,2,0.01,peak2,P(J>=1|window),0.0
270,2,0.01,peak2,P(C>=1|window),0.5503556720329464
270,2,0.01,peak2,P(J>=1|window),0.0
280,2,0.01,peak2,P(C>=1|window),0.6105769230769231
280,2,0.01,peak2,P(J>=1|window),0.0
290,2,0.01,peak2,P(C>=1|window),0.6606543624161074
290,2,0.01,peak2,P(J>=1|window),0.0
300,2,0.01,peak2,P(C>=1|window),0.6962828649138713
300,2,0.01,peak2,P(J>=1|window),0.0
50,4,0.01,peak2,P(C>=1|window),
50,4,0.01,peak2,P(J>=1|window),
60,4,0.01,peak2,P(C>=1|window),
60,4,0.01,peak2,P(J>=1|window),
70,4,0.01,peak2,P(C>=1|window),
70,4,0.01,peak2,P(J>=1|window),
80,4,0.01,peak2,P(C>=1|window),0.053769203286888
80,4,0.01,peak2,P(J>=1|window),0.25437656305823503
90,4,0.01,peak2,P(C>=1|window),0.060323601829053705
90,4,0.01,peak2,P(J>=1|window),0.2660921561730566
100,4,0.01,peak2,P(C>=1|window),0.0765385278400275
100,4,0.01,peak2,P(J>=1|window),0.2739182899500085
110,4,0.01,peak2,P(C>=1|window),0.0746343923348461
110,4,0.01,peak2,P(J>=1|window),0.2696251470835434
120,4,0.01,peak2,P(C>=1|window),0.0809792843691148
120,4,0.01,peak2,P(J>=1|window),0.2622838555041944
130,4,0.01,peak2,P(C>=1|window),0.08691206543967281
130,4,0.01,peak2,P(J>=1|window),0.2743694614860259
140,4,0.01,peak2,P(C>=1|window),0.0941809619912545
140,4,0.01,peak2,P(J>=1|window),0.2658930373360241
150,4,0.01,peak2,P(C>=1|window),0.10051248140188451
150,4,0.01,peak2,P(J>=1|window),0.2689700776987931
160,4,0.01,peak2,P(C>=1|window),0.1073529411764705
160,4,0.01,peak2,P(J>=1|window),0.2813725490196078
170,4,0.01,peak2,P(C>=1|window),0.112813604984004
170,4,0.01,peak2,P(J>=1|window),0.2796767132513891
180,4,0.01,peak2,P(C>=1|window),0.11309220580743759
180,4,0.01,peak2,P(J>=1|window),0.2854474443878417
190,4,0.01,peak2,P(C>=1|window),0.1264115961570874
190,4,0.01,peak2,P(J>=1|window),0.2878813416484071
200,4,0.01,peak2,P(C>=1|window),0.1351488497970229
200,4,0.01,peak2,P(J>=1|window),0.2899188092016237
210,4,0.01,peak2,P(C>=1|window),0.129561432875795
210,4,0.01,peak2,P(J>=1|window),0.2835621024439235
220,4,0.01,peak2,P(C>=1|window),0.1390717577353521
220,4,0.01,peak2,P(J>=1|window),0.2876892692560894
230,4,0.01,peak2,P(C>=1|window),0.139883998635278
230,4,0.01,peak2,P(J>=1|window),0.2910269532582735
240,4,0.01,peak2,P(C>=1|window),0.1458759372869802
240,4,0.01,peak2,P(J>=1|window),0.285616905248807
250,4,0.01,peak2,P(C>=1|window),0.1453870804520154
250,4,0.01,peak2,P(J>=1|window),0.28369033563838747
260,4,0.01,peak2,P(C>=1|window),0.14955168330231772
260,4,0.01,peak2,P(J>=1|window),0.2842158687193368
270,4,0.01,peak2,P(C>=1|window),0.16097229304776461
270,4,0.01,peak2,P(J>=1|window),0.2818289988101308
280,4,0.01,peak2,P(C>=1|window),0.1719745222929936
280,4,0.01,peak2,P(J>=1|window),0.2960107274555816
290,4,0.01,peak2,P(C>=1|window),0.177501701837985
290,4,0.01,peak2,P(J>=1|window),0.2932266848196051
300,4,0.01,peak2,P(C>=1|window),0.181164268986283
300,4,0.01,peak2,P(J>=1|window),0.2875543660086985
50,2,0.01,valley,P(C>=1|window),
50,2,0.01,valley,P(J>=1|window),
60,2,0.01,valley,P(C>=1|window),0.956656346749226
60,2,0.01,valley,P(J>=1|window),0.0
70,2,0.01,valley,P(C>=1|window),0.9605792437650844
70,2,0.01,valley,P(J>=1|window),0.0
80,2,0.01,valley,P(C>=1|window),0.9363867684478372
80,2,0.01,valley,P(J>=1|window),0.0
90,2,0.01,valley,P(C>=1|window),0.934609250398724
90,2,0.01,valley,P(J>=1|window),0.0
100,2,0.01,valley,P(C>=1|window),0.9347408829174664
100,2,0.01,valley,P(J>=1|window),0.0
110,2,0.01,valley,P(C>=1|window),0.9188127455259713
110,2,0.01,valley,P(J>=1|window),0.0
120,2,0.01,valley,P(C>=1|window),0.9148340663734508
120,2,0.01,valley,P(J>=1|window),0.0
130,2,0.01,valley,P(C>=1|window),0.9173228346456692
130,2,0.01,valley,P(J>=1|window),0.0
140,2,0.01,valley,P(C>=1|window),0.9107340464773146
140,2,0.01,valley,P(J>=1|window),0.0
150,2,0.01,valley,P(C>=1|window),0.9075543290789928
150,2,0.01,valley,P(J>=1|window),0.0
160,2,0.01,valley,P(C>=1|window),0.904914873112753
160,2,0.01,valley,P(J>=1|window),0.0
170,2,0.01,valley,P(C>=1|window),0.8941068139963168
170,2,0.01,valley,P(J>=1|window),0.0
180,2,0.01,valley,P(C>=1|window),0.8937019969278034
180,2,0.01,valley,P(J>=1|window),0.0
190,2,0.01,valley,P(C>=1|window),0.8967761017450459
190,2,0.01,valley,P(J>=1|window),0.0
200,2,0.01,valley,P(C>=1|window),0.8816314888762122
200,2,0.01,valley,P(J>=1|window),0.0
210,2,0.01,valley,P(C>=1|window),0.8848792126453922
210,2,0.01,valley,P(J>=1|window),0.0
220,2,0.01,valley,P(C>=1|window),0.8900641025641025
220,2,0.01,valley,P(J>=1|window),0.0
230,2,0.01,valley,P(C>=1|window),0.8731773482536453
230,2,0.01,valley,P(J>=1|window),0.0
240,2,0.01,valley,P(C>=1|window),0.8776952986921174
240,2,0.01,valley,P(J>=1|window),0.0
250,2,0.01,valley,P(C>=1|window),0.879926335174954
250,2,0.01,valley,P(J>=1|window),0.0
260,2,0.01,valley,P(C>=1|window),0.8706122448979592
260,2,0.01,valley,P(J>=1|window),0.0
270,2,0.01,valley,P(C>=1|window),0.8711318355235269
270,2,0.01,valley,P(J>=1|window),0.0
280,2,0.01,valley,P(C>=1|window),0.8683163941670349
280,2,0.01,valley,P(J>=1|window),0.0
290,2,0.01,valley,P(C>=1|window),0.8619402985074627
290,2,0.01,valley,P(J>=1|window),0.0
300,2,0.01,valley,P(C>=1|window),0.8705314009661835
300,2,0.01,valley,P(J>=1|window),0.0
