t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
143,3,nan,nan,nan,nan,nan,nan
144,4,nan,nan,nan,nan,nan,nan
145,7,nan,nan,nan,nan,nan,nan
146,4,nan,nan,nan,nan,nan,nan
147,4,nan,nan,nan,nan,nan,nan
148,5,nan,nan,nan,nan,nan,nan
149,4,nan,nan,nan,nan,nan,nan
150,3,nan,nan,nan,nan,nan,nan
151,8,nan,nan,nan,nan,nan,nan
152,4,nan,nan,nan,nan,nan,nan
153,8,nan,nan,nan,nan,nan,nan
154,7,nan,nan,nan,nan,nan,nan
155,6,nan,nan,nan,nan,nan,nan
156,4,nan,nan,nan,nan,nan,nan
157,2,nan,nan,nan,nan,nan,nan
158,3,nan,nan,nan,nan,nan,nan
159,4,nan,nan,nan,nan,nan,nan
160,5,nan,nan,nan,nan,nan,nan
161,6,nan,nan,nan,nan,nan,nan
162,3,nan,nan,nan,nan,nan,nan
163,2,nan,nan,nan,nan,nan,nan
164,6,nan,nan,nan,nan,nan,nan
165,5,nan,nan,nan,nan,nan,nan
166,2,nan,nan,nan,nan,nan,nan
167,4,nan,nan,nan,nan,nan,nan
168,7,nan,nan,nan,nan,nan,nan
169,5,nan,nan,nan,nan,nan,nan
170,2,nan,nan,nan,nan,nan,nan
171,5,nan,nan,nan,nan,nan,nan
172,1,nan,nan,nan,nan,nan,nan
173,5,nan,nan,nan,nan,nan,nan
174,3,nan,nan,nan,nan,nan,nan
175,5,nan,nan,nan,nan,nan,nan
176,4,nan,nan,nan,nan,nan,nan
177,3,nan,nan,nan,nan,nan,nan
178,3,nan,nan,nan,nan,nan,nan
179,4,nan,nan,nan,nan,nan,nan
180,5,nan,nan,nan,nan,nan,nan
181,7,nan,nan,nan,nan,nan,nan
182,2,nan,nan,nan,nan,nan,nan
183,5,nan,nan,nan,nan,nan,nan
184,1,nan,nan,nan,nan,nan,nan
185,4,nan,nan,nan,nan,nan,nan
186,3,nan,nan,nan,nan,nan,nan
187,2,nan,nan,nan,nan,nan,nan
188,3,nan,nan,nan,nan,nan,nan
189,3,nan,nan,nan,nan,nan,nan
190,3,nan,nan,nan,nan,nan,nan
191,2,nan,nan,nan,nan,nan,nan
192,5,nan,nan,nan,nan,nan,nan
193,4,nan,nan,nan,nan,nan,nan
194,2,nan,nan,nan,nan,nan,nan
195,4,nan,nan,nan,nan,nan,nan
196,6,nan,nan,nan,nan,nan,nan
197,2,nan,nan,nan,nan,nan,nan
198,8,nan,nan,nan,nan,nan,nan
199,8,nan,nan,nan,nan,nan,nan
200,4,nan,nan,nan,nan,nan,nan
201,6,nan,nan,nan,nan,nan,nan
202,6,nan,nan,nan,nan,nan,nan
203,5,nan,nan,nan,nan,nan,nan
204,2,nan,nan,nan,nan,nan,nan
205,1,nan,nan,nan,nan,nan,nan
206,2,nan,nan,nan,nan,nan,nan
207,1,nan,nan,nan,nan,nan,nan
208,7,nan,nan,nan,nan,nan,nan
209,4,nan,nan,nan,nan,nan,nan
210,2,nan,nan,nan,nan,nan,nan
211,3,nan,nan,nan,nan,nan,nan
