scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,region,occupancy_share
delta,delta_core_p0p40_open_p0p40,2,-0.08,0.4,0.4,0.002,0.002,late,outer_reservoir,0.0011053032831257862
delta,delta_core_p0p40_open_p0p40,2,-0.08,0.4,0.4,0.002,0.002,late,target_funnel,0.05566264133204674
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,early,left_core,3.4519100445910164e-10
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,early,left_shoulders,0.0
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,early,left_outer,0.0
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,early,corridor,0.9401255464252116
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,early,outer_reservoir,3.11920575985209e-08
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,early,target_funnel,0.05987442203753973
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,middle,left_core,0.0004491865548579935
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,middle,left_shoulders,0.00016166689877715533
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,middle,left_outer,2.7172012071442096e-05
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,middle,corridor,0.9409078941391654
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,middle,outer_reservoir,0.00022189328622968343
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,middle,target_funnel,0.058232187108898416
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,late,left_core,0.0022997748609320866
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,late,left_shoulders,0.0009862859552194113
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,late,left_outer,0.0005098993909131168
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,late,corridor,0.9412247949680179
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,late,outer_reservoir,0.0010457451899055278
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,late,target_funnel,0.053933499635012
delta,delta_core_p0p40_open_p0p80,2,-0.08,0.4,0.8,0.002,0.002,early,left_core,4.1267955202050236e-10
delta,delta_core_p0p40_open_p0p80,2,-0.08,0.4,0.8,0.002,0.002,early,left_shoulders,0.0
delta,delta_core_p0p40_open_p0p80,2,-0.08,0.4,0.8,0.002,0.002,early,left_outer,0.0
delta,delta_core_p0p40_open_p0p80,2,-0.08,0.4,0.8,0.002,0.002,early,corridor,0.9408933220704419
delta,delta_core_p0p40_open_p0p80,2,-0.08,0.4,0.8,0.002,0.002,early,outer_reservoir,3.022195283458113e-08
delta,delta_core_p0p40_open_p0p80,2,-0.08,0.4,0.8,0.002,0.002,early,target_funnel,0.05910664729492587
delta,delta_core_p0p40_open_p0p80,2,-0.08,0.4,0.8,0.002,0.002,middle,left_core,0.0005131052670038186
delta,delta_core_p0p40_open_p0p80,2,-0.08,0.4,0.8,0.002,0.002,middle,left_shoulders,0.00018681654340243348
delta,delta_core_p0p40_open_p0p80,2,-0.08,0.4,0.8,0.002,0.002,middle,left_outer,3.239047748313011e-05
delta,delta_core_p0p40_open_p0p80,2,-0.08,0.4,0.8,0.002,0.002,middle,corridor,0.9434649798710956
delta,delta_core_p0p40_open_p0p80,2,-0.08,0.4,0.8,0.002,0.002,middle,outer_reservoir,0.00020151043040033423
delta,delta_core_p0p40_open_p0p80,2,-0.08,0.4,0.8,0.002,0.002,middle,target_funnel,0.05560119741061458
delta,delta_core_p0p40_open_p0p80,2,-0.08,0.4,0.8,0.002,0.002,late,left_core,0.002622843551262612
delta,delta_core_p0p40_open_p0p80,2,-0.08,0.4,0.8,0.002,0.002,late,left_shoulders,0.0011434224987432481
delta,delta_core_p0p40_open_p0p80,2,-0.08,0.4,0.8,0.002,0.002,late,left_outer,0.0006106743654392427
delta,delta_core_p0p40_open_p0p80,2,-0.08,0.4,0.8,0.002,0.002,late,corridor,0.9434174329540328
delta,delta_core_p0p40_open_p0p80,2,-0.08,0.4,0.8,0.002,0.002,late,outer_reservoir,0.0009687931230071788
delta,delta_core_p0p40_open_p0p80,2,-0.08,0.4,0.8,0.002,0.002,late,target_funnel,0.051236833507514824
delta,delta_core_p0p60_open_p0p00,2,-0.08,0.6,0.0,0.002,0.002,early,left_core,3.540053580292252e-10
delta,delta_core_p0p60_open_p0p00,2,-0.08,0.6,0.0,0.002,0.002,early,left_shoulders,0.0
delta,delta_core_p0p60_open_p0p00,2,-0.08,0.6,0.0,0.002,0.002,early,left_outer,0.0
delta,delta_core_p0p60_open_p0p00,2,-0.08,0.6,0.0,0.002,0.002,early,corridor,0.9376497492296377
delta,delta_core_p0p60_open_p0p00,2,-0.08,0.6,0.0,0.002,0.002,early,outer_reservoir,2.831651329290719e-08
delta,delta_core_p0p60_open_p0p00,2,-0.08,0.6,0.0,0.002,0.002,early,target_funnel,0.06235022209984375
delta,delta_core_p0p60_open_p0p00,2,-0.08,0.6,0.0,0.002,0.002,middle,left_core,0.00032036865746855244
delta,delta_core_p0p60_open_p0p00,2,-0.08,0.6,0.0,0.002,0.002,middle,left_shoulders,0.00011250666893533559
delta,delta_core_p0p60_open_p0p00,2,-0.08,0.6,0.0,0.002,0.002,middle,left_outer,1.8754074648026713e-05
delta,delta_core_p0p60_open_p0p00,2,-0.08,0.6,0.0,0.002,0.002,middle,corridor,0.9311967682336371
delta,delta_core_p0p60_open_p0p00,2,-0.08,0.6,0.0,0.002,0.002,middle,outer_reservoir,0.00034970132606391795
delta,delta_core_p0p60_open_p0p00,2,-0.08,0.6,0.0,0.002,0.002,middle,target_funnel,0.06800190103924716
delta,delta_core_p0p60_open_p0p00,2,-0.08,0.6,0.0,0.002,0.002,late,left_core,0.001256809564488997
delta,delta_core_p0p60_open_p0p00,2,-0.08,0.6,0.0,0.002,0.002,late,left_shoulders,0.0005256921332221335
delta,delta_core_p0p60_open_p0p00,2,-0.08,0.6,0.0,0.002,0.002,late,left_outer,0.0002742225950855099
delta,delta_core_p0p60_open_p0p00,2,-0.08,0.6,0.0,0.002,0.002,late,corridor,0.9303088205416392
delta,delta_core_p0p60_open_p0p00,2,-0.08,0.6,0.0,0.002,0.002,late,outer_reservoir,0.0016276860924557225
delta,delta_core_p0p60_open_p0p00,2,-0.08,0.6,0.0,0.002,0.002,late,target_funnel,0.06600676907310839
delta,delta_core_p0p60_open_p0p20,2,-0.08,0.6,0.2,0.002,0.002,early,left_core,4.444436294345144e-10
delta,delta_core_p0p60_open_p0p20,2,-0.08,0.6,0.2,0.002,0.002,early,left_shoulders,0.0
delta,delta_core_p0p60_open_p0p20,2,-0.08,0.6,0.2,0.002,0.002,early,left_outer,0.0
delta,delta_core_p0p60_open_p0p20,2,-0.08,0.6,0.2,0.002,0.002,early,corridor,0.9383233417169934
delta,delta_core_p0p60_open_p0p20,2,-0.08,0.6,0.2,0.002,0.002,early,outer_reservoir,2.5839753837822072e-08
delta,delta_core_p0p60_open_p0p20,2,-0.08,0.6,0.2,0.002,0.002,early,target_funnel,0.06167663199880918
delta,delta_core_p0p60_open_p0p20,2,-0.08,0.6,0.2,0.002,0.002,middle,left_core,0.00040676992482466544
delta,delta_core_p0p60_open_p0p20,2,-0.08,0.6,0.2,0.002,0.002,middle,left_shoulders,0.00014394907153364702
delta,delta_core_p0p60_open_p0p20,2,-0.08,0.6,0.2,0.002,0.002,middle,left_outer,2.4714451636670215e-05
delta,delta_core_p0p60_open_p0p20,2,-0.08,0.6,0.2,0.002,0.002,middle,corridor,0.9336378883750307
delta,delta_core_p0p60_open_p0p20,2,-0.08,0.6,0.2,0.002,0.002,middle,outer_reservoir,0.00030078503990064754
delta,delta_core_p0p60_open_p0p20,2,-0.08,0.6,0.2,0.002,0.002,middle,target_funnel,0.06548589313707374
delta,delta_core_p0p60_open_p0p20,2,-0.08,0.6,0.2,0.002,0.002,late,left_core,0.0017403768403393106
delta,delta_core_p0p60_open_p0p20,2,-0.08,0.6,0.2,0.002,0.002,late,left_shoulders,0.000734274448256837
delta,delta_core_p0p60_open_p0p20,2,-0.08,0.6,0.2,0.002,0.002,late,left_outer,0.00039580930063311937
