scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,phase,t_peak1,t_valley,t_peak2,valley_over_max,sep_peaks,no_leak_total,leak_total,rollback_total,late_window_name,late_window_lo,late_window_hi,late_hit_mass,late_flux_c2o,late_flux_o2c,late_L0R0,late_L0R1,late_L1R0,late_L1R1,late_rollback_share,late_tau_out_prob,late_tau_out_mean_event_time,late_tau_out_mean_hit_time,late_tau_out_ratio,late_tau_out_early_mass,late_tau_out_late_mass,late_tau_out_no_exit_mass,late_tau_mem_prob,late_tau_mem_mean_event_time,late_tau_mem_mean_hit_time,late_tau_mem_ratio,late_tau_mem_early_mass,late_tau_mem_late_mass,late_tau_mem_no_exit_mass,late_left_core_share,late_left_shoulders_share,late_left_outer_share,late_corridor_share,late_outer_reservoir_share,late_target_funnel_share
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,0,,,,,0.0,0.9089242425603541,0.091075757439646,0.8103416973366327,late,260,360,0.0004873414986406349,1.3378735295456287e-06,1.0137623086379456e-06,0.4817278484702662,0.5142347414863475,0.001772984675947667,0.0022644253674385007,0.516499166853786,0.7292560211984779,296.49366599945006,321.43576319310876,0.9224041004464265,0.027507282551153117,0.7017487386473248,0.2707439788015221,0.0027422942433946093,201.07228347838526,321.43576319310876,0.6255442191029229,0.0009551139898434729,0.0017871802535511364,0.9972577057566054,0.0012163391333288693,0.0,0.0006518352874882857,0.9600421662266938,0.0022854946835203496,0.036211815549763236
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,1,457,1345,2060,0.12964433184794308,0.617964533538936,0.8289487803121695,0.17105121968783046,0.8465034583579026,peak2,2034,2086,0.0008661571227974973,0.0002008274301539913,3.250024619622801e-05,5.537806598493399e-05,0.7569797987527564,0.0003612528304596733,0.24260357035079888,0.9995833691035554,0.9999624911631306,172.04765270465236,2060.0000051357015,0.08351827780375118,0.9972267901890511,0.0027357009740794913,3.750883686937101e-05,0.2200137118058023,432.8961755564746,2060.0000051357015,0.21014377401807713,0.19482708658288386,0.025186625222918424,0.7799862881941977,0.11300644113194681,0.0,0.4855953218263716,0.36347581778577204,0.1005761869993288,0.011422883013472739
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,1,364,1023,1823,0.09010394121611955,0.5735062893081762,0.7673318521515585,0.2326681478484415,0.8478642534894395,peak2,1797,1849,0.002855478464656663,0.000765681316558819,0.00014907596667286608,1.1305477136480096e-06,0.7165923638649961,0.0008598341700605382,0.2825466714172296,0.9991390352822258,0.9999999879000719,184.49869103147645,1823.0000652733827,0.1012060803211263,0.999881294664873,0.00011869323519897446,1.2099928059505771e-08,0.25123085885813573,358.0559553068715,1823.0000652733827,0.19641028112260453,0.22381796171197704,0.027412897146158688,0.7487691411418642,0.08473719802504624,0.0,0.3694500062124197,0.33812394022558073,0.24233182538068987,0.02103510036435857
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,1,302,1203,2149,0.06388986906451063,0.730328192961645,0.7648457523437513,0.23515424765624873,0.788241511753998,peak2,2123,2175,0.0047397612344178795,0.0015209905239374198,0.00044829396877437745,0.0013814317685186433,0.6461447665982796,0.006260051755484296,0.3462137498777173,0.9923585164759969,1.0000000000000888,175.1737478122826,2148.999964680874,0.08151407663624409,0.9999999908909684,9.109120457928555e-09,0.0,0.2941649450506995,379.7427642002666,2148.999964680874,0.17670673356975056,0.258572862617052,0.03559208243364753,0.7058350549493004,0.053289071679944046,0.0,0.2450326260993178,0.24023749342989742,0.46285316210081534,0.03394703625029151
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,0,,,,,0.0,0.8159307965963194,0.1840692034036806,0.590110824990823,late,260,360,0.17218026998342664,0.0033358228207181493,0.0009467779967768316,0.47567945981365845,0.501616487657724,0.010986324821419691,0.01171772770719793,0.513334215364922,0.9234720561951378,239.9132755880497,304.7008234253453,0.7873732433375942,0.06060559658075238,0.8628664596143855,0.07652794380486216,0.019330661534474814,180.38256472458923,304.7008234253453,0.5919989407865344,0.005417673845808713,0.013912987688666101,0.9806693384655252,0.0026386563194865788,0.0,0.002639752216059568,0.8333087345451775,0.0370928043188236,0.12554773499866476
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,0,,,,,0.0,0.8498212706555369,0.15017872934446308,0.4734956101199492,late,260,360,0.18982619023044725,0.008108058862064014,0.0012075834461240194,0.5115551484328953,0.44229060543974175,0.025865419872679,0.020288826254684013,0.4625794316944258,0.9680308944735019,210.1863548775054,302.98677148423695,0.6937146260474295,0.1037116006552121,0.8643192938182898,0.03196910552649812,0.042628226453001905,156.0828031688297,302.98677148423695,0.5151472534732429,0.01880742339687996,0.023820803056121945,0.9573717735469981,0.002169176892734444,0.0,0.0023354550815907695,0.7252999901797355,0.06592094873361706,0.2053124211504642
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,0,,,,,0.0,0.8713656531790471,0.12863434682095284,0.38884231896921606,late,260,360,0.17390305599678615,0.016178310761240253,0.0010800402796260146,0.5488798640929747,0.3553838379735069,0.060717312390029435,0.03501898554348903,0.39040282351699596,0.9924968726036306,177.67289471718416,304.15306468264714,0.5841561876174676,0.25478927725983735,0.7377075953437933,0.00750312739636938,0.09288995538411304,122.91000719541769,304.15306468264714,0.4041057660348148,0.06668275443648378,0.026207200947629267,0.907110044615887,0.00123713399548276,0.0,0.0013058473699196441,0.5974590204702379,0.09456478952905781,0.3060157656357522
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,0,,,,,0.0,0.861101043140646,0.13889895685935413,0.9257045510631731,late,260,360,0.0014283417603346516,1.399453673247423e-06,1.4551961080518659e-06,0.4205000573070386,0.5777542883735574,0.0006266596375440594,0.0011189946818600401,0.5788732830554174,0.4883744575058156,287.59554359085706,322.8159504398261,0.8908963240478595,0.02911693864417065,0.45925751886164495,0.5116255424941845,0.0009793300657105631,172.34628620087108,322.8159504398261,0.5338840474457812,0.0004411674599366747,0.0005381626057738884,0.9990206699342894,0.0024328253402977097,0.0,0.0007633312695853806,0.9486061541462285,0.0010785229139290385,0.04711916632995926
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,1,500,1284,1908,0.23813364708574172,0.5378151260504201,0.8224677504376606,0.17753224956233926,0.910449883998411,peak2,1882,1934,0.0057731222255859764,0.0009564716819086004,0.00017884019476475303,0.00018981768694798252,0.8185361093576319,0.000632341511813533,0.1806417314436068,0.9991778408012386,0.99967908676016,292.91269316195195,1908.0000988504585,0.15351817504539306,0.9908206439934069,0.008858442766753183,0.00032091323983995945,0.1580005320343961,492.9949628384177,1908.0000988504585,0.2583830908265884,0.13667415434329266,0.021326377691103432,0.8419994679656039,0.0666230597134566,0.0,0.2607687122372431,0.4951807120417541,0.1555597879038334,0.02186772810371282
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,1,381,1059,1711,0.09543192038526799,0.7044491525423728,0.8298878089215374,0.17011219107846276,0.8660969987006139,peak2,1685,1737,0.00961092957027815,0.00137130047905697,0.0003628661726057833,2.7726931781290385e-06,0.8356123942010645,0.001428830683392565,0.16295600242236494,0.9985683966234294,0.999999751447849,286.186873905501,1711.0000798442793,0.16726292258942926,0.9995712022545229,0.00042854919332613317,2.4855215097208117e-07,0.1354766068020371,399.3201974439208,1711.0000798442793,0.23338409047898087,0.11862658517952465,0.01685002162251245,0.8645233931979629,0.040025984371850294,0.0,0.16965888389169956,0.43371943760155607,0.3205341694707,0.03606152466419412
