scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,lo,hi,none,left_only,mem_only,both
width_bx,width_h1_bx_m0p04,1,-0.04,1.0,0.55,0.002,0.002,late,260,360,0.9542716447874171,0.0423718003916315,0.0029493084609460837,0.0004072463600051556
width_bx,width_h1_bx_p0p00,1,0.0,1.0,0.55,0.002,0.002,early,10,60,0.999994391830125,0.0,5.6081698749944494e-06,0.0
width_bx,width_h1_bx_p0p00,1,0.0,1.0,0.55,0.002,0.002,middle,120,200,0.993808612687445,0.005106474559164604,0.0010727235320271851,1.2189221363112498e-05
width_bx,width_h1_bx_p0p00,1,0.0,1.0,0.55,0.002,0.002,late,260,360,0.9516351376906949,0.041875698452028494,0.005950216114673953,0.0005389477426026727
width_bx,width_h1_bx_p0p04,1,0.04,1.0,0.55,0.002,0.002,early,10,60,0.9999936705507958,0.0,6.329449204217316e-06,0.0
width_bx,width_h1_bx_p0p04,1,0.04,1.0,0.55,0.002,0.002,middle,120,200,0.9936947444722514,0.0047671827869057515,0.0015247377261230447,1.3335014719826093e-05
width_bx,width_h1_bx_p0p04,1,0.04,1.0,0.55,0.002,0.002,late,260,360,0.9521240085133692,0.033047332095305075,0.014246738791422967,0.0005819205999026857
width_bx,width_h1_bx_p0p08,1,0.08,1.0,0.55,0.002,0.002,early,10,60,0.9999929016576145,0.0,7.0983423854902264e-06,0.0
width_bx,width_h1_bx_p0p08,1,0.08,1.0,0.55,0.002,0.002,middle,120,200,0.9936506277446973,0.004077403650817891,0.0022583887394472682,1.357986503742498e-05
width_bx,width_h1_bx_p0p08,1,0.08,1.0,0.55,0.002,0.002,late,260,360,0.947802083369058,0.01863587391211245,0.033077609922015555,0.00048443279681389533
width_bx,width_h2_bx_m0p16,2,-0.16,1.0,0.55,0.002,0.002,early,10,60,0.9999995072504642,0.0,4.927495358459184e-07,0.0
width_bx,width_h2_bx_m0p16,2,-0.16,1.0,0.55,0.002,0.002,middle,120,200,0.9971002630275032,0.002732730368350934,0.00016465953571779271,2.3470684278895475e-06
width_bx,width_h2_bx_m0p16,2,-0.16,1.0,0.55,0.002,0.002,late,260,360,0.9759291784042085,0.023523239527416882,0.000480789376006517,6.679269236814573e-05
width_bx,width_h2_bx_m0p12,2,-0.12,1.0,0.55,0.002,0.002,peak1,503,555,0.8731648046819039,0.12320288423920131,0.002042501685439196,0.0015898093934555563
width_bx,width_h2_bx_m0p12,2,-0.12,1.0,0.55,0.002,0.002,valley,1291,1343,0.1694987927269939,0.7022605922586319,0.013060988117035358,0.1151796268973388
width_bx,width_h2_bx_m0p12,2,-0.12,1.0,0.55,0.002,0.002,peak2,1855,1907,0.06340821144836532,0.8165521069210224,0.003841565279558554,0.11619811635105376
width_bx,width_h2_bx_m0p08,2,-0.08,1.0,0.55,0.002,0.002,peak1,369,421,0.932121516546027,0.06555664436128365,0.0017643292578967556,0.0005575098347926776
width_bx,width_h2_bx_m0p08,2,-0.08,1.0,0.55,0.002,0.002,valley,1054,1106,0.18473222691861413,0.6019239588523763,0.036964630517544395,0.17637918371146527
width_bx,width_h2_bx_m0p08,2,-0.08,1.0,0.55,0.002,0.002,peak2,1660,1712,0.13732449803041236,0.7749744947054753,0.0062051358845040434,0.08149587137960831
width_bx,width_h2_bx_m0p04,2,-0.04,1.0,0.55,0.002,0.002,early,10,60,0.9999992941168359,0.0,7.058831641971028e-07,0.0
width_bx,width_h2_bx_m0p04,2,-0.04,1.0,0.55,0.002,0.002,middle,120,200,0.996478193992824,0.003146888012198203,0.00037113171935155133,3.7862756262039557e-06
width_bx,width_h2_bx_m0p04,2,-0.04,1.0,0.55,0.002,0.002,late,260,360,0.9645205339269135,0.033587911650789795,0.0016853869387380973,0.00020616748355863933
width_bx,width_h2_bx_p0p00,2,0.0,1.0,0.55,0.002,0.002,early,10,60,0.9999992146939055,0.0,7.85306094401797e-07,0.0
width_bx,width_h2_bx_p0p00,2,0.0,1.0,0.55,0.002,0.002,middle,120,200,0.9963836987500527,0.0031004439671478584,0.0005116238949848675,4.233387814427155e-06
width_bx,width_h2_bx_p0p00,2,0.0,1.0,0.55,0.002,0.002,late,260,360,0.9638247064391134,0.032505507863497464,0.0034061077342101603,0.0002636779631790801
width_bx,width_h2_bx_p0p04,2,0.04,1.0,0.55,0.002,0.002,early,10,60,0.9999991300896143,0.0,8.699103858307781e-07,0.0
width_bx,width_h2_bx_p0p04,2,0.04,1.0,0.55,0.002,0.002,middle,120,200,0.9963781629685551,0.0028824597852711003,0.0007348626582707734,4.514587903042848e-06
width_bx,width_h2_bx_p0p04,2,0.04,1.0,0.55,0.002,0.002,late,260,360,0.9666397567697318,0.024972830331711913,0.008118300863285315,0.0002691120352709809
width_bx,width_h2_bx_p0p08,2,0.08,1.0,0.55,0.002,0.002,early,10,60,0.9999990394984407,0.0,9.605015593175522e-07,0.0
width_bx,width_h2_bx_p0p08,2,0.08,1.0,0.55,0.002,0.002,middle,120,200,0.9964451909807078,0.0024456527064062473,0.0011047004575238852,4.45585536210934e-06
width_bx,width_h2_bx_p0p08,2,0.08,1.0,0.55,0.002,0.002,late,260,360,0.9677574848820044,0.013423111522730504,0.01861693842050081,0.00020246517476439055
width_bx,width_h3_bx_m0p16,3,-0.16,1.0,0.55,0.002,0.002,early,10,60,0.9999999551830485,0.0,4.481695153929714e-08,0.0
width_bx,width_h3_bx_m0p16,3,-0.16,1.0,0.55,0.002,0.002,middle,120,200,0.9983677407970477,0.001539729120167319,9.153874716962762e-05,9.913356152626288e-07
width_bx,width_h3_bx_m0p16,3,-0.16,1.0,0.55,0.002,0.002,late,260,360,0.982027342586111,0.017619830877348634,0.0003131427348246354,3.9683801715715516e-05
width_bx,width_h3_bx_m0p12,3,-0.12,1.0,0.55,0.002,0.002,peak1,529,581,0.8689949726648232,0.1276836981664682,0.0018016718364889876,0.0015196573322196524
width_bx,width_h3_bx_m0p12,3,-0.12,1.0,0.55,0.002,0.002,valley,1316,1368,0.21359092866996923,0.6709187881414619,0.01377750580397748,0.10171277738459146
width_bx,width_h3_bx_m0p12,3,-0.12,1.0,0.55,0.002,0.002,peak2,1852,1904,0.09240089458935384,0.8117425001447347,0.004592719475618448,0.09126388579029285
width_bx,width_h3_bx_m0p08,3,-0.08,1.0,0.55,0.002,0.002,peak1,382,434,0.9393532374977691,0.058807577756435525,0.0013949633962527695,0.000444221349542657
width_bx,width_h3_bx_m0p08,3,-0.08,1.0,0.55,0.002,0.002,valley,1065,1117,0.2694771863583189,0.528121848043565,0.04153065970729264,0.16087030589082335
width_bx,width_h3_bx_m0p08,3,-0.08,1.0,0.55,0.002,0.002,peak2,1647,1699,0.1812678281265903,0.7547239997027974,0.006633547775716642,0.05737462439489568
width_bx,width_h3_bx_m0p04,3,-0.04,1.0,0.55,0.002,0.002,early,10,60,0.9999999415255776,0.0,5.8474422404990864e-08,0.0
width_bx,width_h3_bx_m0p04,3,-0.04,1.0,0.55,0.002,0.002,middle,120,200,0.9980209143039729,0.001768875870433005,0.0002086833701098846,1.526455484208376e-06
width_bx,width_h3_bx_m0p04,3,-0.04,1.0,0.55,0.002,0.002,late,260,360,0.9742604178494682,0.024470207942937767,0.0011506097795300865,0.00011876442806403938
width_bx,width_h3_bx_p0p00,3,0.0,1.0,0.55,0.002,0.002,early,10,60,0.9999999362413233,0.0,6.375867667850581e-08,0.0
width_bx,width_h3_bx_p0p00,3,0.0,1.0,0.55,0.002,0.002,middle,120,200,0.997967945195172,0.0017385548317863358,0.00029182593687401636,1.6740361676602363e-06
width_bx,width_h3_bx_p0p00,3,0.0,1.0,0.55,0.002,0.002,late,260,360,0.9743645775623878,0.023156622614341735,0.0023323489256014433,0.00014645089766917983
width_bx,width_h3_bx_p0p04,3,0.04,1.0,0.55,0.002,0.002,early,10,60,0.9999999304804686,0.0,6.951953134534181e-08,0.0
width_bx,width_h3_bx_p0p04,3,0.04,1.0,0.55,0.002,0.002,middle,120,200,0.9979620881575791,0.0016089191484179408,0.0004272491432867149,1.7435507162883991e-06
width_bx,width_h3_bx_p0p04,3,0.04,1.0,0.55,0.002,0.002,late,260,360,0.9771580352893234,0.01724797306959864,0.0054538787333287,0.00014011290774915093
width_bx,width_h3_bx_p0p08,3,0.08,1.0,0.55,0.002,0.002,early,10,60,0.99999992415642,0.0,7.58435800076793e-08,0.0
width_bx,width_h3_bx_p0p08,3,0.08,1.0,0.55,0.002,0.002,middle,120,200,0.9979884385135207,0.0013534592325078498,0.0006564332891003999,1.668964870881423e-06
width_bx,width_h3_bx_p0p08,3,0.08,1.0,0.55,0.002,0.002,late,260,360,0.9788398314204048,0.008912641130080829,0.012152606263680525,9.492118583393274e-05
width_bx,width_h4_bx_m0p16,4,-0.16,1.0,0.55,0.002,0.002,early,10,60,1.0,0.0,0.0,0.0
width_bx,width_h4_bx_m0p16,4,-0.16,1.0,0.55,0.002,0.002,middle,120,200,0.99911893233186,0.0008245460777772739,5.607218137592051e-05,4.49408986721653e-07
width_bx,width_h4_bx_m0p16,4,-0.16,1.0,0.55,0.002,0.002,late,260,360,0.9868983644945445,0.01284642925742612,0.0002285168655535818,2.6689382475835676e-05
width_bx,width_h4_bx_m0p12,4,-0.12,1.0,0.55,0.002,0.002,peak1,553,605,0.871002694042276,0.12575245105113966,0.0017297801571337567,0.0015150747494506415
width_bx,width_h4_bx_m0p12,4,-0.12,1.0,0.55,0.002,0.002,valley,1340,1392,0.2688914459943046,0.6272156515945411,0.014714035932214334,0.08917886647893994
width_bx,width_h4_bx_m0p12,4,-0.12,1.0,0.55,0.002,0.002,peak2,1852,1904,0.12519924638500254,0.794466746981787,0.005516841991123124,0.07481716464208725
width_bx,width_h4_bx_m0p08,4,-0.08,1.0,0.55,0.002,0.002,peak1,397,449,0.9457141500809155,0.0526176575988626,0.001259256267409091,0.0004089360528126531
width_bx,width_h4_bx_m0p08,4,-0.08,1.0,0.55,0.002,0.002,valley,1079,1131,0.37842333877601264,0.4397713397299719,0.04352647929093512,0.13827884220308037
width_bx,width_h4_bx_m0p08,4,-0.08,1.0,0.55,0.002,0.002,peak2,1640,1692,0.22148628337179757,0.7264694976245328,0.007267209031624684,0.04477700997204491
width_bx,width_h4_bx_m0p04,4,-0.04,1.0,0.55,0.002,0.002,early,10,60,1.0,0.0,0.0,0.0
width_bx,width_h4_bx_m0p04,4,-0.04,1.0,0.55,0.002,0.002,middle,120,200,0.9989159873659568,0.0009511840145015781,0.00013215209017658884,6.765293650275878e-07
width_bx,width_h4_bx_m0p04,4,-0.04,1.0,0.55,0.002,0.002,late,260,360,0.9816224647770037,0.01741222619690959,0.000887965089673273,7.734393641336312e-05
width_bx,width_h4_bx_p0p00,4,0.0,1.0,0.55,0.002,0.002,early,10,60,1.0,0.0,0.0,0.0
width_bx,width_h4_bx_p0p00,4,0.0,1.0,0.55,0.002,0.002,middle,120,200,0.9988766113122931,0.0009338773601741644,0.00018877887086160623,7.324566710157925e-07
