kappa,phase,sep_peaks,t_peak1,t_valley,t_peak2,peak1_none,peak1_left_only,peak1_mem_only,peak1_both,valley_none,valley_left_only,valley_mem_only,valley_both,peak2_none,peak2_left_only,peak2_mem_only,peak2_both,peak2_tau_left_prob,peak2_tau_mem_prob
0.0,2,1.9290465631929046,396,1082,1701,0.9342072382681871,0.06579276173181282,0.0,0.0,0.15869888466561832,0.8413011153343817,0.0,0.0,0.13977691671562278,0.8602230832843772,0.0,0.0,0.8602230832844502,0.0
0.0005,2,1.8625626342161776,396,1082,1697,0.933613741070631,0.06587739864542559,0.0003709790592568368,0.00013788122468645777,0.16805876453277158,0.7640006605645263,0.011098486476128808,0.05684208842657341,0.13933244199180808,0.8386726061495299,0.0014394574766952147,0.020555494381966834,0.859228100531573,0.021994951858663996
0.001,2,1.7915804002760525,395,1081,1693,0.9335354555151082,0.06540537444201987,0.0007854045054097961,0.00027376553746243624,0.17493605579902574,0.7006716290722583,0.02074347089272435,0.10364884423599158,0.1388266742835133,0.8171963005589755,0.0029573337814546934,0.041019691376056426,0.8582159919351042,0.043977025157514775
0.002,2,1.6331435800126501,395,1080,1686,0.932121516546027,0.06555664436128365,0.0017643292578967556,0.0005575098347926776,0.18473222691861413,0.6019239588523763,0.036964630517544395,0.17637918371146527,0.13732449803041236,0.7749744947054753,0.0062051358845040434,0.08149587137960831,0.8564703660851519,0.08770100726411954
0.003,2,1.411764705882353,394,1080,1678,0.9311060151443614,0.06514244321994976,0.0029142521789481215,0.0008372894567409147,0.1908113177648207,0.5282663668897776,0.05039171447622751,0.2305306008691743,0.135918152379621,0.7331966454268922,0.009740811044912917,0.12114439114857374,0.854341036575543,0.13088520219349864
0.004,1,0.860512129380054,393,1080,1670,0.9299312529756146,0.06471665509885155,0.004234764917547798,0.0011173270079858828,0.19424060983890584,0.47128580494459915,0.061979023121446666,0.27249456209504835,0.13430611280002058,0.6924510158456696,0.013533918207255899,0.15970895314705386,0.8521599689927987,0.17324287135432506
0.005,1,0.8294117647058824,393,1081,1662,0.9279926523492008,0.06482707006668857,0.005759844200274934,0.001420433383835625,0.19596491452669157,0.4254966233262194,0.07222003899142455,0.3063184231556644,0.13250690296855944,0.6529448019321845,0.017559498052796208,0.1969887970464598,0.849933598978724,0.21454829509927617
