scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,phase,t_peak1,t_valley,t_peak2,sep_peaks,left_edge_count,mem_edge_count,total_none,total_left_only,total_mem_only,total_both,late_window_name,late_none,late_left_only,late_mem_only,late_both,late_tau_left_prob,late_tau_left_mean_event_time,late_tau_left_mean_hit_time,late_tau_left_ratio,late_tau_left_early_mass,late_tau_left_late_mass,late_tau_left_no_exit_mass,late_tau_mem_prob,late_tau_mem_mean_event_time,late_tau_mem_mean_hit_time,late_tau_mem_ratio,late_tau_mem_early_mass,late_tau_mem_late_mass,late_tau_mem_no_exit_mass,survival_tail
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,0,,,,0.0,10,100,0.5203561603554591,0.4008540914674919,0.005404617906933942,0.07338513027011523,late,0.9707672518486955,0.026490453907909873,0.00247547252107617,0.00026682172231839795,0.02675727563022868,21.196199471944567,321.43576319310876,0.06594225627348921,0.02675583126076619,1.444369462488132e-06,0.9732427243697713,0.0027422942433946093,201.07228347838526,321.43576319310876,0.6255442191029229,0.0009551139898434729,0.0017871802535511364,0.9972577057566054,0.9785578738986095
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,1,457,1345,2060,0.617964533538936,10,100,0.39453955226109805,0.4538830579145471,0.0053994713381081486,0.1461779184862468,peak2,0.007106337594054512,0.7728799506001622,0.0013313606175729153,0.21868235118821025,0.9915623017884588,324.11992973062837,2060.0000051357015,0.15733977132163993,0.8788420265030276,0.11272027528543127,0.008437698211541167,0.2200137118058023,432.8961755564746,2060.0000051357015,0.21014377401807713,0.19482708658288386,0.025186625222918424,0.7799862881941977,0.8841269123456167
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,1,364,1023,1823,0.5735062893081762,10,100,0.35630812353686014,0.44036984243597627,0.007136748965811728,0.196185285061352,peak2,0.023820468717742675,0.7249486724241389,0.003575319592007684,0.24765553926611075,0.9726042116903171,500.85755782820644,1823.0000652733827,0.2747435764644892,0.6680503889849722,0.3045538227053449,0.027395788309682922,0.25123085885813573,358.0559553068715,1823.0000652733827,0.19641028112260453,0.22381796171197704,0.027412897146158688,0.7487691411418642,0.6662708986738
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,1,302,1203,2149,0.730328192961645,10,100,0.44369387635641494,0.36326165826231893,0.015817731946548255,0.1772267334347179,peak2,0.05770156000312129,0.6481334949462072,0.012049953555638926,0.2821149914950325,0.9302484864413244,799.4767880043353,2148.999964680874,0.37202270876866084,0.5155630272635765,0.4146854591777479,0.06975151355867559,0.2941649450506995,379.7427642002666,2148.999964680874,0.17670673356975056,0.258572862617052,0.03559208243364753,0.7058350549493004,0.39338021584828675
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,0,,,,0.0,10,100,0.7018213899246347,0.15151130724965675,0.083939629656126,0.06272767316958247,late,0.9360017854396743,0.04466755302585124,0.017879455043538453,0.0014512064909360729,0.04611875951678802,22.055155087677978,304.7008234253453,0.0723829848562313,0.04610060664257188,1.8152874216137427e-05,0.953881240483212,0.019330661534474814,180.38256472458923,304.7008234253453,0.5919989407865344,0.005417673845808713,0.013912987688666101,0.9806693384655252,0.12501721499232132
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,0,,,,0.0,10,100,0.7607900120329193,0.09740778124813615,0.13099814369113214,0.010804063027812382,late,0.9208966950138736,0.036475078533125004,0.0409358934373429,0.0016923330156584505,0.03816741154878396,20.804402800850507,302.98677148423695,0.06866439316454734,0.03814500728830057,2.2404260483388505e-05,0.961832588451216,0.042628226453001905,156.0828031688297,302.98677148423695,0.5151472534732429,0.01880742339687996,0.023820803056121945,0.9573717735469981,2.4911140045050954e-05
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,0,,,,0.0,10,100,0.8178548707760818,0.05630721916031938,0.12253156068337762,0.0033063493802211845,late,0.8844728290681536,0.022637215547734246,0.09127406914204073,0.0016158862420712814,0.0242531017898058,18.52116545461364,304.15306468264714,0.06089422598433653,0.02424098694138585,1.2114848419949448e-05,0.9757468982101942,0.09288995538411304,122.91000719541769,304.15306468264714,0.4041057660348148,0.06668275443648378,0.026207200947629267,0.907110044615887,1.8683224323216207e-11
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,0,,,,0.0,10,100,0.2869258991052791,0.5885725908761495,0.0024787877237856743,0.12202272229478552,late,0.9703890441268259,0.028631625807463357,0.0008551491015280009,0.00012418096418254478,0.02875580677164641,23.967747844442837,322.8159504398261,0.07424585994523371,0.02875399592978925,1.8108418571582963e-06,0.9712441932283535,0.0009793300657105631,172.34628620087108,322.8159504398261,0.5338840474457812,0.0004411674599366747,0.0005381626057738884,0.9990206699342894,0.7897426686045934
width_bx,width_h1_bx_m0p12,1,-0.12,1.0,0.55,0.002,0.002,1,500,1284,1908,0.5378151260504201,10,100,0.2921653029384467,0.5537909762675202,0.003342600565506888,0.1507011202285262,peak2,0.035514410978895794,0.8064850569867186,0.002978886543696862,0.1550216454906889,0.9615067024774716,532.1827620892063,1908.0000988504585,0.27892176861512663,0.673590281072446,0.2879164214050256,0.03849329752252839,0.1580005320343961,492.9949628384177,1908.0000988504585,0.2583830908265884,0.13667415434329266,0.021326377691103432,0.8419994679656039,0.45960731132988597
width_bx,width_h1_bx_m0p08,1,-0.08,1.0,0.55,0.002,0.002,1,381,1059,1711,0.7044491525423728,10,100,0.37225198864099085,0.49036862224184985,0.005631795252325492,0.1317475938648339,peak2,0.08623887613350267,0.7782845170644714,0.0055423589861223095,0.12993424781590365,0.9082187648804472,751.8068550442443,1711.0000798442793,0.4393961542729252,0.36587536645578106,0.5423433984246662,0.09178123511955283,0.1354766068020371,399.3201974439208,1711.0000798442793,0.23338409047898087,0.11862658517952465,0.01685002162251245,0.8645233931979629,0.215181723833139
width_bx,width_h1_bx_m0p04,1,-0.04,1.0,0.55,0.002,0.002,0,,,,0.0,10,100,0.54828639839994,0.3555170359940932,0.011599953479283399,0.08459661212668348,late,0.9542716447874171,0.0423718003916315,0.0029493084609460837,0.0004072463600051556,0.04277904675163738,23.402257070412073,310.04392402944836,0.0754804569825703,0.04277373040198149,5.316349655885844e-06,0.9572209532483626,0.0033565548209513007,175.3635257818353,310.04392402944836,0.5656086515186121,0.0011613334551798917,0.002195221365771409,0.9966434451790487,0.10682320621241922
width_bx,width_h1_bx_p0p00,1,0.0,1.0,0.55,0.002,0.002,0,,,,0.0,10,100,0.8376967068161507,0.10423103344597325,0.03558878195999557,0.022483477777880397,late,0.9516351376906949,0.041875698452028494,0.005950216114673953,0.0005389477426026727,0.04241464619463181,22.40641092113855,304.23957236831455,0.07364726010728544,0.0424049608699157,9.6853247161105e-06,0.9575853538053682,0.0064891638572767375,170.98369150739313,304.23957236831455,0.5620034572636037,0.0020899367051183454,0.004399227152158392,0.9935108361427233,0.04177335842099303
width_bx,width_h1_bx_p0p04,1,0.04,1.0,0.55,0.002,0.002,0,,,,0.0,10,100,0.8993489532268598,0.049132307636046604,0.04865784845463615,0.0028608906824574066,late,0.9521240085133692,0.033047332095305075,0.014246738791422967,0.0005819205999026857,0.03362925269520809,20.88025109840035,301.77530902414145,0.06919138337036702,0.033617166067490524,1.2086627717566856e-05,0.9663707473047919,0.014828659391325825,153.60571981726292,301.77530902414145,0.5090069174777144,0.006559742465883329,0.008268916925442496,0.9851713406086742,5.973095812149822e-06
width_bx,width_h1_bx_p0p08,1,0.08,1.0,0.55,0.002,0.002,0,,,,0.0,10,100,0.928736336937612,0.026849886219082263,0.0436164341988761,0.0007973426444295846,late,0.947802083369058,0.01863587391211245,0.033077609922015555,0.00048443279681389533,0.01912030670892654,18.65720801391435,303.12955033448134,0.061548628278989895,0.019114177587340075,6.1291215864636706e-06,0.9808796932910735,0.03356204271882982,123.41986775715682,303.12955033448134,0.4071522146916129,0.023772229307066385,0.009789813411763437,0.9664379572811702,5.556335287446052e-12
width_bx,width_h2_bx_m0p16,2,-0.16,1.0,0.55,0.002,0.002,0,,,,0.0,10,100,0.2533731911883581,0.62971574616426,0.0021686848478762355,0.11474237779950573,late,0.9759291784042085,0.023523239527416882,0.000480789376006517,6.679269236814573e-05,0.02359003221978532,27.616001413462012,323.5380214737989,0.0853562783368212,0.023588394999577773,1.63722020754542e-06,0.9764099677802147,0.0005475820683746698,163.6126271176924,323.5380214737989,0.5056982989893887,0.00026319462963843277,0.000284387438736237,0.9994524179316253,0.6098318003667373
width_bx,width_h2_bx_m0p12,2,-0.12,1.0,0.55,0.002,0.002,1,529,1317,1881,0.5954635542831975,10,100,0.3133711205995638,0.5662950168093001,0.003448093090571709,0.11688576950056431,peak2,0.06340821144836532,0.8165521069210224,0.003841565279558554,0.11619811635105376,0.9327502232721457,625.8925424359596,1880.9999549940856,0.3327445812926283,0.5691191695005038,0.36363105377164195,0.06724977672785426,0.12003968163062143,532.2086754256919,1880.9999549940856,0.2829392281550402,0.10214234334908544,0.017897338281535988,0.8799603183693786,0.26028718912975013
width_bx,width_h2_bx_m0p08,2,-0.08,1.0,0.55,0.002,0.002,2,395,1080,1686,1.6331435800126501,10,100,0.4353321973866437,0.4714318877367877,0.005876108541719526,0.08735980633484922,peak2,0.13732449803041236,0.7749744947054753,0.0062051358845040434,0.08149587137960831,0.8564703660851519,835.054872627449,1685.9997736596652,0.49528765405161473,0.2576898655374571,0.5987805005476948,0.14352963391484808,0.08770100726411954,431.218130579691,1685.9997736596652,0.2557640501004814,0.0755086109647014,0.012192396299418137,0.9122989927358804,0.10223192971799522
width_bx,width_h2_bx_m0p04,2,-0.04,1.0,0.55,0.002,0.002,0,,,,0.0,10,100,0.6275801640577787,0.31145908271804,0.01048311158183296,0.05047764164234831,late,0.9645205339269135,0.033587911650789795,0.0016853869387380973,0.00020616748355863933,0.03379407913434894,26.7386969502387,310.87871426590607,0.08601006026861042,0.033790342907320615,3.736227028323935e-06,0.966205920865651,0.0018915544222967667,170.63535396555517,310.87871426590607,0.5488807889870659,0.0006865810087458286,0.001204973413550938,0.9981084455777033,0.053331165699083014
width_bx,width_h2_bx_p0p00,2,0.0,1.0,0.55,0.002,0.002,0,,,,0.0,10,100,0.8842013785014249,0.07961670763586289,0.02371777982987917,0.012464134032833123,late,0.9638247064391134,0.032505507863497464,0.0034061077342101603,0.0002636779631790801,0.03276918582667698,25.556055980659945,304.85374962942393,0.0838305450128973,0.032763377612597115,5.808214079867924e-06,0.967230814173323,0.0036697856973892896,168.7982312403462,304.85374962942393,0.5537023292169936,0.0012122851601799945,0.002457500537209295,0.9963302143026107,0.024815676004419834
