case,display_name,style,X_g,N,P,Q,dominant_family,dominant_family_frac,dominant_lr,no_leak_total,pre_gate_leak_total,post_gate_leak_total,rollback_total,leak_total
sym_shared,shared symmetric baseline,dir,9,0.8840298945778261,0.0016453062161029906,0.1143247992060709,N,0.8840298945778261,L0R1,0.9040205334158565,0.0017949935171505255,0.09418447306699299,0.7699628363247327,0.09597946658414351
sym_shared,shared symmetric baseline,dir,10,0.884029894577826,0.0027273604584896172,0.11324274496368424,N,0.884029894577826,L0R1,0.9040205334158562,0.002955209009106982,0.09302425757503664,0.6476113280101515,0.09597946658414364
sym_shared,shared symmetric baseline,dir,11,0.8840298945778261,0.0038762345464631487,0.11209387087571072,N,0.8840298945778261,L0R1,0.9040205334158563,0.004174639765342195,0.09180482681880131,0.5659017949868974,0.09597946658414351
sym_shared,shared symmetric baseline,dir,12,0.8840298945778261,0.005050789968170428,0.11091931545400346,N,0.8840298945778261,L0R1,0.9040205334158568,0.005413772601680242,0.09056569398246325,0.5104692694034607,0.09597946658414348
sym_shared,shared symmetric baseline,dir,13,0.8840298945778262,0.006229904071408406,0.10974020135076543,N,0.8840298945778262,L0R1,0.9040205334158563,0.006653930363170119,0.08932553622097354,0.47279809917978144,0.09597946658414368
sym_shared,shared symmetric baseline,dir,14,0.8840298945778261,0.007404157378699797,0.10856594804347411,N,0.8840298945778261,L0R1,0.9040205334158561,0.007886986673049962,0.08809247991109373,0.44718924413633665,0.09597946658414369
sym_shared,shared symmetric baseline,dir,15,0.8840298945778262,0.008570660586114099,0.10739944483605969,N,0.8840298945778262,L0R1,0.9040205334158564,0.009109965594435065,0.08686950098970861,0.42974559151654856,0.09597946658414368
sym_shared,shared symmetric baseline,dir,16,0.884029894577826,0.009729974476325091,0.10624013094584878,N,0.884029894577826,L0R1,0.9040205334158563,0.010322271419593286,0.08565719516455031,0.4178060854498406,0.09597946658414361
sym_shared,shared symmetric baseline,dir,17,0.8840298945778262,0.010884363660705608,0.1050857417614682,N,0.8840298945778262,L0R1,0.9040205334158561,0.011524300424175606,0.08445516615996818,0.40956385546692625,0.09597946658414377
sym_shared,shared symmetric baseline,dir,18,0.8840298945778262,0.012036854943691631,0.10393325047848222,N,0.8840298945778262,L0R1,0.9040205334158564,0.012716772347752214,0.08326269423639146,0.40379859680444996,0.09597946658414368
sym_shared,shared symmetric baseline,dir,19,0.8840298945778261,0.013190755988539768,0.1027793494336341,N,0.8840298945778261,L0R1,0.9040205334158566,0.013900429809811616,0.08207903677433193,0.3996896233698781,0.09597946658414352
sym_shared,shared symmetric baseline,dir,20,0.8840298945778262,0.014349425019955037,0.10162068040221872,N,0.8840298945778262,L0R1,0.9040205334158562,0.015075919939445489,0.08090354664469825,0.3966867011540851,0.09597946658414373
sym_shared,shared symmetric baseline,dir,21,0.884029894577826,0.015516171075692326,0.10045393434648156,N,0.884029894577826,L0R1,0.9040205334158566,0.016243761884357923,0.07973570469978564,0.3944217232810984,0.09597946658414357
sym_shared,shared symmetric baseline,dir,22,0.8840298945778262,0.01669421827992828,0.0992758871422456,N,0.8840298945778262,L0R1,0.9040205334158564,0.017404351554193835,0.07857511502994978,0.39264879674796654,0.09597946658414361
sym_shared,shared symmetric baseline,dir,23,0.8840298945778262,0.017886698693080325,0.09808340672909353,N,0.8840298945778262,L0R1,0.9040205334158565,0.01855797994080101,0.07742148664334254,0.3912038372429354,0.09597946658414354
sym_shared,shared symmetric baseline,dir,24,0.8840298945778261,0.01909665554016225,0.09687344988201162,N,0.8840298945778261,L0R1,0.9040205334158564,0.019704854147449727,0.07627461243669388,0.38997743058252676,0.09597946658414361
sym_shared,shared symmetric baseline,dir,25,0.884029894577826,0.020327047923843475,0.09564305749833045,N,0.884029894577826,L0R1,0.9040205334158563,0.02084511661512585,0.0751343499690177,0.3888966555367896,0.09597946658414355
sym_shared,shared symmetric baseline,dir,26,0.884029894577826,0.021580753019163797,0.09438935240301011,N,0.884029894577826,L0R1,0.9040205334158562,0.02197886106696728,0.07400060551717635,0.38791293192585163,0.09597946658414364
sym_shared,shared symmetric baseline,dir,27,0.8840298945778261,0.022860564239080047,0.0931095411830939,N,0.8840298945778261,L0R1,0.9040205334158565,0.02310614504821833,0.07287332153592524,0.38699390713093224,0.09597946658414357
sym_shared,shared symmetric baseline,dir,28,0.8840298945778261,0.024169185071247004,0.09180092035092684,N,0.8840298945778261,L0R1,0.9040205334158564,0.024226999474407294,0.0717524671097362,0.3861180435988715,0.0959794665841435
