case,source_phase,recomputed_phase,source_p_far,recomputed_p_far,q_far_start,q_far_gap_vs_p_far,source_t_peak2,recomputed_t_peak2,source_sep_gate_coarse,recomputed_sep_gate_coarse,source_late_family_coarse,late_family_coarse,peak2_F_no_return_frac,peak2_F_rollback_frac,closure_max_abs,mc_branch_near,mc_branch_far,mc_max_family_abs_err
anchor,2,2,0.6760085327508798,0.6760085327508798,0.6760085316212855,1.1295943069811187e-09,469,469,2.493150684931507,2.493150684931507,F_no_return,F_no_return,0.8872614310110994,0.11269993729833654,3.2742905609062234e-17,0.3271,0.6724,0.006816449086511467
clear_instance,2,2,0.6502638910530909,0.6502638910530909,0.6502638898820161,1.1710747926940712e-09,471,471,2.379947229551451,2.379947229551451,F_no_return,F_no_return,0.8866931776228891,0.11322000613817859,3.599551212651875e-17,0.34865,0.6513,0.00422196578250375
near_mass_loss,1,2,0.9112623182462092,0.9112623182462092,0.9112623168394842,1.406724958741279e-09,470,470,2.2290076335877864,2.2290076335877864,F_no_return,F_no_return,0.8748532188978663,0.12511498961728387,4.7704895589362195e-17,0.0893,0.9103,0.005742761016821585
