case,phase,sep_peaks,peak2_dominant_gate_family,peak2_dominant_rollback_class,rollback_total,peak2_L0R1_plus_L1R1,x_gate_scan_P_min,x_gate_scan_P_max,x_gate_scan_Q_min,x_gate_scan_Q_max,x_gate_scan_rollback_min,x_gate_scan_rollback_max
sym_shared,2,1.6331435800126501,N,L0R1,0.8919661232862289,0.9974577022554462,0.0016221407256594594,0.0865893820460822,0.03130676506207646,0.11627400638249925,0.2765870429317472,0.7705600808398584
tb_asym_balanced,2,1.7562626946513202,N,L0R1,0.8908509974606241,0.9980450497281379,0.0009940138694264976,0.05416466961089815,0.02018045592443088,0.07335111166590251,0.2823275273850727,0.7686104683860114
dir_asym_easy_out_balanced,2,1.7095709570957096,N,L0R1,0.8933559078886707,0.9986268514935784,0.0014579487426114085,0.07950036228813356,0.013778108685715414,0.09182052223123756,0.28030161785532975,0.7729005778032311
dir_asym_easy_in_balanced,2,1.8002773925104023,N,L0R1,0.8883032468390639,0.997396481586312,0.0005316127990377038,0.028308617858992007,0.026717414032502666,0.05449441909245696,0.2840916034297783,0.7642576765589274
