case,X_g,max_family_abs_diff,max_lr_abs_diff,max_side_abs_diff,max_total_abs_diff
dir_asym_easy_out_balanced,27,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,28,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,29,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,30,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,31,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,32,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,33,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,34,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,35,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,36,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,37,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,38,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,39,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,40,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,41,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,42,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,43,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,44,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,45,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,46,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,47,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,48,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,49,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,50,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,51,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,52,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,53,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,54,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,55,0.0,0.0,0.0,0.0
dir_asym_easy_out_balanced,56,0.0,0.0,0.0,0.0
