case,q_star,window,L0R0,L0R1,L1R0,L1R1,dominant
sym_shared,0.3,peak2,0.022056855393973764,0.009010549108184069,0.8600469974978676,0.10888559799997458,L1R0
sym_shared,0.4,peak2,0.031379303574671606,0.012318398909889443,0.8507245493171698,0.10557774819826922,L1R0
sym_shared,0.5,peak2,0.09237491426204904,0.07671291423158041,0.7897289386297924,0.04118323287657824,L1R0
sym_shared,0.6,peak2,0.4208119812652666,0.09512375161953199,0.46129187162657465,0.022772395488626713,L1R0
sym_shared,0.7,peak2,0.593371509243958,0.10382435985812696,0.2887323436478832,0.014071787250031794,L0R0
