scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,lo,hi,hit_mass,flux_c2o,flux_o2c,occupancy_mass,L0R0,L0R1,L1R0,L1R1,rollback_share
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,early,10,60,6.057887890653256e-20,1.533675053056911e-24,1.9204208252375804e-25,3.607150782226723e-18,0.9890419149472037,0.010932653137511066,2.5266453218996842e-05,1.6546206623994549e-07,0.010932818599577305
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,middle,120,200,4.862052603905078e-06,6.0141705706388055e-09,2.8805799308740506e-09,0.0009007232677005365,0.6512229297260913,0.3472060844996601,0.0010105754645127606,0.0005604103097358439,0.347766494809396
width_bx,width_h0_bx_m0p16,0,-0.16,1.0,0.55,0.002,0.002,late,260,360,0.0004873414986406349,1.3378735295456287e-06,1.0137623086379456e-06,0.15664898655122816,0.4817278484702662,0.5142347414863475,0.001772984675947667,0.0022644253674385007,0.516499166853786
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,peak1,431,483,0.006267432011037438,4.721785602984785e-05,3.883957087654782e-05,2.8642247387862865,0.3678902463553981,0.620540340289095,0.003576811885985214,0.007992601469521524,0.6285329417586165
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,valley,1319,1371,0.0008163350979675977,0.00015646884920526478,4.73095432389915e-05,1.0979703932921647,0.011825960635679932,0.7580993607947827,0.009702368145181023,0.2203723104243562,0.9784716712191389
width_bx,width_h0_bx_m0p12,0,-0.12,1.0,0.55,0.002,0.002,peak2,2034,2086,0.0008661571227974973,0.0002008274301539913,3.250024619622801e-05,1.7842836774113182,5.537806598493399e-05,0.7569797987527564,0.0003612528304596733,0.24260357035079888,0.9995833691035554
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,peak1,338,390,0.022981640354691846,0.0001855800706718586,0.00011499380383312196,8.36580773795153,0.41161144344842904,0.5770542677420852,0.004173850002979527,0.00716043880650612,0.5842147065485913
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,valley,997,1049,0.002091421286511333,0.0005120330734165434,0.0002120417434941375,2.1395226859404652,0.006925164140677625,0.6753296352421065,0.027180469264631704,0.29056473135258426,0.9658943665946909
width_bx,width_h0_bx_m0p08,0,-0.08,1.0,0.55,0.002,0.002,peak2,1797,1849,0.002855478464656663,0.000765681316558819,0.00014907596667286608,5.205537427456194,1.1305477136480096e-06,0.7165923638649961,0.0008598341700605382,0.2825466714172296,0.9991390352822258
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,peak1,276,328,0.057872617926142456,0.000531212168916222,0.00022249704784169533,17.479961931923768,0.46609059896105504,0.5223257236802522,0.0051968332506587556,0.006386844108034122,0.5287125677882863
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,valley,1177,1229,0.0037569094175476485,0.0011769510563526878,0.0005170058330562256,4.519562315901357,0.0358587402307436,0.5603480132054803,0.04173943498426101,0.36205381157951505,0.9224018247849954
width_bx,width_h0_bx_m0p04,0,-0.04,1.0,0.55,0.002,0.002,peak2,2123,2175,0.0047397612344178795,0.0015209905239374198,0.00044829396877437745,10.18574672536073,0.0013814317685186433,0.6461447665982796,0.006260051755484296,0.3462137498777173,0.9923585164759969
width_bx,width_h0_bx_p0p00,0,0.0,1.0,0.55,0.002,0.002,early,10,60,8.437341277423895e-15,4.2172520909054035e-19,3.349280943964631e-20,5.02347967785349e-13,0.9899857712100983,0.009964139400491547,4.979593717832894e-05,2.934522317431706e-07,0.00996443285272329
