t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1,0,nan,nan,nan,nan,nan,nan
2,0,nan,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan,nan
5,0,nan,nan,nan,nan,nan,nan
6,0,nan,nan,nan,nan,nan,nan
7,0,nan,nan,nan,nan,nan,nan
8,4,nan,nan,nan,nan,nan,nan
9,1,nan,nan,nan,nan,nan,nan
10,4,nan,nan,nan,nan,nan,nan
11,9,nan,nan,nan,nan,nan,nan
12,7,nan,nan,nan,nan,nan,nan
13,12,nan,nan,nan,nan,nan,nan
14,14,nan,nan,nan,nan,nan,nan
15,20,nan,nan,nan,nan,nan,nan
16,16,nan,nan,nan,nan,nan,nan
17,12,nan,nan,nan,nan,nan,nan
18,16,nan,nan,nan,nan,nan,nan
19,24,nan,nan,nan,nan,nan,nan
20,17,nan,nan,nan,nan,nan,nan
21,22,nan,nan,nan,nan,nan,nan
22,20,nan,nan,nan,nan,nan,nan
23,23,nan,nan,nan,nan,nan,nan
24,17,nan,nan,nan,nan,nan,nan
25,29,nan,nan,nan,nan,nan,nan
26,19,nan,nan,nan,nan,nan,nan
27,23,nan,nan,nan,nan,nan,nan
28,25,nan,nan,nan,nan,nan,nan
29,22,nan,nan,nan,nan,nan,nan
30,20,nan,nan,nan,nan,nan,nan
31,35,nan,nan,nan,nan,nan,nan
32,24,nan,nan,nan,nan,nan,nan
33,19,nan,nan,nan,nan,nan,nan
34,32,nan,nan,nan,nan,nan,nan
35,31,nan,nan,nan,nan,nan,nan
36,37,nan,nan,nan,nan,nan,nan
37,23,nan,nan,nan,nan,nan,nan
38,18,nan,nan,nan,nan,nan,nan
39,23,nan,nan,nan,nan,nan,nan
40,22,nan,nan,nan,nan,nan,nan
41,26,nan,nan,nan,nan,nan,nan
42,26,nan,nan,nan,nan,nan,nan
43,34,nan,nan,nan,nan,nan,nan
44,25,nan,nan,nan,nan,nan,nan
45,29,nan,nan,nan,nan,nan,nan
46,25,nan,nan,nan,nan,nan,nan
47,25,nan,nan,nan,nan,nan,nan
48,21,nan,nan,nan,nan,nan,nan
49,21,nan,nan,nan,nan,nan,nan
50,23,nan,nan,nan,nan,nan,nan
51,26,nan,nan,nan,nan,nan,nan
52,28,nan,nan,nan,nan,nan,nan
53,28,nan,nan,nan,nan,nan,nan
54,28,nan,nan,nan,nan,nan,nan
55,25,nan,nan,nan,nan,nan,nan
56,28,nan,nan,nan,nan,nan,nan
57,20,nan,nan,nan,nan,nan,nan
58,32,nan,nan,nan,nan,nan,nan
59,32,nan,nan,nan,nan,nan,nan
60,23,nan,nan,nan,nan,nan,nan
61,16,nan,nan,nan,nan,nan,nan
