t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1,0,nan,nan,nan,nan,nan,nan
2,0,nan,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan,nan
5,1,nan,nan,nan,nan,nan,nan
6,3,nan,nan,nan,nan,nan,nan
7,4,nan,nan,nan,nan,nan,nan
8,12,nan,nan,nan,nan,nan,nan
9,10,nan,nan,nan,nan,nan,nan
10,8,nan,nan,nan,nan,nan,nan
11,11,nan,nan,nan,nan,nan,nan
12,15,nan,nan,nan,nan,nan,nan
13,24,nan,nan,nan,nan,nan,nan
14,15,nan,nan,nan,nan,nan,nan
15,21,nan,nan,nan,nan,nan,nan
16,28,nan,nan,nan,nan,nan,nan
17,15,nan,nan,nan,nan,nan,nan
18,14,nan,nan,nan,nan,nan,nan
19,20,nan,nan,nan,nan,nan,nan
20,15,nan,nan,nan,nan,nan,nan
21,24,nan,nan,nan,nan,nan,nan
22,10,nan,nan,nan,nan,nan,nan
23,21,nan,nan,nan,nan,nan,nan
24,20,nan,nan,nan,nan,nan,nan
25,21,nan,nan,nan,nan,nan,nan
26,14,nan,nan,nan,nan,nan,nan
27,25,nan,nan,nan,nan,nan,nan
28,18,nan,nan,nan,nan,nan,nan
29,16,nan,nan,nan,nan,nan,nan
30,17,nan,nan,nan,nan,nan,nan
31,29,nan,nan,nan,nan,nan,nan
32,24,nan,nan,nan,nan,nan,nan
33,27,nan,nan,nan,nan,nan,nan
34,16,nan,nan,nan,nan,nan,nan
35,22,nan,nan,nan,nan,nan,nan
36,16,nan,nan,nan,nan,nan,nan
37,23,nan,nan,nan,nan,nan,nan
38,16,nan,nan,nan,nan,nan,nan
39,30,nan,nan,nan,nan,nan,nan
40,13,nan,nan,nan,nan,nan,nan
41,19,nan,nan,nan,nan,nan,nan
42,16,nan,nan,nan,nan,nan,nan
43,16,nan,nan,nan,nan,nan,nan
44,24,nan,nan,nan,nan,nan,nan
45,29,nan,nan,nan,nan,nan,nan
46,14,nan,nan,nan,nan,nan,nan
47,21,nan,nan,nan,nan,nan,nan
48,26,nan,nan,nan,nan,nan,nan
49,15,nan,nan,nan,nan,nan,nan
50,22,nan,nan,nan,nan,nan,nan
51,22,nan,nan,nan,nan,nan,nan
52,20,nan,nan,nan,nan,nan,nan
53,11,nan,nan,nan,nan,nan,nan
54,28,nan,nan,nan,nan,nan,nan
55,19,nan,nan,nan,nan,nan,nan
56,20,nan,nan,nan,nan,nan,nan
57,28,nan,nan,nan,nan,nan,nan
58,24,nan,nan,nan,nan,nan,nan
59,21,nan,nan,nan,nan,nan,nan
60,19,nan,nan,nan,nan,nan,nan
61,17,nan,nan,nan,nan,nan,nan
