bimodal_fig3,h1,h1_all,h2,h2_all,h2_over_h1,n0_paper,sc_dst_paper,sc_src_paper,t1,t1_all,t2,t2_all,target_paper
False,0.006169105538584088,0.006169105538584088,,,,1,10,6,53,53,,,20
False,0.006388588234612342,0.006388588234612342,,,,1,11,6,52,52,,,20
