t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1,0,nan,nan,nan,nan,nan,nan
2,0,nan,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan,nan
5,0,nan,nan,nan,nan,nan,nan
6,0,nan,nan,nan,nan,nan,nan
7,1,nan,nan,nan,nan,nan,nan
8,3,nan,nan,nan,nan,nan,nan
9,4,nan,nan,nan,nan,nan,nan
10,4,nan,nan,nan,nan,nan,nan
11,12,nan,nan,nan,nan,nan,nan
12,10,nan,nan,nan,nan,nan,nan
13,11,nan,nan,nan,nan,nan,nan
14,10,nan,nan,nan,nan,nan,nan
15,15,nan,nan,nan,nan,nan,nan
16,18,nan,nan,nan,nan,nan,nan
17,18,nan,nan,nan,nan,nan,nan
18,11,nan,nan,nan,nan,nan,nan
19,13,nan,nan,nan,nan,nan,nan
20,19,nan,nan,nan,nan,nan,nan
21,18,nan,nan,nan,nan,nan,nan
22,20,nan,nan,nan,nan,nan,nan
23,23,nan,nan,nan,nan,nan,nan
24,21,nan,nan,nan,nan,nan,nan
25,14,nan,nan,nan,nan,nan,nan
26,24,nan,nan,nan,nan,nan,nan
27,19,nan,nan,nan,nan,nan,nan
28,18,nan,nan,nan,nan,nan,nan
29,19,nan,nan,nan,nan,nan,nan
30,24,nan,nan,nan,nan,nan,nan
31,34,nan,nan,nan,nan,nan,nan
32,24,nan,nan,nan,nan,nan,nan
33,30,nan,nan,nan,nan,nan,nan
34,25,nan,nan,nan,nan,nan,nan
35,32,nan,nan,nan,nan,nan,nan
36,21,nan,nan,nan,nan,nan,nan
37,22,nan,nan,nan,nan,nan,nan
38,35,nan,nan,nan,nan,nan,nan
39,30,nan,nan,nan,nan,nan,nan
40,24,nan,nan,nan,nan,nan,nan
41,25,nan,nan,nan,nan,nan,nan
42,28,nan,nan,nan,nan,nan,nan
43,32,nan,nan,nan,nan,nan,nan
44,29,nan,nan,nan,nan,nan,nan
45,29,nan,nan,nan,nan,nan,nan
46,19,nan,nan,nan,nan,nan,nan
47,26,nan,nan,nan,nan,nan,nan
48,19,nan,nan,nan,nan,nan,nan
49,34,nan,nan,nan,nan,nan,nan
50,26,nan,nan,nan,nan,nan,nan
51,30,nan,nan,nan,nan,nan,nan
52,27,nan,nan,nan,nan,nan,nan
53,22,nan,nan,nan,nan,nan,nan
54,25,nan,nan,nan,nan,nan,nan
55,30,nan,nan,nan,nan,nan,nan
56,18,nan,nan,nan,nan,nan,nan
57,31,nan,nan,nan,nan,nan,nan
58,30,nan,nan,nan,nan,nan,nan
59,29,nan,nan,nan,nan,nan,nan
60,15,nan,nan,nan,nan,nan,nan
61,21,nan,nan,nan,nan,nan,nan
