t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1,0,nan,nan,nan,nan,nan,nan
2,0,nan,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan,nan
5,1,nan,nan,nan,nan,nan,nan
6,3,nan,nan,nan,nan,nan,nan
7,6,nan,nan,nan,nan,nan,nan
8,8,nan,nan,nan,nan,nan,nan
9,13,nan,nan,nan,nan,nan,nan
10,13,nan,nan,nan,nan,nan,nan
11,7,nan,nan,nan,nan,nan,nan
12,10,nan,nan,nan,nan,nan,nan
13,17,nan,nan,nan,nan,nan,nan
14,19,nan,nan,nan,nan,nan,nan
15,21,nan,nan,nan,nan,nan,nan
16,14,nan,nan,nan,nan,nan,nan
17,18,nan,nan,nan,nan,nan,nan
18,21,nan,nan,nan,nan,nan,nan
19,19,nan,nan,nan,nan,nan,nan
20,23,nan,nan,nan,nan,nan,nan
21,13,nan,nan,nan,nan,nan,nan
22,24,nan,nan,nan,nan,nan,nan
23,20,nan,nan,nan,nan,nan,nan
24,24,nan,nan,nan,nan,nan,nan
25,16,nan,nan,nan,nan,nan,nan
26,15,nan,nan,nan,nan,nan,nan
27,16,nan,nan,nan,nan,nan,nan
28,23,nan,nan,nan,nan,nan,nan
29,25,nan,nan,nan,nan,nan,nan
30,30,nan,nan,nan,nan,nan,nan
31,20,nan,nan,nan,nan,nan,nan
32,18,nan,nan,nan,nan,nan,nan
33,24,nan,nan,nan,nan,nan,nan
34,12,nan,nan,nan,nan,nan,nan
35,26,nan,nan,nan,nan,nan,nan
36,19,nan,nan,nan,nan,nan,nan
37,17,nan,nan,nan,nan,nan,nan
38,24,nan,nan,nan,nan,nan,nan
39,25,nan,nan,nan,nan,nan,nan
40,21,nan,nan,nan,nan,nan,nan
41,26,nan,nan,nan,nan,nan,nan
42,27,nan,nan,nan,nan,nan,nan
43,22,nan,nan,nan,nan,nan,nan
44,18,nan,nan,nan,nan,nan,nan
45,21,nan,nan,nan,nan,nan,nan
46,21,nan,nan,nan,nan,nan,nan
47,21,nan,nan,nan,nan,nan,nan
48,17,nan,nan,nan,nan,nan,nan
49,31,nan,nan,nan,nan,nan,nan
50,15,nan,nan,nan,nan,nan,nan
51,25,nan,nan,nan,nan,nan,nan
52,29,nan,nan,nan,nan,nan,nan
53,32,nan,nan,nan,nan,nan,nan
54,20,nan,nan,nan,nan,nan,nan
55,23,nan,nan,nan,nan,nan,nan
56,28,nan,nan,nan,nan,nan,nan
57,21,nan,nan,nan,nan,nan,nan
58,12,nan,nan,nan,nan,nan,nan
59,18,nan,nan,nan,nan,nan,nan
60,8,nan,nan,nan,nan,nan,nan
61,11,nan,nan,nan,nan,nan,nan
