artifact_rank,is_control,source,stage1_rank,N,start_a,start_b,q1,q2,scan_mode,scan_tail_mass,scan_reached_tol,scan_steps,base_mass,base_tail_mass,base_reached_tol,base_mean,stage2_label,final_label,artifact_reason,stage2_score,final_score,t_main,t_late,min_late_t,raw_peaks,raw_late_ratio,raw_late_valley_ratio,smooth7_peaks,smooth11_peaks,smooth21_peaks,smooth31_peaks,smooth7_late_t,smooth11_late_t,smooth21_late_t,smooth31_late_t,smoothing_persistence,f2_peaks_n,f2_main_n,f2_main_t,f2_late_t,f2_peak_late_ratio,f2_peak_late_valley_ratio,f2_shoulder_t,f2_shoulder_excess,f2_shoulder_score,oscillation_index,repeat2_peaks,early_window,late_window,early_window_mass,late_window_mass,top_k_early,top_k_late,top_k_delta,max_delta,jsd_early_late_bits,C_early_top5,C_late_top5,Delta_top5,attribution_label,top_channel_label,top_channel_t_late,top_channel_f2_late_t,crossing_label,crossing_artifact_reason,crossing_t_late,crossing_score,crossing_mean,crossing_tail_mass,crossing_survives,bounce_label,bounce_artifact_reason,bounce_t_late,bounce_score,bounce_mean,bounce_tail_mass,bounce_survives
11,False,stage2_scan,,31,9,2,0.05,0.2,all_ordered_starts,0.0023796018645377824,False,6000.0,0.9999999999990072,9.99588940439136e-13,True,423.22385937469153,robust_shoulder,weak,none,97.51757283294985,48.758786416474926,86,130,129,86,0.0,1.0,2;86,2;86,86,86,,,,,0,43,43,86,130,0.0,1.0,130,3.3516575002123146,15.06796247397969,0.04987783963630923,False,78-94,122-138,0.0535942039423667,0.04817922720750451,8,7,8,-0.033736426318456414,0.009857267082765013,k=8:0.20696;k=7:0.204368;k=9:0.154841;k=6:0.152907;k=5:0.0888907,k=7:0.17463;k=8:0.173223;k=6:0.144789;k=9:0.140672;k=5:0.0990397,k=8:-0.0337364;k=7:-0.0297378;k=11:0.0166815;k=4:0.0146565;k=9:-0.0141695,weak,robust_shoulder,94,94,robust_shoulder,none,128,97.22160043119882,419.7601185649729,9.99583844453455e-13,True,robust_shoulder,none,122,95.28403480058024,382.86891598933454,9.997994442481367e-13,True
12,False,stage2_scan,,31,2,9,0.2,0.05,all_ordered_starts,0.0023796018645377824,False,6000.0,0.9999999999990075,9.995889404391415e-13,True,423.22385937469187,robust_shoulder,weak,none,97.51757283294978,48.75878641647489,86,130,129,86,0.0,1.0,2;86,2;86,86,86,,,,,0,43,43,86,130,0.0,1.0,130,3.351657500212313,15.06796247397968,0.04987783963630923,False,78-94,122-138,0.0535942039423667,0.04817922720750451,8,7,8,-0.033736426318456414,0.009857267082765006,k=8:0.20696;k=7:0.204368;k=9:0.154841;k=6:0.152907;k=5:0.0888907,k=7:0.17463;k=8:0.173223;k=6:0.144789;k=9:0.140672;k=5:0.0990397,k=8:-0.0337364;k=7:-0.0297378;k=11:0.0166815;k=4:0.0146565;k=9:-0.0141695,weak,robust_shoulder,94,94,robust_shoulder,none,128,97.22160043119884,419.760118564972,9.995838444534572e-13,True,robust_shoulder,none,122,95.28403480058026,382.8689159893347,9.997994442481422e-13,True
13,False,stage2_scan,,21,21,17,0.1,0.02,all_ordered_starts,0.0006950661213978564,False,6000.0,0.9999999999990058,9.998676224730813e-13,True,242.76638329874433,robust_shoulder,weak,none,91.63896196330963,45.81948098165481,54,82,81,54,0.0,1.0,54,54,54,54,,,,,0,27,27,54,82,0.0,1.0,82,3.9674221723039427,17.748170366861,0.04966289495600923,False,49-59,77-87,0.057816158491390574,0.05166008928472624,17,18,17,-0.04732430929303805,0.00826279872650184,k=17:0.365384;k=18:0.355443;k=19:0.15737;k=16:0.0738669;k=20:0.0371293,k=18:0.325313;k=17:0.31806;k=19:0.169674;k=16:0.111122;k=20:0.0478873,k=17:-0.0473243;k=16:0.0372553;k=18:-0.0301307;k=15:0.0134659;k=19:0.0123037,weak,robust_shoulder,68,68,robust_shoulder,none,82,90.77059622621394,240.79373334221222,9.998205985020781e-13,True,robust_shoulder,none,68,85.20218428439622,195.4587323395976,9.999361333084364e-13,True
14,False,stage2_scan,,21,5,1,0.02,0.1,all_ordered_starts,0.0006950661213978558,False,6000.0,0.9999999999990065,9.998676224730855e-13,True,242.76638329874456,robust_shoulder,weak,none,91.6389619633096,45.8194809816548,54,82,81,54,0.0,1.0,54,54,54,54,,,,,0,27,27,54,82,0.0,1.0,82,3.967422172303941,17.748170366860993,0.049662894956009215,False,49-59,77-87,0.0578161584913906,0.05166008928472625,5,4,5,-0.047324309293037936,0.00826279872650185,k=5:0.365384;k=4:0.355443;k=3:0.15737;k=6:0.0738669;k=2:0.0371293,k=4:0.325313;k=5:0.31806;k=3:0.169674;k=6:0.111122;k=2:0.0478873,k=5:-0.0473243;k=6:0.0372553;k=4:-0.0301307;k=7:0.0134659;k=3:0.0123037,weak,robust_shoulder,68,68,robust_shoulder,none,82,90.77059622621391,240.79373334221216,9.998205985020813e-13,True,robust_shoulder,none,68,85.20218428439631,195.45873233959747,9.999361333084368e-13,True
15,False,stage2_scan,,21,17,21,0.02,0.1,all_ordered_starts,0.0006950661213978561,False,6000.0,0.9999999999990062,9.998676224730823e-13,True,242.7663832987444,robust_shoulder,weak,none,91.6389619633096,45.8194809816548,54,82,81,54,0.0,1.0,54,54,54,54,,,,,0,27,27,54,82,0.0,1.0,82,3.967422172303941,17.748170366860993,0.04966289495600923,False,49-59,77-87,0.057816158491390574,0.051660089284726235,17,18,17,-0.04732430929303799,0.008262798726501892,k=17:0.365384;k=18:0.355443;k=19:0.15737;k=16:0.0738669;k=20:0.0371293,k=18:0.325313;k=17:0.31806;k=19:0.169674;k=16:0.111122;k=20:0.0478873,k=17:-0.0473243;k=16:0.0372553;k=18:-0.0301307;k=15:0.0134659;k=19:0.0123037,weak,robust_shoulder,68,68,robust_shoulder,none,82,90.77059622621391,240.79373334221208,9.998205985020801e-13,True,robust_shoulder,none,68,85.20218428439625,195.4587323395976,9.999361333084354e-13,True
16,False,stage2_scan,,21,1,5,0.1,0.02,all_ordered_starts,0.0006950661213978567,False,6000.0,0.9999999999990065,9.998676224730813e-13,True,242.76638329874453,robust_shoulder,weak,none,91.63896196330955,45.81948098165478,54,82,81,54,0.0,1.0,54,54,54,54,,,,,0,27,27,54,82,0.0,1.0,82,3.967422172303941,17.748170366860986,0.04966289495600935,False,49-59,77-87,0.0578161584913906,0.05166008928472625,5,4,5,-0.04732430929303788,0.008262798726501737,k=5:0.365384;k=4:0.355443;k=3:0.15737;k=6:0.0738669;k=2:0.0371293,k=4:0.325313;k=5:0.31806;k=3:0.169674;k=6:0.111122;k=2:0.0478873,k=5:-0.0473243;k=6:0.0372553;k=4:-0.0301307;k=7:0.0134659;k=3:0.0123037,weak,robust_shoulder,68,68,robust_shoulder,none,82,90.77059622621388,240.79373334221208,9.99820598502081e-13,True,robust_shoulder,none,68,85.20218428439627,195.45873233959756,9.999361333084368e-13,True
17,False,stage2_scan,,21,2,6,0.1,0.02,all_ordered_starts,0.001304026411688016,False,6000.0,0.9999999999990085,9.996598673994355e-13,True,333.184972652616,robust_shoulder,weak,none,88.11800665577358,44.05900332788679,58,88,87,58,0.0,1.0,58,58,58,58,,,,,0,29,29,58,88,0.0,1.0,88,3.540680948458794,16.488834330848473,0.049820882864823536,False,52-64,82-94,0.04876136678308348,0.04539313733150392,6,5,6,-0.05980763750051038,0.009837919619303765,k=6:0.352609;k=5:0.344832;k=4:0.16058;k=7:0.0802008;k=3:0.0441553,k=5:0.311489;k=6:0.292801;k=4:0.18025;k=7:0.108803;k=3:0.065307,k=6:-0.0598076;k=5:-0.0333438;k=7:0.0286025;k=3:0.0211516;k=4:0.0196694,weak,robust_shoulder,64,64,robust_shoulder,none,86,87.15620532082893,331.1727667559876,9.997291954305872e-13,True,robust_shoulder,none,90,89.50146742302817,287.12019372623456,9.99538088336128e-13,True
18,False,stage2_scan,,21,20,16,0.1,0.02,all_ordered_starts,0.0013040264116880157,False,6000.0,0.9999999999990076,9.99659867399439e-13,True,333.1849726526158,robust_shoulder,weak,none,88.11800665577354,44.05900332788677,58,88,87,58,0.0,1.0,58,58,58,58,,,,,0,29,29,58,88,0.0,1.0,88,3.5406809484587916,16.488834330848466,0.049820882864823564,False,52-64,82-94,0.04876136678308346,0.04539313733150388,16,17,16,-0.05980763750051027,0.009837919619303807,k=16:0.352609;k=17:0.344832;k=18:0.16058;k=15:0.0802008;k=19:0.0441553,k=17:0.311489;k=16:0.292801;k=18:0.18025;k=15:0.108803;k=19:0.065307,k=16:-0.0598076;k=17:-0.0333438;k=15:0.0286025;k=19:0.0211516;k=18:0.0196694,weak,robust_shoulder,64,64,robust_shoulder,none,86,87.15620532082907,331.17276675598725,9.997291954305858e-13,True,robust_shoulder,none,90,89.50146742302816,287.1201937262345,9.995380883361319e-13,True
19,False,stage2_scan,,21,6,2,0.02,0.1,all_ordered_starts,0.0013040264116880146,False,6000.0,0.9999999999990076,9.996598673994355e-13,True,333.1849726526157,robust_shoulder,weak,none,88.11800665577351,44.05900332788676,58,88,87,58,0.0,1.0,58,58,58,58,,,,,0,29,29,58,88,0.0,1.0,88,3.5406809484587916,16.48883433084846,0.04982088286482356,False,52-64,82-94,0.04876136678308347,0.04539313733150389,6,5,6,-0.059807637500510435,0.009837919619303772,k=6:0.352609;k=5:0.344832;k=4:0.16058;k=7:0.0802008;k=3:0.0441553,k=5:0.311489;k=6:0.292801;k=4:0.18025;k=7:0.108803;k=3:0.065307,k=6:-0.0598076;k=5:-0.0333438;k=7:0.0286025;k=3:0.0211516;k=4:0.0196694,weak,robust_shoulder,64,64,robust_shoulder,none,86,87.15620532082903,331.17276675598725,9.997291954305858e-13,True,robust_shoulder,none,90,89.50146742302817,287.12019372623445,9.99538088336129e-13,True
20,False,stage2_scan,,21,16,20,0.02,0.1,all_ordered_starts,0.0013040264116880146,False,6000.0,0.9999999999990078,9.996598673994365e-13,True,333.1849726526158,robust_shoulder,weak,none,88.11800665577347,44.059003327886735,58,88,87,58,0.0,1.0,58,58,58,58,,,,,0,29,29,58,88,0.0,1.0,88,3.54068094845879,16.48883433084845,0.04982088286482351,False,52-64,82-94,0.04876136678308346,0.04539313733150389,16,17,16,-0.059807637500510435,0.009837919619303782,k=16:0.352609;k=17:0.344832;k=18:0.16058;k=15:0.0802008;k=19:0.0441553,k=17:0.311489;k=16:0.292801;k=18:0.18025;k=15:0.108803;k=19:0.065307,k=16:-0.0598076;k=17:-0.0333438;k=15:0.0286025;k=19:0.0211516;k=18:0.0196694,weak,robust_shoulder,64,64,robust_shoulder,none,86,87.15620532082907,331.17276675598725,9.997291954305846e-13,True,robust_shoulder,none,90,89.50146742302812,287.12019372623445,9.995380883361313e-13,True
