stage2_rank,is_control,source,stage1_rank,N,start_a,start_b,q1,q2,scan_mode,scan_tail_mass,scan_reached_tol,scan_steps,base_mass,base_tail_mass,base_reached_tol,base_mean,stage2_label,final_label,artifact_reason,stage2_score,final_score,t_main,t_late,min_late_t,raw_peaks,raw_late_ratio,raw_late_valley_ratio,smooth7_peaks,smooth11_peaks,smooth21_peaks,smooth31_peaks,smooth7_late_t,smooth11_late_t,smooth21_late_t,smooth31_late_t,smoothing_persistence,f2_peaks_n,f2_main_n,f2_main_t,f2_late_t,f2_peak_late_ratio,f2_peak_late_valley_ratio,f2_shoulder_t,f2_shoulder_excess,f2_shoulder_score,oscillation_index,repeat2_peaks,early_window,late_window,early_window_mass,late_window_mass,top_k_early,top_k_late,top_k_delta,max_delta,jsd_early_late_bits,C_early_top5,C_late_top5,Delta_top5,attribution_label,top_channel_label,top_channel_t_late,top_channel_f2_late_t,crossing_label,crossing_artifact_reason,crossing_t_late,crossing_score,crossing_mean,crossing_tail_mass,crossing_survives,bounce_label,bounce_artifact_reason,bounce_t_late,bounce_score,bounce_mean,bounce_tail_mass,bounce_survives
11,False,stage2_scan,,31,28,31,0.02,0.05,all_ordered_starts,0.0052921997278449475,False,6000.0,0.9999999999868232,1.3165438294634734e-11,False,350.4616530790113,robust_shoulder,robust_shoulder,none,133.27280239440665,133.27280239440665,53,80,80,53,0.0,1.0,53,53,53,53,,,,,0,27,27,54,80,0.0,1.0,80,5.83019868717457,26.2855798511601,0.049688713255218356,False,48-58,75-85,0.05340831193560841,0.0480879223526286,29,29,27,0.03066611243300983,0.0052483603978575166,k=29:0.40122;k=28:0.307159;k=30:0.209577;k=27:0.041403;k=31:0.0380881,k=29:0.372669;k=28:0.289703;k=30:0.213599;k=27:0.0720691;k=31:0.0424573,k=27:0.0306661;k=29:-0.0285512;k=28:-0.0174557;k=26:0.0063587;k=31:0.00436915,same_target_multi_path,robust_shoulder,72,72,robust_shoulder,none,80,132.6170711090929,347.44952456844123,1.2679930130226109e-11,True,robust_shoulder,none,64,122.57793495395357,267.1948085894952,2.38950621840752e-12,True
12,False,stage2_scan,,31,31,28,0.05,0.02,all_ordered_starts,0.005292199727844954,False,6000.0,0.9999999999868232,1.3165438294634747e-11,False,350.4616530790113,robust_shoulder,robust_shoulder,none,133.2728023944066,133.2728023944066,53,80,80,53,0.0,1.0,53,53,53,53,,,,,0,27,27,54,80,0.0,1.0,80,5.83019868717457,26.285579851160094,0.04968871325521841,False,48-58,75-85,0.05340831193560842,0.0480879223526286,29,29,27,0.03066611243300981,0.0052483603978575495,k=29:0.40122;k=28:0.307159;k=30:0.209577;k=27:0.041403;k=31:0.0380881,k=29:0.372669;k=28:0.289703;k=30:0.213599;k=27:0.0720691;k=31:0.0424573,k=27:0.0306661;k=29:-0.0285512;k=28:-0.0174557;k=26:0.0063587;k=31:0.00436915,same_target_multi_path,robust_shoulder,72,72,robust_shoulder,none,80,132.61707110909285,347.44952456844226,1.2679930130226114e-11,True,robust_shoulder,none,64,122.57793495395347,267.1948085894951,2.3895062184075125e-12,True
13,False,stage2_scan,,31,1,6,0.05,0.05,all_ordered_starts,0.026447624694376694,False,6000.0,0.9999999999989629,9.998770147534806e-13,True,837.1493798232841,robust_shoulder,robust_shoulder,none,123.61348444182873,123.61348444182873,91,138,137,91,0.0,1.0,91,91,91,91,,,,,0,46,46,92,138,0.0,1.0,138,4.195637153437053,18.480407117596524,0.049861932864716456,False,82-100,129-147,0.051677924408921626,0.04554864546806994,3,3,3,-0.02695018090651763,0.00639911475645796,k=3:0.263019;k=4:0.245552;k=2:0.185417;k=5:0.15431;k=6:0.0652448,k=3:0.236069;k=4:0.226023;k=2:0.174866;k=5:0.161471;k=6:0.0871726,k=3:-0.0269502;k=6:0.0219278;k=4:-0.019529;k=7:0.0171813;k=2:-0.0105513,same_target_multi_path,robust_shoulder,120,120,robust_shoulder,none,138,123.48567822843295,834.0456620079271,9.99828059705362e-13,True,robust_shoulder,none,118,119.10715324859945,718.5787241667356,9.997684083035162e-13,True
14,False,stage2_scan,,31,6,1,0.05,0.05,all_ordered_starts,0.026447624694376688,False,6000.0,0.9999999999989635,9.998770147534792e-13,True,837.1493798232843,robust_shoulder,robust_shoulder,none,123.61348444182872,123.61348444182872,91,138,137,91,0.0,1.0,91,91,91,91,,,,,0,46,46,92,138,0.0,1.0,138,4.195637153437053,18.48040711759652,0.04986193286471651,False,82-100,129-147,0.05167792440892164,0.045548645468069957,3,3,3,-0.026950180906517684,0.006399114756457953,k=3:0.263019;k=4:0.245552;k=2:0.185417;k=5:0.15431;k=6:0.0652448,k=3:0.236069;k=4:0.226023;k=2:0.174866;k=5:0.161471;k=6:0.0871726,k=3:-0.0269502;k=6:0.0219278;k=4:-0.019529;k=7:0.0171813;k=2:-0.0105513,same_target_multi_path,robust_shoulder,120,120,robust_shoulder,none,138,123.48567822843296,834.045662007927,9.99828059705361e-13,True,robust_shoulder,none,118,119.10715324859949,718.5787241667354,9.997684083035144e-13,True
15,False,stage2_scan,,31,31,26,0.05,0.05,all_ordered_starts,0.026447624694376684,False,6000.0,0.9999999999989632,9.998770147534808e-13,True,837.1493798232842,robust_shoulder,robust_shoulder,none,123.61348444182869,123.61348444182869,91,138,137,91,0.0,1.0,91,91,91,91,,,,,0,46,46,92,138,0.0,1.0,138,4.195637153437053,18.480407117596517,0.049861932864716435,False,82-100,129-147,0.05167792440892165,0.04554864546806994,29,29,29,-0.026950180906517657,0.006399114756457946,k=29:0.263019;k=28:0.245552;k=30:0.185417;k=27:0.15431;k=26:0.0652448,k=29:0.236069;k=28:0.226023;k=30:0.174866;k=27:0.161471;k=26:0.0871726,k=29:-0.0269502;k=26:0.0219278;k=28:-0.019529;k=25:0.0171813;k=30:-0.0105513,same_target_multi_path,robust_shoulder,120,120,robust_shoulder,none,138,123.48567822843304,834.0456620079267,9.99828059705357e-13,True,robust_shoulder,none,118,119.10715324859945,718.5787241667358,9.997684083035144e-13,True
16,False,stage2_scan,,31,26,31,0.05,0.05,all_ordered_starts,0.026447624694376698,False,6000.0,0.9999999999989632,9.998770147534773e-13,True,837.149379823284,robust_shoulder,robust_shoulder,none,123.61348444182862,123.61348444182862,91,138,137,91,0.0,1.0,91,91,91,91,,,,,0,46,46,92,138,0.0,1.0,138,4.195637153437051,18.480407117596506,0.049861932864716484,False,82-100,129-147,0.051677924408921654,0.045548645468069957,29,29,29,-0.02695018090651774,0.0063991147564579735,k=29:0.263019;k=28:0.245552;k=30:0.185417;k=27:0.15431;k=26:0.0652448,k=29:0.236069;k=28:0.226023;k=30:0.174866;k=27:0.161471;k=26:0.0871726,k=29:-0.0269502;k=26:0.0219278;k=28:-0.019529;k=25:0.0171813;k=30:-0.0105513,same_target_multi_path,robust_shoulder,120,120,robust_shoulder,none,138,123.48567822843302,834.0456620079269,9.998280597053542e-13,True,robust_shoulder,none,118,119.10715324859947,718.5787241667356,9.997684083035162e-13,True
17,False,stage2_scan,,31,31,26,0.1,0.02,all_ordered_starts,0.002777669720158435,False,6000.0,0.9999999999990089,9.998064523407589e-13,True,368.1001791479109,robust_shoulder,robust_shoulder,none,121.48243989453637,121.48243989453637,82,124,123,82,0.0,1.0,2;82,2;82,82,82,,,,,0,41,41,82,124,0.0,1.0,124,4.319297351095889,19.212347000689572,0.049847520800459254,False,74-90,116-132,0.06041871127495311,0.05375085945432413,27,27,27,-0.0423033718455999,0.008918246803597742,k=27:0.325499;k=26:0.284216;k=28:0.195307;k=25:0.089317;k=29:0.0714697,k=27:0.283196;k=26:0.248339;k=28:0.195409;k=25:0.117968;k=29:0.0869843,k=27:-0.0423034;k=26:-0.035877;k=25:0.0286512;k=24:0.0194552;k=29:0.0155146,same_target_multi_path,robust_shoulder,104,104,robust_shoulder,none,124,119.7487791072597,365.2070340740434,9.998011643186558e-13,True,robust_shoulder,none,104,113.744175399522,308.10340506731717,9.999516037511636e-13,True
18,False,stage2_scan,,31,6,1,0.02,0.1,all_ordered_starts,0.002777669720158432,False,6000.0,0.9999999999990089,9.998064523407589e-13,True,368.10017914791104,robust_shoulder,robust_shoulder,none,121.48243989453636,121.48243989453636,82,124,123,82,0.0,1.0,2;82,2;82,82,82,,,,,0,41,41,82,124,0.0,1.0,124,4.319297351095887,19.21234700068957,0.049847520800459316,False,74-90,116-132,0.0604187112749531,0.05375085945432413,5,5,5,-0.04230337184559996,0.008918246803597832,k=5:0.325499;k=6:0.284216;k=4:0.195307;k=7:0.089317;k=3:0.0714697,k=5:0.283196;k=6:0.248339;k=4:0.195409;k=7:0.117968;k=3:0.0869843,k=5:-0.0423034;k=6:-0.035877;k=7:0.0286512;k=8:0.0194552;k=3:0.0155146,same_target_multi_path,robust_shoulder,104,104,robust_shoulder,none,124,119.74877910725972,365.2070340740436,9.99801164318657e-13,True,robust_shoulder,none,104,113.74417539952209,308.1034050673172,9.999516037511644e-13,True
19,False,stage2_scan,,31,26,31,0.02,0.1,all_ordered_starts,0.002777669720158434,False,6000.0,0.9999999999990085,9.99806452340759e-13,True,368.1001791479107,robust_shoulder,robust_shoulder,none,121.48243989453636,121.48243989453636,82,124,123,82,0.0,1.0,2;82,2;82,82,82,,,,,0,41,41,82,124,0.0,1.0,124,4.31929735109589,19.21234700068957,0.04984752080045933,False,74-90,116-132,0.06041871127495309,0.05375085945432409,27,27,27,-0.04230337184559996,0.00891824680359781,k=27:0.325499;k=26:0.284216;k=28:0.195307;k=25:0.089317;k=29:0.0714697,k=27:0.283196;k=26:0.248339;k=28:0.195409;k=25:0.117968;k=29:0.0869843,k=27:-0.0423034;k=26:-0.035877;k=25:0.0286512;k=24:0.0194552;k=29:0.0155146,same_target_multi_path,robust_shoulder,104,104,robust_shoulder,none,124,119.74877910725972,365.20703407404346,9.998011643186534e-13,True,robust_shoulder,none,104,113.74417539952209,308.1034050673172,9.999516037511646e-13,True
20,False,stage2_scan,,31,1,6,0.1,0.02,all_ordered_starts,0.002777669720158435,False,6000.0,0.9999999999990087,9.998064523407589e-13,True,368.1001791479109,robust_shoulder,robust_shoulder,none,121.48243989453633,121.48243989453633,82,124,123,82,0.0,1.0,2;82,2;82,82,82,,,,,0,41,41,82,124,0.0,1.0,124,4.319297351095888,19.212347000689565,0.04984752080045922,False,74-90,116-132,0.0604187112749531,0.05375085945432412,5,5,5,-0.0423033718455999,0.008918246803597806,k=5:0.325499;k=6:0.284216;k=4:0.195307;k=7:0.089317;k=3:0.0714697,k=5:0.283196;k=6:0.248339;k=4:0.195409;k=7:0.117968;k=3:0.0869843,k=5:-0.0423034;k=6:-0.035877;k=7:0.0286512;k=8:0.0194552;k=3:0.0155146,same_target_multi_path,robust_shoulder,104,104,robust_shoulder,none,124,119.7487791072597,365.20703407404346,9.998011643186556e-13,True,robust_shoulder,none,104,113.744175399522,308.1034050673171,9.99951603751166e-13,True
