stage2_rank,is_control,source,stage1_rank,N,start_a,start_b,q1,q2,scan_mode,scan_tail_mass,scan_reached_tol,scan_steps,base_mass,base_tail_mass,base_reached_tol,base_mean,stage2_label,final_label,artifact_reason,stage2_score,final_score,t_main,t_late,min_late_t,raw_peaks,raw_late_ratio,raw_late_valley_ratio,smooth7_peaks,smooth11_peaks,smooth21_peaks,smooth31_peaks,smooth7_late_t,smooth11_late_t,smooth21_late_t,smooth31_late_t,smoothing_persistence,f2_peaks_n,f2_main_n,f2_main_t,f2_late_t,f2_peak_late_ratio,f2_peak_late_valley_ratio,f2_shoulder_t,f2_shoulder_excess,f2_shoulder_score,oscillation_index,repeat2_peaks,early_window,late_window,early_window_mass,late_window_mass,top_k_early,top_k_late,top_k_delta,max_delta,jsd_early_late_bits,C_early_top5,C_late_top5,Delta_top5,attribution_label,top_channel_label,top_channel_t_late,top_channel_f2_late_t,crossing_label,crossing_artifact_reason,crossing_t_late,crossing_score,crossing_mean,crossing_tail_mass,crossing_survives,bounce_label,bounce_artifact_reason,bounce_t_late,bounce_score,bounce_mean,bounce_tail_mass,bounce_survives
21,False,stage2_scan,,21,16,21,0.02,0.05,all_ordered_starts,0.013135541784192399,False,6000.0,0.999999999998971,9.99996848499367e-13,True,743.405727294505,robust_shoulder,robust_shoulder,none,118.75234779544137,118.75234779544137,137,206,206,137,0.0,1.0,137,137,137,137,,,,,0,69,69,138,206,0.0,1.0,206,3.3106723539461393,14.653096129786896,0.04994276301782357,False,124-150,193-219,0.05488878043761102,0.04862449309903786,17,17,17,-0.032673451723983754,0.007128410678292391,k=17:0.269135;k=18:0.257328;k=16:0.169184;k=19:0.157989;k=20:0.0618538,k=17:0.236461;k=18:0.231237;k=16:0.168556;k=19:0.158537;k=15:0.0829924,k=17:-0.0326735;k=18:-0.0260907;k=15:0.0237822;k=14:0.0161668;k=20:0.00919645,same_target_multi_path,robust_shoulder,170,170,robust_shoulder,none,204,118.71970276237158,740.8305257009623,9.998768275643707e-13,True,robust_shoulder,none,174,114.0109334114986,627.7838310633429,9.99672202336328e-13,True
22,False,stage2_scan,,21,1,6,0.05,0.02,all_ordered_starts,0.013135541784192397,False,6000.0,0.9999999999989706,9.999968484993627e-13,True,743.4057272945048,robust_shoulder,robust_shoulder,none,118.75234779544124,118.75234779544124,137,206,206,137,0.0,1.0,137,137,137,137,,,,,0,69,69,138,206,0.0,1.0,206,3.3106723539461385,14.653096129786881,0.049942763017823535,False,124-150,193-219,0.054888780437611015,0.04862449309903783,5,5,5,-0.032673451723983976,0.0071284106782923806,k=5:0.269135;k=4:0.257328;k=6:0.169184;k=3:0.157989;k=2:0.0618538,k=5:0.236461;k=4:0.231237;k=6:0.168556;k=3:0.158537;k=7:0.0829924,k=5:-0.0326735;k=4:-0.0260907;k=7:0.0237822;k=8:0.0161668;k=2:0.00919645,same_target_multi_path,robust_shoulder,170,170,robust_shoulder,none,204,118.71970276237157,740.8305257009622,9.998768275643693e-13,True,robust_shoulder,none,174,114.01093341149858,627.7838310633429,9.99672202336332e-13,True
23,False,stage2_scan,,21,21,16,0.05,0.02,all_ordered_starts,0.013135541784192403,False,6000.0,0.9999999999989706,9.999968484993655e-13,True,743.4057272945049,robust_shoulder,robust_shoulder,none,118.75234779544121,118.75234779544121,137,206,206,137,0.0,1.0,137,137,137,137,,,,,0,69,69,138,206,0.0,1.0,206,3.3106723539461385,14.653096129786878,0.04994276301782356,False,124-150,193-219,0.05488878043761101,0.04862449309903782,17,17,17,-0.03267345172398384,0.007128410678292422,k=17:0.269135;k=18:0.257328;k=16:0.169184;k=19:0.157989;k=20:0.0618538,k=17:0.236461;k=18:0.231237;k=16:0.168556;k=19:0.158537;k=15:0.0829924,k=17:-0.0326735;k=18:-0.0260907;k=15:0.0237822;k=14:0.0161668;k=20:0.00919645,same_target_multi_path,robust_shoulder,170,170,robust_shoulder,none,204,118.71970276237148,740.8305257009652,9.998768275643748e-13,True,robust_shoulder,none,174,114.01093341149853,627.7838310633432,9.996722023363284e-13,True
24,False,stage2_scan,,21,6,1,0.02,0.05,all_ordered_starts,0.013135541784192396,False,6000.0,0.9999999999989708,9.999968484993671e-13,True,743.4057272945051,robust_shoulder,robust_shoulder,none,118.75234779544115,118.75234779544115,137,206,206,137,0.0,1.0,137,137,137,137,,,,,0,69,69,138,206,0.0,1.0,206,3.3106723539461367,14.65309612978687,0.04994276301782366,False,124-150,193-219,0.05488878043761102,0.04862449309903783,5,5,5,-0.032673451723984004,0.007128410678292497,k=5:0.269135;k=4:0.257328;k=6:0.169184;k=3:0.157989;k=2:0.0618538,k=5:0.236461;k=4:0.231237;k=6:0.168556;k=3:0.158537;k=7:0.0829924,k=5:-0.0326735;k=4:-0.0260907;k=7:0.0237822;k=8:0.0161668;k=2:0.00919645,same_target_multi_path,robust_shoulder,170,170,robust_shoulder,none,204,118.71970276237148,740.8305257009656,9.998768275643746e-13,True,robust_shoulder,none,174,114.0109334114986,627.7838310633433,9.996722023363314e-13,True
25,False,stage2_scan,,21,1,5,0.05,0.02,all_ordered_starts,0.007703126729713817,False,6000.0,0.9999999999989815,9.997198729800316e-13,True,522.0935508203436,robust_shoulder,robust_shoulder,none,118.64502923729641,118.64502923729641,90,136,135,90,0.0,1.0,90,90,90,90,,,,,0,45,45,90,136,0.0,1.0,136,4.019923964072286,17.92949261428634,0.04987492728217532,False,81-99,127-145,0.05695619553809535,0.05081853604507626,4,4,4,-0.03756419709024228,0.006447101775135754,k=4:0.335122;k=3:0.257083;k=5:0.218927;k=2:0.10869;k=6:0.0539774,k=4:0.297557;k=3:0.244827;k=5:0.21185;k=2:0.117812;k=6:0.082663,k=4:-0.0375642;k=6:0.0286856;k=7:0.0125739;k=3:-0.012256;k=2:0.00912226,same_target_multi_path,robust_shoulder,116,116,robust_shoulder,none,136,118.6090898295652,519.6293213244815,9.996779888265948e-13,True,robust_shoulder,none,114,113.19110853180271,424.45925056451324,9.999714586817945e-13,True
26,False,stage2_scan,,21,5,1,0.02,0.05,all_ordered_starts,0.007703126729713818,False,6000.0,0.9999999999989819,9.997198729800316e-13,True,522.0935508203439,robust_shoulder,robust_shoulder,none,118.64502923729634,118.64502923729634,90,136,135,90,0.0,1.0,90,90,90,90,,,,,0,45,45,90,136,0.0,1.0,136,4.019923964072286,17.92949261428633,0.04987492728217536,False,81-99,127-145,0.056956195538095375,0.05081853604507626,4,4,4,-0.037564197090242335,0.006447101775135838,k=4:0.335122;k=3:0.257083;k=5:0.218927;k=2:0.10869;k=6:0.0539774,k=4:0.297557;k=3:0.244827;k=5:0.21185;k=2:0.117812;k=6:0.082663,k=4:-0.0375642;k=6:0.0286856;k=7:0.0125739;k=3:-0.012256;k=2:0.00912226,same_target_multi_path,robust_shoulder,116,116,robust_shoulder,none,136,118.6090898295651,519.629321324483,9.996779888265924e-13,True,robust_shoulder,none,114,113.19110853180275,424.45925056451335,9.99971458681795e-13,True
27,False,stage2_scan,,21,17,21,0.02,0.05,all_ordered_starts,0.007703126729713819,False,6000.0,0.9999999999989815,9.997198729800272e-13,True,522.0935508203435,robust_shoulder,robust_shoulder,none,118.6450292372963,118.6450292372963,90,136,135,90,0.0,1.0,90,90,90,90,,,,,0,45,45,90,136,0.0,1.0,136,4.019923964072283,17.92949261428632,0.04987492728217538,False,81-99,127-145,0.05695619553809534,0.050818536045076246,18,18,18,-0.03756419709024228,0.006447101775135834,k=18:0.335122;k=19:0.257083;k=17:0.218927;k=20:0.10869;k=16:0.0539774,k=18:0.297557;k=19:0.244827;k=17:0.21185;k=20:0.117812;k=16:0.082663,k=18:-0.0375642;k=16:0.0286856;k=15:0.0125739;k=19:-0.012256;k=20:0.00912226,same_target_multi_path,robust_shoulder,116,116,robust_shoulder,none,136,118.60908982956506,519.6293213244809,9.996779888265983e-13,True,robust_shoulder,none,114,113.1911085318026,424.45925056451347,9.999714586818006e-13,True
28,False,stage2_scan,,21,21,17,0.05,0.02,all_ordered_starts,0.007703126729713825,False,6000.0,0.9999999999989821,9.997198729800302e-13,True,522.0935508203438,robust_shoulder,robust_shoulder,none,118.6450292372963,118.6450292372963,90,136,135,90,0.0,1.0,90,90,90,90,,,,,0,45,45,90,136,0.0,1.0,136,4.019923964072284,17.92949261428632,0.049874927282175366,False,81-99,127-145,0.05695619553809537,0.050818536045076274,18,18,18,-0.037564197090242446,0.006447101775135845,k=18:0.335122;k=19:0.257083;k=17:0.218927;k=20:0.10869;k=16:0.0539774,k=18:0.297557;k=19:0.244827;k=17:0.21185;k=20:0.117812;k=16:0.082663,k=18:-0.0375642;k=16:0.0286856;k=15:0.0125739;k=19:-0.012256;k=20:0.00912226,same_target_multi_path,robust_shoulder,116,116,robust_shoulder,none,136,118.60908982956497,519.6293213244826,9.996779888265989e-13,True,robust_shoulder,none,114,113.19110853180267,424.4592505645138,9.999714586818065e-13,True
29,False,stage2_scan,,31,27,31,0.05,0.05,all_ordered_starts,0.017824927989496017,False,6000.0,0.9999999999989718,9.998825691553428e-13,True,610.9372497087777,robust_shoulder,robust_shoulder,none,117.65795753739292,117.65795753739292,60,90,90,60,0.0,1.0,60,60,60,60,,,,,0,30,30,60,90,0.0,1.0,90,4.917206933088677,22.015134714092717,0.049701718745442526,False,54-66,84-96,0.05213935082565325,0.0466571150235581,29,29,29,-0.027211909919509336,0.004894316193107532,k=29:0.318119;k=30:0.260595;k=28:0.2207;k=31:0.0933491;k=27:0.0861751,k=29:0.290907;k=30:0.244509;k=28:0.218989;k=27:0.107907;k=31:0.093215,k=29:-0.0272119;k=27:0.0217314;k=26:0.0167519;k=30:-0.0160863;k=25:0.0054781,same_target_multi_path,robust_shoulder,80,80,robust_shoulder,none,90,117.52951958539217,608.1359607367226,9.998434295728966e-13,True,robust_shoulder,none,76,113.89012902562773,507.21662337917036,9.99968689070703e-13,True
30,False,stage2_scan,,31,31,27,0.05,0.05,all_ordered_starts,0.01782492798949602,False,6000.0,0.9999999999989719,9.99882569155344e-13,True,610.9372497087777,robust_shoulder,robust_shoulder,none,117.65795753739289,117.65795753739289,60,90,90,60,0.0,1.0,60,60,60,60,,,,,0,30,30,60,90,0.0,1.0,90,4.917206933088677,22.015134714092714,0.049701718745442505,False,54-66,84-96,0.05213935082565326,0.046657115023558106,29,29,29,-0.02721190991950928,0.004894316193107562,k=29:0.318119;k=30:0.260595;k=28:0.2207;k=31:0.0933491;k=27:0.0861751,k=29:0.290907;k=30:0.244509;k=28:0.218989;k=27:0.107907;k=31:0.093215,k=29:-0.0272119;k=27:0.0217314;k=26:0.0167519;k=30:-0.0160863;k=25:0.0054781,same_target_multi_path,robust_shoulder,80,80,robust_shoulder,none,90,117.52951958539221,608.1359607367231,9.998434295728974e-13,True,robust_shoulder,none,76,113.89012902562777,507.21662337917036,9.999686890707016e-13,True
31,False,stage2_scan,,31,1,5,0.05,0.05,all_ordered_starts,0.01782492798949601,False,6000.0,0.9999999999989719,9.998825691553428e-13,True,610.9372497087777,robust_shoulder,robust_shoulder,none,117.65795753739286,117.65795753739286,60,90,90,60,0.0,1.0,60,60,60,60,,,,,0,30,30,60,90,0.0,1.0,90,4.917206933088676,22.015134714092707,0.04970171874544256,False,54-66,84-96,0.052139350825653255,0.0466571150235581,3,3,3,-0.02721190991950928,0.004894316193107578,k=3:0.318119;k=2:0.260595;k=4:0.2207;k=1:0.0933491;k=5:0.0861751,k=3:0.290907;k=2:0.244509;k=4:0.218989;k=5:0.107907;k=1:0.093215,k=3:-0.0272119;k=5:0.0217314;k=6:0.0167519;k=2:-0.0160863;k=7:0.0054781,same_target_multi_path,robust_shoulder,80,80,robust_shoulder,none,90,117.5295195853922,608.1359607367226,9.998434295728964e-13,True,robust_shoulder,none,76,113.89012902562776,507.21662337917036,9.999686890706985e-13,True
32,False,stage2_scan,,31,5,1,0.05,0.05,all_ordered_starts,0.017824927989496024,False,6000.0,0.9999999999989719,9.998825691553448e-13,True,610.9372497087777,robust_shoulder,robust_shoulder,none,117.65795753739282,117.65795753739282,60,90,90,60,0.0,1.0,60,60,60,60,,,,,0,30,30,60,90,0.0,1.0,90,4.917206933088676,22.0151347140927,0.04970171874544246,False,54-66,84-96,0.05213935082565327,0.0466571150235581,3,3,3,-0.027211909919509336,0.004894316193107651,k=3:0.318119;k=2:0.260595;k=4:0.2207;k=1:0.0933491;k=5:0.0861751,k=3:0.290907;k=2:0.244509;k=4:0.218989;k=5:0.107907;k=1:0.093215,k=3:-0.0272119;k=5:0.0217314;k=6:0.0167519;k=2:-0.0160863;k=7:0.0054781,same_target_multi_path,robust_shoulder,80,80,robust_shoulder,none,90,117.5295195853923,608.1359607367223,9.998434295728974e-13,True,robust_shoulder,none,76,113.89012902562776,507.21662337917013,9.999686890707042e-13,True
33,False,stage2_scan,,31,8,1,0.05,0.1,all_ordered_starts,0.01361393736547264,False,6000.0,0.9999999999989905,9.99830053662058e-13,True,714.0437635133001,robust_shoulder,robust_shoulder,none,115.98530501930252,115.98530501930252,119,180,179,119,0.0,1.0,119,3;119,4;119,119,,,,,0,60,60,120,180,0.0,1.0,180,3.4791876217549564,15.221041163793773,0.049917130393335125,False,107-131,168-192,0.058557654224613315,0.05129040311851643,6,6,6,-0.025778036530840653,0.008123245089230076,k=6:0.197947;k=5:0.193103;k=7:0.158056;k=4:0.147746;k=8:0.0976999,k=6:0.172169;k=5:0.169029;k=7:0.147425;k=4:0.138445;k=8:0.106332,k=6:-0.025778;k=5:-0.0240738;k=9:0.0179515;k=10:0.0158383;k=7:-0.0106313,same_target_multi_path,robust_shoulder,146,146,robust_shoulder,none,178,115.96915089654587,710.0158778956213,9.997315244946182e-13,True,robust_shoulder,none,158,112.34770917563392,632.5047618279293,9.996921921023604e-13,True
34,False,stage2_scan,,31,31,24,0.1,0.05,all_ordered_starts,0.013613937365472648,False,6000.0,0.999999999998991,9.998300536620613e-13,True,714.0437635133003,robust_shoulder,robust_shoulder,none,115.9853050193025,115.9853050193025,119,180,179,119,0.0,1.0,119,3;119,4;119,119,,,,,0,60,60,120,180,0.0,1.0,180,3.4791876217549564,15.221041163793771,0.04991713039333515,False,107-131,168-192,0.058557654224613356,0.051290403118516466,26,26,26,-0.02577803653084057,0.008123245089230142,k=26:0.197947;k=27:0.193103;k=25:0.158056;k=28:0.147746;k=24:0.0976999,k=26:0.172169;k=27:0.169029;k=25:0.147425;k=28:0.138445;k=24:0.106332,k=26:-0.025778;k=27:-0.0240738;k=23:0.0179515;k=22:0.0158383;k=25:-0.0106313,same_target_multi_path,robust_shoulder,146,146,robust_shoulder,none,178,115.96915089654595,710.015877895622,9.997315244946224e-13,True,robust_shoulder,none,158,112.34770917563398,632.5047618279299,9.996921921023629e-13,True
35,False,stage2_scan,,31,1,8,0.1,0.05,all_ordered_starts,0.013613937365472652,False,6000.0,0.9999999999989904,9.998300536620607e-13,True,714.0437635133001,robust_shoulder,robust_shoulder,none,115.98530501930249,115.98530501930249,119,180,179,119,0.0,1.0,119,3;119,4;119,119,,,,,0,60,60,120,180,0.0,1.0,180,3.4791876217549556,15.22104116379377,0.04991713039333521,False,107-131,168-192,0.058557654224613315,0.05129040311851643,6,6,6,-0.025778036530840626,0.00812324508923015,k=6:0.197947;k=5:0.193103;k=7:0.158056;k=4:0.147746;k=8:0.0976999,k=6:0.172169;k=5:0.169029;k=7:0.147425;k=4:0.138445;k=8:0.106332,k=6:-0.025778;k=5:-0.0240738;k=9:0.0179515;k=10:0.0158383;k=7:-0.0106313,same_target_multi_path,robust_shoulder,146,146,robust_shoulder,none,178,115.96915089654593,710.0158778956218,9.9973152449462e-13,True,robust_shoulder,none,158,112.34770917563397,632.5047618279295,9.996921921023604e-13,True
36,False,stage2_scan,,31,24,31,0.05,0.1,all_ordered_starts,0.013613937365472652,False,6000.0,0.9999999999989908,9.998300536620609e-13,True,714.0437635133003,robust_shoulder,robust_shoulder,none,115.98530501930237,115.98530501930237,119,180,179,119,0.0,1.0,119,3;119,4;119,119,,,,,0,60,60,120,180,0.0,1.0,180,3.479187621754953,15.221041163793751,0.049917130393335174,False,107-131,168-192,0.05855765422461334,0.05129040311851646,26,26,26,-0.025778036530840542,0.008123245089230041,k=26:0.197947;k=27:0.193103;k=25:0.158056;k=28:0.147746;k=24:0.0976999,k=26:0.172169;k=27:0.169029;k=25:0.147425;k=28:0.138445;k=24:0.106332,k=26:-0.025778;k=27:-0.0240738;k=23:0.0179515;k=22:0.0158383;k=25:-0.0106313,same_target_multi_path,robust_shoulder,146,146,robust_shoulder,none,178,115.969150896546,710.0158778956209,9.997315244946202e-13,True,robust_shoulder,none,158,112.34770917563392,632.5047618279298,9.996921921023635e-13,True
37,False,stage2_scan,,31,1,7,0.1,0.05,all_ordered_starts,0.009614767715316535,False,6000.0,0.9999999999989926,9.997950461004456e-13,True,560.393875512691,robust_shoulder,robust_shoulder,none,115.28116264432639,115.28116264432639,89,134,134,89,0.0,1.0,2;89,2;89,89,89,,,,,0,45,45,90,134,0.0,1.0,134,3.9986152621988182,17.613475954741872,0.049854216497140266,False,80-98,125-143,0.058920172618596556,0.05193385515416739,5,5,5,-0.030055160760940974,0.007564831692824816,k=5:0.23164;k=4:0.200498;k=6:0.193303;k=3:0.126638;k=7:0.114555,k=5:0.201585;k=4:0.181511;k=6:0.177051;k=3:0.126845;k=7:0.123291,k=5:-0.0300552;k=8:0.0202553;k=4:-0.0189872;k=6:-0.0162523;k=9:0.0156795,same_target_multi_path,robust_shoulder,110,110,robust_shoulder,none,134,115.20083574104328,556.5202144583732,9.998713894924376e-13,True,robust_shoulder,none,116,111.60210572361362,487.26120636661415,9.997675544949157e-13,True
38,False,stage2_scan,,31,7,1,0.05,0.1,all_ordered_starts,0.009614767715316523,False,6000.0,0.9999999999989928,9.997950461004464e-13,True,560.393875512691,robust_shoulder,robust_shoulder,none,115.28116264432636,115.28116264432636,89,134,134,89,0.0,1.0,2;89,2;89,89,89,,,,,0,45,45,90,134,0.0,1.0,134,3.9986152621988174,17.61347595474187,0.049854216497140204,False,80-98,125-143,0.058920172618596556,0.051933855154167374,5,5,5,-0.030055160760940947,0.007564831692824844,k=5:0.23164;k=4:0.200498;k=6:0.193303;k=3:0.126638;k=7:0.114555,k=5:0.201585;k=4:0.181511;k=6:0.177051;k=3:0.126845;k=7:0.123291,k=5:-0.0300552;k=8:0.0202553;k=4:-0.0189872;k=6:-0.0162523;k=9:0.0156795,same_target_multi_path,robust_shoulder,110,110,robust_shoulder,none,134,115.2008357410432,556.5202144583734,9.998713894924417e-13,True,robust_shoulder,none,116,111.6021057236136,487.26120636661403,9.99767554494919e-13,True
39,False,stage2_scan,,31,31,25,0.1,0.05,all_ordered_starts,0.009614767715316531,False,6000.0,0.9999999999989924,9.997950461004477e-13,True,560.3938755126908,robust_shoulder,robust_shoulder,none,115.28116264432629,115.28116264432629,89,134,134,89,0.0,1.0,2;89,2;89,89,89,,,,,0,45,45,90,134,0.0,1.0,134,3.9986152621988174,17.613475954741862,0.04985421649714029,False,80-98,125-143,0.058920172618596535,0.051933855154167353,27,27,27,-0.03005516076094089,0.0075648316928248706,k=27:0.23164;k=28:0.200498;k=26:0.193303;k=29:0.126638;k=25:0.114555,k=27:0.201585;k=28:0.181511;k=26:0.177051;k=29:0.126845;k=25:0.123291,k=27:-0.0300552;k=24:0.0202553;k=28:-0.0189872;k=26:-0.0162523;k=23:0.0156795,same_target_multi_path,robust_shoulder,110,110,robust_shoulder,none,134,115.20083574104318,556.5202144583736,9.998713894924409e-13,True,robust_shoulder,none,116,111.6021057236136,487.2612063666139,9.997675544949193e-13,True
40,False,stage2_scan,,31,25,31,0.05,0.1,all_ordered_starts,0.009614767715316531,False,6000.0,0.9999999999989926,9.997950461004497e-13,True,560.3938755126908,robust_shoulder,robust_shoulder,none,115.28116264432627,115.28116264432627,89,134,134,89,0.0,1.0,2;89,2;89,89,89,,,,,0,45,45,90,134,0.0,1.0,134,3.9986152621988174,17.613475954741855,0.04985421649714026,False,80-98,125-143,0.05892017261859656,0.05193385515416737,27,27,27,-0.030055160760940947,0.007564831692824867,k=27:0.23164;k=28:0.200498;k=26:0.193303;k=29:0.126638;k=25:0.114555,k=27:0.201585;k=28:0.181511;k=26:0.177051;k=29:0.126845;k=25:0.123291,k=27:-0.0300552;k=24:0.0202553;k=28:-0.0189872;k=26:-0.0162523;k=23:0.0156795,same_target_multi_path,robust_shoulder,110,110,robust_shoulder,none,134,115.20083574104328,556.5202144583728,9.998713894924372e-13,True,robust_shoulder,none,116,111.60210572361366,487.2612063666141,9.997675544949187e-13,True
41,False,stage2_scan,,31,8,2,0.05,0.1,all_ordered_starts,0.01312498165848849,False,6000.0,0.9999999999989916,9.996679037197251e-13,True,688.681160216569,robust_shoulder,robust_shoulder,none,113.39699139161978,113.39699139161978,103,156,155,103,0.0,1.0,2;103,2;103,103,103,,,,,0,52,52,104,156,0.0,1.0,156,3.5474742790879077,15.96502304604857,0.049915447205047,False,93-113,146-166,0.05032879484527476,0.045310917797487964,6,6,6,-0.030192894556077154,0.007491578981395258,k=6:0.208983;k=5:0.190371;k=7:0.174384;k=4:0.133944;k=8:0.109041,k=6:0.178791;k=5:0.171188;k=7:0.154395;k=4:0.135151;k=8:0.110115,k=6:-0.0301929;k=7:-0.019989;k=5:-0.0191828;k=9:0.0140071;k=10:0.0137624,same_target_multi_path,robust_shoulder,114,114,robust_shoulder,none,156,113.36742134678329,684.634307964566,9.999786834176989e-13,True,robust_shoulder,none,148,111.31602630396489,619.6780734530741,9.998600633240502e-13,True
42,False,stage2_scan,,31,2,8,0.1,0.05,all_ordered_starts,0.013124981658488502,False,6000.0,0.9999999999989917,9.996679037197263e-13,True,688.681160216569,robust_shoulder,robust_shoulder,none,113.39699139161976,113.39699139161976,103,156,155,103,0.0,1.0,2;103,2;103,103,103,,,,,0,52,52,104,156,0.0,1.0,156,3.5474742790879077,15.965023046048566,0.049915447205047,False,93-113,146-166,0.05032879484527477,0.045310917797487964,6,6,6,-0.030192894556077154,0.007491578981395206,k=6:0.208983;k=5:0.190371;k=7:0.174384;k=4:0.133944;k=8:0.109041,k=6:0.178791;k=5:0.171188;k=7:0.154395;k=4:0.135151;k=8:0.110115,k=6:-0.0301929;k=7:-0.019989;k=5:-0.0191828;k=9:0.0140071;k=10:0.0137624,same_target_multi_path,robust_shoulder,114,114,robust_shoulder,none,156,113.36742134678329,684.6343079645658,9.999786834177025e-13,True,robust_shoulder,none,148,111.31602630396495,619.6780734530748,9.998600633240536e-13,True
43,False,stage2_scan,,31,30,24,0.1,0.05,all_ordered_starts,0.013124981658488499,False,6000.0,0.9999999999989917,9.996679037197294e-13,True,688.681160216569,robust_shoulder,robust_shoulder,none,113.39699139161976,113.39699139161976,103,156,155,103,0.0,1.0,2;103,2;103,103,103,,,,,0,52,52,104,156,0.0,1.0,156,3.5474742790879077,15.965023046048568,0.04991544720504703,False,93-113,146-166,0.05032879484527474,0.04531091779748794,26,26,26,-0.0301928945560771,0.007491578981395234,k=26:0.208983;k=27:0.190371;k=25:0.174384;k=28:0.133944;k=24:0.109041,k=26:0.178791;k=27:0.171188;k=25:0.154395;k=28:0.135151;k=24:0.110115,k=26:-0.0301929;k=25:-0.019989;k=27:-0.0191828;k=23:0.0140071;k=22:0.0137624,same_target_multi_path,robust_shoulder,114,114,robust_shoulder,none,156,113.36742134678339,684.634307964566,9.99978683417705e-13,True,robust_shoulder,none,148,111.31602630396489,619.6780734530738,9.998600633240504e-13,True
44,False,stage2_scan,,31,24,30,0.05,0.1,all_ordered_starts,0.013124981658488497,False,6000.0,0.9999999999989915,9.996679037197285e-13,True,688.6811602165692,robust_shoulder,robust_shoulder,none,113.39699139161971,113.39699139161971,103,156,155,103,0.0,1.0,2;103,2;103,103,103,,,,,0,52,52,104,156,0.0,1.0,156,3.547474279087907,15.96502304604856,0.049915447205047,False,93-113,146-166,0.05032879484527474,0.04531091779748792,26,26,26,-0.03019289455607707,0.00749157898139524,k=26:0.208983;k=27:0.190371;k=25:0.174384;k=28:0.133944;k=24:0.109041,k=26:0.178791;k=27:0.171188;k=25:0.154395;k=28:0.135151;k=24:0.110115,k=26:-0.0301929;k=25:-0.019989;k=27:-0.0191828;k=23:0.0140071;k=22:0.0137624,same_target_multi_path,robust_shoulder,114,114,robust_shoulder,none,156,113.3674213467833,684.634307964565,9.999786834176987e-13,True,robust_shoulder,none,148,111.31602630396488,619.6780734530744,9.998600633240502e-13,True
45,False,stage2_scan,,31,31,26,0.1,0.05,all_ordered_starts,0.006380205040332473,False,6000.0,0.9999999999989942,9.997782551196904e-13,True,419.67799021749613,robust_shoulder,robust_shoulder,none,113.18482851998971,113.18482851998971,63,96,95,63,0.0,1.0,63,63,63,63,,,,,0,32,32,64,96,0.0,1.0,96,4.578619755227103,20.192716697202297,0.04971510029520365,False,57-69,90-102,0.05586135921618912,0.049243864629060496,28,28,28,-0.03158968010093788,0.007423934700066683,k=28:0.265951;k=27:0.243935;k=29:0.188211;k=26:0.139171;k=30:0.0856566,k=28:0.234361;k=27:0.2188;k=29:0.180336;k=26:0.147331;k=30:0.093168,k=28:-0.0315897;k=27:-0.025135;k=25:0.0238857;k=24:0.0150103;k=26:0.00815997,same_target_multi_path,robust_shoulder,82,82,robust_shoulder,none,96,113.04210666986779,416.00575994669055,9.99871135647522e-13,True,robust_shoulder,none,82,108.01178593082243,355.651168822955,9.997854045429683e-13,True
46,False,stage2_scan,,31,6,1,0.05,0.1,all_ordered_starts,0.006380205040332469,False,6000.0,0.9999999999989938,9.997782551196874e-13,True,419.6779902174959,robust_shoulder,robust_shoulder,none,113.18482851998971,113.18482851998971,63,96,95,63,0.0,1.0,63,63,63,63,,,,,0,32,32,64,96,0.0,1.0,96,4.578619755227103,20.192716697202297,0.04971510029520365,False,57-69,90-102,0.05586135921618912,0.049243864629060496,4,4,4,-0.03158968010093785,0.007423934700066628,k=4:0.265951;k=5:0.243935;k=3:0.188211;k=6:0.139171;k=2:0.0856566,k=4:0.234361;k=5:0.2188;k=3:0.180336;k=6:0.147331;k=2:0.093168,k=4:-0.0315897;k=5:-0.025135;k=7:0.0238857;k=8:0.0150103;k=6:0.00815997,same_target_multi_path,robust_shoulder,82,82,robust_shoulder,none,96,113.04210666986774,416.00575994669043,9.998711356475213e-13,True,robust_shoulder,none,82,108.01178593082243,355.651168822955,9.99785404542968e-13,True
47,False,stage2_scan,,31,1,6,0.1,0.05,all_ordered_starts,0.006380205040332475,False,6000.0,0.9999999999989941,9.99778255119689e-13,True,419.6779902174961,robust_shoulder,robust_shoulder,none,113.18482851998971,113.18482851998971,63,96,95,63,0.0,1.0,63,63,63,63,,,,,0,32,32,64,96,0.0,1.0,96,4.578619755227103,20.192716697202297,0.049715100295203686,False,57-69,90-102,0.05586135921618912,0.049243864629060496,4,4,4,-0.031589680100937906,0.007423934700066609,k=4:0.265951;k=5:0.243935;k=3:0.188211;k=6:0.139171;k=2:0.0856566,k=4:0.234361;k=5:0.2188;k=3:0.180336;k=6:0.147331;k=2:0.093168,k=4:-0.0315897;k=5:-0.025135;k=7:0.0238857;k=8:0.0150103;k=6:0.00815997,same_target_multi_path,robust_shoulder,82,82,robust_shoulder,none,96,113.0421066698678,416.00575994669043,9.99871135647522e-13,True,robust_shoulder,none,82,108.01178593082231,355.65116882295524,9.997854045429675e-13,True
