scan_id,description,N,start_a,start_b,r,q1,q2,mean,extremum_kind,near_extremum,sum_k_p_tau,p_tau_mean_abs_error,top_p_tau,p_k01,tau_k01,p_tau_k01,p_k02,tau_k02,p_tau_k02,p_k03,tau_k03,p_tau_k03,p_k04,tau_k04,p_tau_k04,p_k05,tau_k05,p_tau_k05,p_k06,tau_k06,p_tau_k06,p_k07,tau_k07,p_tau_k07,p_k08,tau_k08,p_tau_k08,p_k09,tau_k09,p_tau_k09,p_k10,tau_k10,p_tau_k10,p_k11,tau_k11,p_tau_k11,p_k12,tau_k12,p_tau_k12,p_k13,tau_k13,p_tau_k13,p_k14,tau_k14,p_tau_k14,p_k15,tau_k15,p_tau_k15
A_fixed_q2_start_5_1,"start=(5,1), q2=0.5, r=q1/q2",15,5,1,0.01,0.005,0.5,40.55429431625041,,False,40.55429431625041,0.0,k=5:30.3092;k=6:5.18637;k=4:3.69797;k=7:0.903307;k=3:0.204789,9.846187107630022e-06,615.6223017105646,0.00606153237027208,8.812255020657086e-05,165.44560049529483,0.014579488236102884,0.0033978565491264694,60.27008063539066,0.20478908820334257,0.07957318335486276,46.472527863588596,3.6979669806533035,0.839620752720393,36.09862606008466,30.30915558474028,0.0692381224692025,74.90634944522978,5.186374996609698,0.006994856131727713,129.138765220684,0.903307083747647,0.0009006425076499744,197.65343045206103,0.17801508124796406,0.00014228794922311895,280.261413363699,0.03987782175389355,2.6633562217082948e-05,377.14683792452325,0.010044763772838888,5.748738375107923e-06,488.6078231551391,0.0028088785433498936,1.4013014765055337e-06,615.0638130220296,0.0008618898293328936,3.805487426780288e-07,758.6815184475706,0.0002887152979382807,1.1716722292638924e-07,928.9037047391906,0.0001088370674503256,4.826246554568833e-08,1110.0588498252364,5.357417699337688e-05
A_fixed_q2_start_5_1,"start=(5,1), q2=0.5, r=q1/q2",15,5,1,0.010693674532045025,0.005346837266022512,0.5,40.59301396180835,,False,40.59301396180837,1.4210854715202004e-14,k=5:29.8305;k=6:5.38329;k=4:3.87322;k=7:0.985723;k=3:0.227726,1.1510587330282374e-05,600.4169217304755,0.006911151412157954,0.00010401570020969944,158.40030552642358,0.016476118692761273,0.0038173847529544627,59.65503249289683,0.2277262114753874,0.08389704502367282,46.166298952841345,3.8732160618228697,0.8307673161343297,35.90712149260266,29.830462952518822,0.07243723120194473,74.31662884196425,5.383290825574478,0.0077075909405340546,127.88990615229949,0.985723082045214,0.0010417589340936998,195.43642485493086,0.20359764163995622,0.00017224234091679287,276.71673996985015,0.04766233906327045,3.364630944343146e-05,371.8772616829177,0.012512297421559387,7.559625624664748e-06,481.20193112212803,0.003637706449149,1.913805733631528e-06,605.154606823789,0.0011581483562729004,5.38963482449314e-07,746.1227729126157,0.00040213292802372203,1.7223256086892954e-07,913.4977457963765,0.00015733405610650434,7.344716890445557e-08,1088.6512513873377,7.995835233869271e-05
A_fixed_q2_start_5_1,"start=(5,1), q2=0.5, r=q1/q2",15,5,1,0.01143546749973084,0.00571773374986542,0.5,40.63445140513156,,False,40.63445140513145,1.0658141036401503e-13,k=5:29.3379;k=6:5.57982;k=4:4.05242;k=7:1.07335;k=3:0.252966,1.3422496525609919e-05,585.0893220555668,0.007853359392462308,0.00012271966400473884,151.63255675836317,0.01860829641756582,0.004284685727802822,59.0394726641967,0.2529655859012885,0.0883865198424179,45.84880142827263,4.052415997191097,0.8215496371871006,35.7103977684998,29.33786433051806,0.07569971039297638,73.70989230702105,5.5798175007389705,0.00847767159796346,126.60936847271735,1.0733526471372463,0.001201898026419179,193.17293482979892,0.232174169129536,0.00020779920267848396,273.11348388049356,0.05675276419110954,4.23264826610653e-05,366.54243509954273,0.015514452023785447,9.890633509174303e-06,473.7338984077826,0.00468552837002379,2.5983451292577342e-06,595.2071931410086,0.001546553711197107,7.582531060981555e-07,733.5781389474571,0.0005562379024226136,2.513284561057729e-07,898.0872203722469,0.00022571487454448182,1.1081924621128873e-07,1067.2120248584672,0.00011826763214243846
A_fixed_q2_start_5_1,"start=(5,1), q2=0.5, r=q1/q2",15,5,1,0.01222871675639002,0.00611435837819501,0.5,40.678798480673876,,False,40.678798480673876,0.0,k=5:28.8319;k=6:5.77517;k=4:4.23519;k=7:1.16621;k=3:0.280692,1.5614052772464953e-05,569.6418359630155,0.008894417688130348,0.0001447170437522733,145.14654913936963,0.021005179502293643,0.004804470512974179,58.42307069524443,0.2806919204327077,0.09304014286460194,45.52003623040886,4.235190674079097,0.8119657920577928,35.50875304198217,28.83189278871761,0.07901801598402382,73.08674015799947,5.775169202024998,0.009307420417092878,125.29855652310474,1.166206343215411,0.0013830081200847614,190.86580026731696,0.26396895161617556,0.0002498315309575176,269.4566147782515,0.06731875859668063,5.3017436515341435e-05,361.1501941580868,0.019147257491279598,1.2873870118043003e-05,466.215423339394,0.006001996807099793,3.506680280118973e-06,585.2384422774505,0.0020522441047018817,1.0596151276077812e-06,721.0671967592768,0.0007640537097078661,3.6404722940984985e-07,882.685315379242,0.00032133914350457256,1.6576667609132325e-07,1045.7683568914981,0.00017335354448338829
A_fixed_q2_start_5_1,"start=(5,1), q2=0.5, r=q1/q2",15,5,1,0.013076991693740022,0.006538495846870011,0.5,40.726260539322645,,False,40.72626053932261,3.552713678800501e-14,k=5:28.3132;k=6:5.96853;k=4:4.42111;k=7:1.26425;k=3:0.311097,1.8121295901319247e-05,554.0760740835287,0.010040576490308909,0.0001705687711606823,138.9442185243765,0.02369954461358421,0.005381787431493419,57.80546462650542,0.3110967229985643,0.0978554518473502,45.180049895006945,4.421114196961732,0.8020152519701038,35.30253627215867,28.313172523499063,0.0823837348029271,72.44787868104267,5.968526824293655,0.010198919983614132,123.95905308234069,1.2642484636313693,0.0015871233658795935,188.51810471510007,0.2992014888846713,0.00029930834063612784,265.7513836582066,0.0795416056644928,6.611871287186665e-05,355.7086727824069,0.02351899960173273,1.666952213256029e-05,458.6585253311054,0.0076456184392943265,4.703995385109447e-06,575.2654056923642,0.0027060458135899947,1.4707479896482257e-06,708.6088252518459,0.0010421850051861433,5.234064232818659e-07,867.3044093280814,0.00045395269878300247,2.458061315560621e-07,1024.3468093745505,0.0002517907265841532
A_fixed_q2_start_5_1,"start=(5,1), q2=0.5, r=q1/q2",15,5,1,0.0139841093031112,0.0069920546515556,0.5,40.77705733850805,,False,40.777057338508044,7.105427357601002e-15,k=5:27.7824;k=6:6.15905;k=4:4.60971;k=7:1.36739;k=3:0.344377,2.098473795750131e-05,538.3931774421976,0.011298039746731024,0.00020092548540591242,133.02536351183724,0.02672818573491385,0.0060220244586859815,57.18627233349828,0.3443771306934041,0.10282891218169557,44.82893761445394,4.6097108891553935,0.7916989841851628,35.09214874192172,27.782418511854065,0.08578759583686378,71.79412124201589,6.159045056572856,0.01115396046235046,122.59261618214029,1.3673931938716979,0.0018163466844786215,186.13316306364953,0.3380823536021784,0.00035729672138824846,262.0032985493461,0.09361291956458778,8.209160073977544e-05,350.2262687257074,0.028750635020812074,2.1470237848413876e-05,451.07549792270333,0.00968469822799216,6.271674872531757e-06,565.3052114811001,0.003545410490157266,2.0275213040407265e-06,696.2210384988217,0.0014116029878777198,7.46903382805327e-07,851.9560824800028,0.0006363288800058883,3.61307863775415e-07,1002.9732029355159,0.00036238210537661706
A_fixed_q2_start_5_1,"start=(5,1), q2=0.5, r=q1/q2",15,5,1,0.014954151350801415,0.007477075675400707,0.5,40.83142395887031,,False,40.83142395887035,4.263256414560601e-14,k=5:27.2404;k=6:6.34586;k=4:4.80046;k=7:1.4755;k=8:0.380809,2.4250051242928473e-05,522.5941431935574,0.012672934751698069,0.00023654021876982494,127.38779827602194,0.030132337672816558,0.006730907370487312,56.565102984973336,0.3807344685939309,0.10795584637779132,44.46684604892606,4.800456000962758,0.7810195448617433,34.878045148164084,27.240434947286445,0.08921949385596233,71.1263884090035,6.345860373653878,0.012173985694904174,121.20117420141968,1.475501360933672,0.002072828724696244,183.71450714086816,0.3808087075450048,0.00042496202285382986,258.21809883133375,0.10973288561683375,0.00010146438542537432,344.71160956500603,0.03497595161350492,2.75057745672744e-05,443.4788605400925,0.012198229563367507,8.31044536759797e-06,555.3749542747611,0.004615413216032623,2.7759673963893506e-06,683.9208321360654,0.0018985419317211916,1.0578300464512202e-06,836.6511401568853,0.0008850347144556243,5.264187474042601e-07,981.6725121975932,0.0005167708142322503
A_fixed_q2_start_5_1,"start=(5,1), q2=0.5, r=q1/q2",15,5,1,0.01599148274484118,0.00799574137242059,0.5,40.889611734664804,,False,40.88961173466488,7.815970093361102e-14,k=5:26.6881;k=6:6.5281;k=4:4.99278;k=7:1.58838;k=8:0.42756,2.796889918420112e-05,506.6802256528816,0.01417128814991372,0.0002782824598412592,122.02753011356333,0.03395812124835573,0.007514492981423437,55.94156836750714,0.42037252286745175,0.11323036974172483,44.093975831874246,4.9927771868257995,0.7699811616717273,34.66073421361274,26.68811239419252,0.09266852608138537,70.44570703716573,6.5280998398952255,0.013260039126794887,119.78681926757643,1.5883779103623712,0.002358742760434565,181.26586943089572,0.4275595572340024,0.0005035658107101078,254.40172862020268,0.1281080127186852,0.00012483704598300745,339.1735192367487,0.04234142021717646,3.504781516939214e-05,435.8813087670564,0.015276687545460537,1.0943873697733316e-05,545.4915800843665,0.005969790955620285,3.7746233072932134e-06,671.7240423986266,0.0025355052265070704,1.4868895682946054e-06,821.3996471393554,0.0012213305667323772,7.602190508326583e-07,960.468773134396,0.0007301666590666383
A_fixed_q2_start_5_1,"start=(5,1), q2=0.5, r=q1/q2",15,5,1,0.01710077117581455,0.008550385587907276,0.5,40.95188917969706,,False,40.951889179696906,1.5631940186722204e-13,k=5:26.1264;k=6:6.70489;k=4:5.18606;k=7:1.70577;k=8:0.478491,3.219993947872596e-05,490.65341246854996,0.015799010186517675,0.00032715364850798023,116.93895509811692,0.038257005813059825,0.008379156769842157,55.315293842023586,0.46349551887220014,0.11864533395401035,43.71058371636693,5.1860568023530815,0.7585898040684795,34.44077877599719,26.126423623649554,0.09612304235377933,69.75320828475611,6.704890594267603,0.014412710730659795,118.35179902706221,1.7057702438302311,0.002676255582406836,178.79116517940415,0.47849085389640306,0.0005944612512926692,250.5603097136566,0.14894839523665904,0.00015288513041333043,333.62098544749784,0.05100568786876452,4.441482841830865e-05,428.295662806597,0.019022678375860785,1.4322193594945084e-05,535.6717667902534,0.007671994747316284,5.097245356048942e-06,659.6452203630935,0.0033623735361356594,2.0741555660787808e-06,806.210970901823,0.0016722069727297941,1.0881481904613927e-06,939.3850026613309,0.0010221900907924977
A_fixed_q2_start_5_1,"start=(5,1), q2=0.5, r=q1/q2",15,5,1,0.018287008120113774,0.009143504060056887,0.5,41.018542883929655,,False,41.01854288392957,8.526512829121202e-14,k=5:25.5564;k=6:6.87537;k=4:5.37964;k=7:1.82737;k=8:0.533731,3.701003359911616e-05,474.5169719808599,0.017561889076362486,0.00038430413583227075,112.11506523754733,0.04308628325989428,0.009331574193136414,54.685928720204856,0.510305801173161,0.12419228029742274,43.316984312047886,5.379635057320915,0.7468532391723195,34.21879531735723,25.556418123342844,0.09957070898263051,69.05012454883719,6.875369856666659,0.015632086195666,116.89850688291475,1.8273675357383785,0.003027494577685413,176.29447319023632,0.5337305616593468,0.0006990856160311401,246.70011458714538,0.17246450158110738,0.00018636251555217826,328.0631281702077,0.06113866982571658,5.597681686642343e-05,420.73481372402597,0.023551395617158577,1.8626412602597793e-05,525.9318011716575,0.009796222729450719,6.8359080182786376e-06,647.6975237234448,0.0044276006958403145,2.8714110181053477e-06,791.0938313510158,0.0022715555436964804,1.5437316172205328e-06,918.4431304104379,0.001417829699033594
