family,n,mass_mc,mass_exact,abs_err,t_escape_med,t_x27_med,t_x42_med,t_hit_med
N_direct,6060,0.303,0.29845700707110523,0.004542992928894762,,,,15.0
N_detour,482,0.0241,0.02553446016727734,0.0014344601672773398,25.0,,,62.0
F_clean,3520,0.176,0.17550025952928586,0.0004997404707141329,31.0,155.0,275.0,535.0
F_linger,8194,0.4097,0.4165164490865115,0.006816449086511467,28.5,151.0,276.0,530.0
F_rollback,1734,0.0867,0.08399182411269435,0.0027081758873056527,30.0,209.0,334.0,588.0
