t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
143,14,nan,nan,nan,nan,nan,nan
144,14,nan,nan,nan,nan,nan,nan
145,19,nan,nan,nan,nan,nan,nan
146,14,nan,nan,nan,nan,nan,nan
147,17,nan,nan,nan,nan,nan,nan
148,16,nan,nan,nan,nan,nan,nan
149,17,nan,nan,nan,nan,nan,nan
150,16,nan,nan,nan,nan,nan,nan
151,25,nan,nan,nan,nan,nan,nan
152,23,nan,nan,nan,nan,nan,nan
153,28,nan,nan,nan,nan,nan,nan
154,25,nan,nan,nan,nan,nan,nan
155,24,nan,nan,nan,nan,nan,nan
156,25,nan,nan,nan,nan,nan,nan
157,29,nan,nan,nan,nan,nan,nan
158,24,nan,nan,nan,nan,nan,nan
159,28,nan,nan,nan,nan,nan,nan
160,30,nan,nan,nan,nan,nan,nan
161,29,nan,nan,nan,nan,nan,nan
162,25,nan,nan,nan,nan,nan,nan
163,31,nan,nan,nan,nan,nan,nan
164,31,nan,nan,nan,nan,nan,nan
165,21,nan,nan,nan,nan,nan,nan
166,32,nan,nan,nan,nan,nan,nan
167,31,nan,nan,nan,nan,nan,nan
168,30,nan,nan,nan,nan,nan,nan
169,30,nan,nan,nan,nan,nan,nan
170,26,nan,nan,nan,nan,nan,nan
171,28,nan,nan,nan,nan,nan,nan
172,40,nan,nan,nan,nan,nan,nan
173,32,nan,nan,nan,nan,nan,nan
174,34,nan,nan,nan,nan,nan,nan
175,35,nan,nan,nan,nan,nan,nan
176,31,nan,nan,nan,nan,nan,nan
177,42,nan,nan,nan,nan,nan,nan
178,31,nan,nan,nan,nan,nan,nan
179,39,nan,nan,nan,nan,nan,nan
180,21,nan,nan,nan,nan,nan,nan
181,31,nan,nan,nan,nan,nan,nan
182,44,nan,nan,nan,nan,nan,nan
183,31,nan,nan,nan,nan,nan,nan
184,35,nan,nan,nan,nan,nan,nan
185,36,nan,nan,nan,nan,nan,nan
186,47,nan,nan,nan,nan,nan,nan
187,38,nan,nan,nan,nan,nan,nan
188,37,nan,nan,nan,nan,nan,nan
189,41,nan,nan,nan,nan,nan,nan
190,39,nan,nan,nan,nan,nan,nan
191,46,nan,nan,nan,nan,nan,nan
192,44,nan,nan,nan,nan,nan,nan
193,38,nan,nan,nan,nan,nan,nan
194,48,nan,nan,nan,nan,nan,nan
195,41,nan,nan,nan,nan,nan,nan
196,50,0.034482758620689655,0.22413793103448276,0.7543103448275862,0.021551724137931036,0.21120689655172414,0.01293103448275862
197,32,nan,nan,nan,nan,nan,nan
198,41,nan,nan,nan,nan,nan,nan
199,42,nan,nan,nan,nan,nan,nan
200,46,nan,nan,nan,nan,nan,nan
201,45,nan,nan,nan,nan,nan,nan
202,44,nan,nan,nan,nan,nan,nan
203,50,0.028798411122144985,0.21052631578947367,0.7715988083416088,0.01787487586891758,0.19960278053624628,0.010923535253227408
204,55,0.028684470820969338,0.21068249258160238,0.7705242334322453,0.018793273986152326,0.20079129574678536,0.009891196834817012
205,63,0.029440628066732092,0.21099116781157998,0.7693817468105987,0.019627085377821395,0.2011776251226693,0.009813542688910697
206,41,nan,nan,nan,nan,nan,nan
207,47,nan,nan,nan,nan,nan,nan
208,56,0.02669208770257388,0.21448999046711154,0.7673975214489991,0.01811248808388942,0.20591039084842708,0.008579599618684462
209,49,nan,nan,nan,nan,nan,nan
210,52,0.0223463687150838,0.2132216014897579,0.7718808193668529,0.0148975791433892,0.20577281191806332,0.0074487895716946
211,48,nan,nan,nan,nan,nan,nan
212,60,0.022603978300180832,0.20976491862567812,0.7757685352622061,0.014466546112115732,0.20162748643761302,0.0081374321880651
213,59,0.021524663677130046,0.2116591928251121,0.7739910313901345,0.014349775784753363,0.20448430493273542,0.007174887892376682
214,42,nan,nan,nan,nan,nan,nan
215,56,0.02120141342756184,0.21024734982332155,0.7747349823321554,0.015017667844522967,0.2040636042402827,0.006183745583038869
216,40,nan,nan,nan,nan,nan,nan
217,56,0.020104895104895104,0.21853146853146854,0.7674825174825175,0.013986013986013986,0.21241258741258742,0.006118881118881119
218,57,0.020618556701030927,0.22508591065292097,0.761168384879725,0.013745704467353952,0.218213058419244,0.006872852233676976
219,60,0.021240441801189464,0.22854715378079865,0.7570093457943925,0.014443500424808835,0.221750212404418,0.006796941376380629
220,48,nan,nan,nan,nan,nan,nan
221,60,0.023668639053254437,0.22738799661876585,0.7582417582417582,0.014370245139475908,0.2180896027049873,0.009298393913778529
222,63,0.026533996683250415,0.22553897180762852,0.7587064676616916,0.015754560530679935,0.21475953565505804,0.01077943615257048
223,53,0.026468155500413565,0.22332506203473945,0.76095947063689,0.015715467328370553,0.21257237386269645,0.010752688172043012
224,67,0.027385892116182572,0.2232365145228216,0.7593360995850622,0.017427385892116183,0.21327800829875518,0.00995850622406639
225,55,0.02687296416938111,0.22312703583061888,0.760586319218241,0.016286644951140065,0.21254071661237786,0.010586319218241042
226,62,0.025974025974025976,0.22483766233766234,0.7597402597402597,0.015422077922077922,0.21428571428571427,0.010551948051948052
227,54,0.023942537909018357,0.22186751795690343,0.7645650438946529,0.013567438148443736,0.2114924181963288,0.010375099760574621
228,67,0.024256651017214397,0.215962441314554,0.770735524256651,0.013302034428794992,0.20500782472613457,0.010954616588419406
229,69,0.02471042471042471,0.22162162162162163,0.7644787644787645,0.013899613899613899,0.21081081081081082,0.010810810810810811
230,61,0.02448355011476664,0.22800306044376434,0.7582249426166794,0.013771996939556235,0.21729150726855395,0.010711553175210406
231,46,nan,nan,nan,nan,nan,nan
232,71,0.02609992542878449,0.22744220730797912,0.7568978374347501,0.015659955257270694,0.21700223713646533,0.010439970171513796
233,63,0.025754231052244298,0.2288447387785136,0.7557027225901398,0.01545253863134658,0.2185430463576159,0.010301692420897719
234,55,0.02608695652173913,0.22536231884057972,0.7579710144927536,0.016666666666666666,0.21594202898550724,0.009420289855072464
235,65,0.024709302325581394,0.2318313953488372,0.752906976744186,0.015261627906976744,0.22238372093023256,0.00944767441860465
